,open_time,open,high,low,close,VOLUME,close_time
0,1711956360000,2.856,2.857,2.852,2.857,50500.9,1711956419999
1,1711956420000,2.857,2.865,2.857,2.863,31005.0,1711956479999
2,1711956480000,2.863,2.868,2.858,2.866,99955.8,1711956539999
3,1711956540000,2.866,2.867,2.863,2.867,11538.7,1711956599999
4,1711956600000,2.866,2.868,2.863,2.864,30496.3,1711956659999
5,1711956660000,2.864,2.864,2.857,2.86,77247.3,1711956719999
6,1711956720000,2.86,2.865,2.86,2.862,25837.1,1711956779999
7,1711956780000,2.861,2.864,2.855,2.857,73314.3,1711956839999
8,1711956840000,2.856,2.858,2.849,2.853,32664.1,1711956899999
9,1711956900000,2.853,2.857,2.848,2.854,42802.7,1711956959999
10,1711956960000,2.854,2.857,2.853,2.856,16099.5,1711957019999
11,1711957020000,2.856,2.866,2.855,2.863,44277.3,1711957079999
12,1711957080000,2.863,2.865,2.854,2.856,49244.0,1711957139999
13,1711957140000,2.856,2.858,2.852,2.856,22900.5,1711957199999
14,1711957200000,2.856,2.856,2.846,2.849,50943.3,1711957259999
15,1711957260000,2.849,2.854,2.846,2.847,98112.9,1711957319999
16,1711957320000,2.848,2.854,2.845,2.852,35344.3,1711957379999
17,1711957380000,2.852,2.855,2.845,2.848,31899.9,1711957439999
18,1711957440000,2.847,2.854,2.847,2.853,38821.3,1711957499999
19,1711957500000,2.853,2.859,2.851,2.857,19267.6,1711957559999
20,1711957560000,2.858,2.867,2.855,2.864,77858.8,1711957619999
21,1711957620000,2.864,2.869,2.861,2.869,31898.3,1711957679999
22,1711957680000,2.869,2.874,2.865,2.867,47016.5,1711957739999
23,1711957740000,2.867,2.87,2.866,2.869,12540.2,1711957799999
24,1711957800000,2.869,2.873,2.867,2.867,45313.5,1711957859999
25,1711957860000,2.867,2.871,2.866,2.87,29526.2,1711957919999
26,1711957920000,2.87,2.872,2.866,2.871,31453.3,1711957979999
27,1711957980000,2.87,2.874,2.868,2.874,33085.3,1711958039999
28,1711958040000,2.874,2.877,2.871,2.874,22770.5,1711958099999
29,1711958100000,2.874,2.884,2.868,2.884,182586.0,1711958159999
30,1711958160000,2.884,2.884,2.868,2.872,125249.8,1711958219999
31,1711958220000,2.871,2.871,2.866,2.869,27208.2,1711958279999
32,1711958280000,2.869,2.87,2.863,2.864,16427.4,1711958339999
33,1711958340000,2.863,2.867,2.861,2.864,22590.8,1711958399999
34,1711958400000,2.865,2.866,2.856,2.858,62121.4,1711958459999
35,1711958460000,2.858,2.862,2.852,2.856,107381.3,1711958519999
36,1711958520000,2.855,2.857,2.852,2.854,49499.9,1711958579999
37,1711958580000,2.854,2.858,2.853,2.854,26062.5,1711958639999
38,1711958640000,2.853,2.855,2.844,2.845,62039.0,1711958699999
39,1711958700000,2.845,2.855,2.841,2.854,83310.6,1711958759999
40,1711958760000,2.853,2.853,2.841,2.843,51495.1,1711958819999
41,1711958820000,2.843,2.845,2.833,2.837,52797.0,1711958879999
42,1711958880000,2.836,2.837,2.828,2.831,69524.7,1711958939999
43,1711958940000,2.832,2.84,2.829,2.839,68051.8,1711958999999
44,1711959000000,2.84,2.843,2.834,2.838,93599.3,1711959059999
45,1711959060000,2.837,2.839,2.835,2.838,26511.2,1711959119999
46,1711959120000,2.838,2.838,2.827,2.828,56368.8,1711959179999
47,1711959180000,2.828,2.828,2.816,2.819,74646.9,1711959239999
48,1711959240000,2.819,2.828,2.819,2.827,70952.4,1711959299999
49,1711959300000,2.826,2.828,2.82,2.821,41197.6,1711959359999
50,1711959360000,2.821,2.827,2.818,2.826,97455.9,1711959419999
51,1711959420000,2.827,2.829,2.824,2.826,32702.1,1711959479999
52,1711959480000,2.826,2.83,2.824,2.825,17727.1,1711959539999
53,1711959540000,2.825,2.828,2.818,2.819,59897.1,1711959599999
54,1711959600000,2.819,2.819,2.812,2.813,61360.5,1711959659999
55,1711959660000,2.813,2.819,2.81,2.811,58301.7,1711959719999
56,1711959720000,2.812,2.813,2.805,2.809,94207.8,1711959779999
57,1711959780000,2.809,2.816,2.804,2.812,120162.5,1711959839999
58,1711959840000,2.813,2.813,2.8,2.805,119499.1,1711959899999
59,1711959900000,2.804,2.807,2.799,2.805,67054.6,1711959959999
60,1711959960000,2.805,2.807,2.796,2.801,96467.8,1711960019999
61,1711960020000,2.802,2.814,2.801,2.812,63477.8,1711960079999
62,1711960080000,2.812,2.818,2.812,2.815,33865.5,1711960139999
63,1711960140000,2.815,2.819,2.813,2.815,36241.5,1711960199999
64,1711960200000,2.814,2.815,2.801,2.804,115052.6,1711960259999
65,1711960260000,2.804,2.807,2.802,2.806,32689.8,1711960319999
66,1711960320000,2.806,2.806,2.79,2.799,167290.4,1711960379999
67,1711960380000,2.798,2.816,2.797,2.814,99170.9,1711960439999
68,1711960440000,2.814,2.83,2.814,2.824,95044.5,1711960499999
69,1711960500000,2.824,2.839,2.823,2.836,110843.1,1711960559999
70,1711960560000,2.836,2.837,2.827,2.828,88472.0,1711960619999
71,1711960620000,2.829,2.829,2.818,2.822,66839.7,1711960679999
72,1711960680000,2.822,2.825,2.818,2.822,35684.4,1711960739999
73,1711960740000,2.821,2.829,2.818,2.825,105242.7,1711960799999
74,1711960800000,2.825,2.827,2.824,2.825,8059.7,1711960859999
75,1711960860000,2.826,2.833,2.826,2.832,54329.6,1711960919999
76,1711960920000,2.832,2.834,2.824,2.824,69371.5,1711960979999
77,1711960980000,2.824,2.826,2.822,2.826,23916.2,1711961039999
78,1711961040000,2.826,2.834,2.825,2.829,56609.2,1711961099999
79,1711961100000,2.829,2.837,2.827,2.836,37566.5,1711961159999
80,1711961160000,2.836,2.839,2.832,2.835,23845.5,1711961219999
81,1711961220000,2.836,2.836,2.826,2.828,59433.6,1711961279999
82,1711961280000,2.827,2.827,2.817,2.819,51388.9,1711961339999
83,1711961340000,2.819,2.824,2.815,2.818,55940.1,1711961399999
84,1711961400000,2.818,2.824,2.817,2.823,34926.4,1711961459999
85,1711961460000,2.822,2.823,2.816,2.819,46482.9,1711961519999
86,1711961520000,2.818,2.824,2.816,2.817,51479.3,1711961579999
