,open_time,open,high,low,close,volume,close_time
0,1706007300000,0.2875,0.2875,0.2853,0.2867,1252991.0,1706007599999
1,1706007600000,0.2866,0.2892,0.2857,0.2884,2002199.0,1706007899999
2,1706007900000,0.2884,0.2891,0.2871,0.2884,1464251.0,1706008199999
3,1706008200000,0.2885,0.2896,0.2884,0.2892,780394.0,1706008499999
4,1706008500000,0.2892,0.2899,0.2879,0.2879,626629.0,1706008799999
5,1706008800000,0.2879,0.2882,0.2871,0.2874,675993.0,1706009099999
6,1706009100000,0.2874,0.2891,0.2869,0.287,544067.0,1706009399999
7,1706009400000,0.287,0.289,0.287,0.2877,823272.0,1706009699999
8,1706009700000,0.2877,0.2887,0.2863,0.2866,1135243.0,1706009999999
9,1706010000000,0.2867,0.2872,0.2855,0.2869,1011484.0,1706010299999
10,1706010300000,0.287,0.2887,0.2862,0.2869,1066138.0,1706010599999
11,1706010600000,0.2869,0.2871,0.2847,0.2856,1166181.0,1706010899999
12,1706010900000,0.2856,0.2882,0.2854,0.288,636020.0,1706011199999
13,1706011200000,0.2881,0.291,0.2874,0.2908,994174.0,1706011499999
14,1706011500000,0.2909,0.2916,0.2899,0.2912,1316366.0,1706011799999
15,1706011800000,0.2912,0.292,0.2887,0.2889,1488967.0,1706012099999
16,1706012100000,0.289,0.2891,0.2855,0.286,2980522.0,1706012399999
17,1706012400000,0.2859,0.2879,0.2856,0.2864,1375191.0,1706012699999
18,1706012700000,0.2863,0.2876,0.2854,0.2862,1129071.0,1706012999999
19,1706013000000,0.2862,0.2869,0.2827,0.2835,2344177.0,1706013299999
20,1706013300000,0.2835,0.2845,0.2822,0.2835,1279895.0,1706013599999
21,1706013600000,0.2835,0.285,0.2825,0.2841,990500.0,1706013899999
22,1706013900000,0.2841,0.2842,0.2823,0.2836,654374.0,1706014199999
23,1706014200000,0.2835,0.285,0.2829,0.2842,634454.0,1706014499999
24,1706014500000,0.2842,0.2864,0.2842,0.2856,732684.0,1706014799999
25,1706014800000,0.2855,0.2856,0.2836,0.2841,941733.0,1706015099999
26,1706015100000,0.284,0.2843,0.2825,0.2837,1140886.0,1706015399999
27,1706015400000,0.2836,0.2836,0.2812,0.2822,1500239.0,1706015699999
28,1706015700000,0.2821,0.283,0.2816,0.282,827847.0,1706015999999
29,1706016000000,0.2821,0.283,0.2816,0.2817,722315.0,1706016299999
