,open_time,open,high,low,close,VOLUME,close_time
0,1706015100000,16.218,16.229,16.168,16.193,13263.3,1706015399999
1,1706015400000,16.194,16.194,16.112,16.14,17541.0,1706015699999
2,1706015700000,16.138,16.191,16.121,16.145,10059.4,1706015999999
3,1706016000000,16.143,16.194,16.143,16.156,11977.3,1706016299999
4,1706016300000,16.157,16.17,16.048,16.069,30788.7,1706016599999
5,1706016600000,16.07,16.147,16.065,16.129,19602.7,1706016899999
6,1706016900000,16.13,16.212,16.126,16.175,16217.9,1706017199999
7,1706017200000,16.176,16.191,16.106,16.12,14455.5,1706017499999
8,1706017500000,16.12,16.139,16.021,16.04,23715.1,1706017799999
9,1706017800000,16.038,16.088,15.957,15.999,24766.5,1706018099999
10,1706018100000,16.0,16.003,15.908,15.953,31468.9,1706018399999
11,1706018400000,15.954,15.97,15.742,15.791,123450.4,1706018699999
12,1706018700000,15.788,15.863,15.694,15.754,79463.4,1706018999999
13,1706019000000,15.755,15.834,15.678,15.797,59024.3,1706019299999
14,1706019300000,15.798,15.872,15.602,15.728,113307.6,1706019599999
15,1706019600000,15.728,15.736,15.573,15.652,141951.2,1706019899999
16,1706019900000,15.652,15.902,15.652,15.866,60976.1,1706020199999
17,1706020200000,15.866,15.888,15.761,15.786,45289.0,1706020499999
18,1706020500000,15.787,15.88,15.756,15.758,36726.1,1706020799999
19,1706020800000,15.758,15.826,15.739,15.775,30615.3,1706021099999
20,1706021100000,15.775,15.821,15.749,15.77,27121.9,1706021399999
21,1706021400000,15.773,15.876,15.762,15.837,29511.3,1706021699999
22,1706021700000,15.838,15.94,15.838,15.894,49842.9,1706021999999
23,1706022000000,15.891,16.084,15.885,16.045,85165.4,1706022299999
24,1706022300000,16.048,16.053,15.937,15.963,43655.9,1706022599999
25,1706022600000,15.961,16.154,15.922,16.09,57950.2,1706022899999
26,1706022900000,16.093,16.135,15.966,15.983,37864.3,1706023199999
27,1706023200000,15.984,16.032,15.954,16.029,30925.1,1706023499999
28,1706023500000,16.028,16.112,16.011,16.078,26921.6,1706023799999
29,1706023800000,16.085,16.094,15.911,15.944,47620.5,1706024099999
30,1706024100000,15.943,16.019,15.891,16.017,26648.1,1706024399999
31,1706024400000,16.017,16.157,15.984,16.07,71887.4,1706024699999
32,1706024700000,16.07,16.07,15.974,16.016,35180.2,1706024999999
33,1706025000000,16.016,16.016,15.798,15.869,58812.3,1706025299999
34,1706025300000,15.871,15.915,15.854,15.902,20135.3,1706025599999
35,1706025600000,15.902,15.949,15.813,15.82,40576.2,1706025899999
36,1706025900000,15.82,15.922,15.804,15.904,34280.3,1706026199999
37,1706026200000,15.907,15.909,15.776,15.806,38372.6,1706026499999
38,1706026500000,15.805,15.842,15.776,15.796,22854.1,1706026799999
39,1706026800000,15.797,15.893,15.762,15.89,19176.0,1706027099999
40,1706027100000,15.891,15.91,15.863,15.893,15484.8,1706027399999
41,1706027400000,15.894,15.992,15.874,15.899,31861.1,1706027699999
42,1706027700000,15.899,15.906,15.819,15.895,27133.9,1706027999999
43,1706028000000,15.897,15.914,15.832,15.875,21336.3,1706028299999
44,1706028300000,15.875,15.881,15.822,15.848,18445.4,1706028599999
45,1706028600000,15.846,15.995,15.82,15.975,23651.3,1706028899999
46,1706028900000,15.972,16.103,15.942,16.023,54760.3,1706029199999
47,1706029200000,16.022,16.162,16.013,16.091,38912.8,1706029499999
48,1706029500000,16.094,16.124,16.049,16.058,28531.3,1706029799999
49,1706029800000,16.058,16.129,16.029,16.029,17965.6,1706030099999
50,1706030100000,16.033,16.058,15.98,16.035,21734.9,1706030399999
51,1706030400000,16.034,16.129,16.031,16.111,24937.7,1706030699999
52,1706030700000,16.11,16.172,16.092,16.098,19564.1,1706030999999
53,1706031000000,16.1,16.3,16.068,16.245,58928.1,1706031299999
54,1706031300000,16.242,16.315,16.179,16.202,55956.7,1706031599999
55,1706031600000,16.206,16.206,16.085,16.128,35156.3,1706031899999
56,1706031900000,16.129,16.157,16.034,16.05,31158.5,1706032199999
57,1706032200000,16.047,16.052,15.922,15.988,57582.0,1706032499999
58,1706032500000,15.986,16.027,15.966,16.011,15026.6,1706032799999
59,1706032800000,16.008,16.212,16.001,16.096,47355.5,1706033099999
60,1706033100000,16.096,16.194,16.078,16.162,20458.0,1706033399999
61,1706033400000,16.162,16.211,16.158,16.211,12785.6,1706033699999
62,1706033700000,16.211,16.288,16.195,16.198,26754.3,1706033999999
63,1706034000000,16.197,16.241,16.171,16.186,28742.0,1706034299999
64,1706034300000,16.185,16.188,16.156,16.16,13575.1,1706034599999
65,1706034600000,16.161,16.186,16.102,16.113,23040.0,1706034899999
66,1706034900000,16.112,16.135,15.996,16.01,45347.5,1706035199999
67,1706035200000,16.01,16.024,15.966,15.991,27272.5,1706035499999
68,1706035500000,15.99,16.014,15.918,15.979,21374.8,1706035799999
69,1706035800000,15.983,16.098,15.982,16.053,14725.8,1706036099999
70,1706036100000,16.053,16.053,15.919,15.94,16830.7,1706036399999
71,1706036400000,15.94,16.068,15.94,16.034,40861.9,1706036699999
72,1706036700000,16.036,16.056,16.021,16.026,13713.2,1706036999999
