,open_time,open,high,low,close,VOLUME,close_time
0,1707104280000,10.199,10.199,10.198,10.199,584.3,1707104339999
1,1707104340000,10.198,10.205,10.198,10.204,1287.8,1707104399999
2,1707104400000,10.203,10.208,10.203,10.208,989.5,1707104459999
3,1707104460000,10.208,10.209,10.206,10.206,447.6,1707104519999
4,1707104520000,10.205,10.231,10.205,10.219,2566.3,1707104579999
5,1707104580000,10.218,10.221,10.21,10.221,1049.0,1707104639999
6,1707104640000,10.219,10.228,10.219,10.228,599.3,1707104699999
7,1707104700000,10.227,10.239,10.212,10.221,3368.4,1707104759999
8,1707104760000,10.22,10.25,10.22,10.24,3349.8,1707104819999
9,1707104820000,10.239,10.244,10.222,10.222,850.0,1707104879999
10,1707104880000,10.221,10.228,10.221,10.225,975.1,1707104939999
11,1707104940000,10.225,10.243,10.225,10.242,921.2,1707104999999
12,1707105000000,10.242,10.244,10.233,10.233,850.1,1707105059999
13,1707105060000,10.237,10.249,10.23,10.232,1450.3,1707105119999
14,1707105120000,10.232,10.242,10.225,10.234,1213.3,1707105179999
15,1707105180000,10.234,10.242,10.234,10.242,157.1,1707105239999
16,1707105240000,10.241,10.242,10.234,10.236,572.4,1707105299999
17,1707105300000,10.236,10.242,10.229,10.229,1148.4,1707105359999
18,1707105360000,10.229,10.248,10.229,10.248,1170.8,1707105419999
19,1707105420000,10.247,10.251,10.233,10.241,735.4,1707105479999
20,1707105480000,10.248,10.261,10.242,10.247,1553.2,1707105539999
21,1707105540000,10.251,10.27,10.251,10.262,1412.5,1707105599999
22,1707105600000,10.268,10.274,10.245,10.27,2273.6,1707105659999
23,1707105660000,10.27,10.27,10.254,10.259,1004.2,1707105719999
24,1707105720000,10.257,10.257,10.237,10.244,1893.8,1707105779999
25,1707105780000,10.24,10.257,10.233,10.254,2696.3,1707105839999
26,1707105840000,10.254,10.275,10.248,10.272,3133.4,1707105899999
27,1707105900000,10.273,10.278,10.255,10.263,2589.1,1707105959999
28,1707105960000,10.265,10.271,10.26,10.268,463.6,1707106019999
29,1707106020000,10.269,10.269,10.254,10.254,669.1,1707106079999
30,1707106080000,10.251,10.259,10.245,10.251,1467.5,1707106139999
31,1707106140000,10.252,10.253,10.244,10.246,604.8,1707106199999
32,1707106200000,10.246,10.251,10.237,10.24,2211.6,1707106259999
33,1707106260000,10.239,10.249,10.232,10.245,2857.0,1707106319999
34,1707106320000,10.243,10.253,10.235,10.25,1209.5,1707106379999
35,1707106380000,10.25,10.256,10.24,10.255,559.5,1707106439999
36,1707106440000,10.26,10.267,10.239,10.244,3662.6,1707106499999
37,1707106500000,10.248,10.249,10.239,10.243,1130.4,1707106559999
38,1707106560000,10.241,10.25,10.241,10.242,557.2,1707106619999
39,1707106620000,10.242,10.253,10.239,10.253,342.2,1707106679999
40,1707106680000,10.25,10.261,10.249,10.259,692.4,1707106739999
41,1707106740000,10.256,10.263,10.255,10.261,200.4,1707106799999
42,1707106800000,10.261,10.261,10.253,10.255,758.0,1707106859999
43,1707106860000,10.256,10.266,10.214,10.22,5904.2,1707106919999
44,1707106920000,10.219,10.224,10.202,10.204,2063.9,1707106979999
45,1707106980000,10.207,10.208,10.2,10.202,762.1,1707107039999
46,1707107040000,10.202,10.202,10.188,10.188,773.5,1707107099999
47,1707107100000,10.191,10.191,10.176,10.176,1012.3,1707107159999
48,1707107160000,10.176,10.182,10.166,10.181,820.2,1707107219999
49,1707107220000,10.181,10.185,10.172,10.181,880.1,1707107279999
50,1707107280000,10.181,10.183,10.173,10.179,298.5,1707107339999
51,1707107340000,10.179,10.181,10.164,10.175,952.7,1707107399999
52,1707107400000,10.182,10.184,10.162,10.173,707.9,1707107459999
53,1707107460000,10.174,10.177,10.17,10.17,430.1,1707107519999
54,1707107520000,10.168,10.169,10.163,10.168,344.3,1707107579999
55,1707107580000,10.166,10.168,10.163,10.166,354.5,1707107639999
56,1707107640000,10.167,10.167,10.15,10.163,2951.2,1707107699999
57,1707107700000,10.167,10.173,10.16,10.167,1182.1,1707107759999
58,1707107760000,10.166,10.166,10.153,10.165,775.2,1707107819999
59,1707107820000,10.164,10.172,10.089,10.096,23177.3,1707107879999
60,1707107880000,10.094,10.11,10.091,10.103,4073.8,1707107939999
61,1707107940000,10.103,10.108,10.101,10.108,1056.8,1707107999999
62,1707108000000,10.106,10.106,10.09,10.09,1628.5,1707108059999
63,1707108060000,10.092,10.092,10.083,10.084,814.6,1707108119999
64,1707108120000,10.084,10.086,10.083,10.083,321.0,1707108179999
65,1707108180000,10.084,10.086,10.077,10.081,5951.5,1707108239999
66,1707108240000,10.082,10.082,10.072,10.076,1301.9,1707108299999
67,1707108300000,10.075,10.079,10.062,10.065,3328.2,1707108359999
68,1707108360000,10.063,10.068,10.045,10.053,1987.3,1707108419999
69,1707108420000,10.053,10.054,10.043,10.053,3287.8,1707108479999
70,1707108480000,10.053,10.053,10.047,10.052,640.9,1707108539999
71,1707108540000,10.051,10.06,10.042,10.056,2531.2,1707108599999
72,1707108600000,10.056,10.056,10.046,10.049,777.1,1707108659999
73,1707108660000,10.047,10.053,10.047,10.053,469.4,1707108719999
74,1707108720000,10.051,10.056,10.046,10.05,1855.2,1707108779999
75,1707108780000,10.05,10.05,10.049,10.049,434.9,1707108839999
76,1707108840000,10.05,10.066,10.05,10.063,1442.9,1707108899999
77,1707108900000,10.062,10.066,10.057,10.061,821.4,1707108959999
78,1707108960000,10.061,10.065,10.061,10.064,93.8,1707109019999
79,1707109020000,10.064,10.076,10.064,10.073,670.4,1707109079999
80,1707109080000,10.071,10.11,10.071,10.106,10965.4,1707109139999
81,1707109140000,10.109,10.11,10.091,10.095,551.3,1707109199999
82,1707109200000,10.094,10.104,10.086,10.103,1829.4,1707109259999
83,1707109260000,10.105,10.109,10.091,10.103,3563.3,1707109319999
84,1707109320000,10.103,10.107,10.099,10.1,673.9,1707109379999
85,1707109380000,10.1,10.116,10.1,10.116,1279.4,1707109439999
86,1707109440000,10.117,10.125,10.113,10.125,1064.6,1707109499999
87,1707109500000,10.125,10.139,10.124,10.131,804.1,1707109559999
88,1707109560000,10.131,10.146,10.131,10.14,634.2,1707109619999
89,1707109620000,10.139,10.139,10.124,10.128,619.4,1707109679999
90,1707109680000,10.128,10.135,10.124,10.127,577.3,1707109739999
91,1707109740000,10.128,10.147,10.128,10.147,760.9,1707109799999
92,1707109800000,10.148,10.156,10.142,10.156,917.3,1707109859999
93,1707109860000,10.156,10.164,10.15,10.158,1279.8,1707109919999
94,1707109920000,10.157,10.157,10.146,10.15,1115.9,1707109979999
95,1707109980000,10.148,10.171,10.148,10.168,934.4,1707110039999
96,1707110040000,10.168,10.191,10.161,10.19,7181.3,1707110099999
97,1707110100000,10.191,10.191,10.162,10.162,1682.3,1707110159999
98,1707110160000,10.165,10.169,10.097,10.114,20993.6,1707110219999
99,1707110220000,10.114,10.123,10.113,10.121,2279.1,1707110279999
100,1707110280000,10.121,10.136,10.12,10.135,1124.5,1707110339999
101,1707110340000,10.137,10.146,10.132,10.134,621.3,1707110399999
102,1707110400000,10.135,10.143,10.135,10.138,574.3,1707110459999
103,1707110460000,10.139,10.148,10.137,10.147,264.1,1707110519999
104,1707110520000,10.145,10.145,10.124,10.128,724.9,1707110579999
105,1707110580000,10.129,10.131,10.127,10.129,351.2,1707110639999
106,1707110640000,10.128,10.132,10.128,10.129,212.0,1707110699999
107,1707110700000,10.129,10.138,10.129,10.137,585.2,1707110759999
108,1707110760000,10.135,10.152,10.135,10.147,669.0,1707110819999
109,1707110820000,10.147,10.151,10.147,10.15,293.6,1707110879999
110,1707110880000,10.15,10.153,10.144,10.146,867.8,1707110939999
111,1707110940000,10.149,10.166,10.149,10.166,769.9,1707110999999
