,open_time,open,high,low,close,volume,close_time
0,1706007300000,1.112,1.114,1.109,1.111,73547.0,1706007599999
1,1706007600000,1.11,1.12,1.107,1.116,113937.9,1706007899999
2,1706007900000,1.115,1.117,1.111,1.117,97321.0,1706008199999
3,1706008200000,1.117,1.12,1.115,1.117,70968.2,1706008499999
4,1706008500000,1.116,1.121,1.114,1.115,50418.9,1706008799999
5,1706008800000,1.115,1.119,1.113,1.119,98060.4,1706009099999
6,1706009100000,1.118,1.123,1.113,1.114,50806.0,1706009399999
7,1706009400000,1.115,1.122,1.114,1.117,80825.7,1706009699999
8,1706009700000,1.117,1.123,1.115,1.117,115397.6,1706009999999
9,1706010000000,1.118,1.12,1.114,1.119,77369.3,1706010299999
10,1706010300000,1.12,1.126,1.118,1.121,137409.1,1706010599999
11,1706010600000,1.121,1.122,1.117,1.121,46605.1,1706010899999
12,1706010900000,1.12,1.125,1.12,1.121,81917.8,1706011199999
13,1706011200000,1.121,1.125,1.118,1.125,155525.1,1706011499999
14,1706011500000,1.125,1.125,1.119,1.123,91606.3,1706011799999
15,1706011800000,1.123,1.126,1.118,1.119,68804.1,1706012099999
16,1706012100000,1.119,1.12,1.112,1.112,78000.4,1706012399999
17,1706012400000,1.112,1.119,1.11,1.115,67163.8,1706012699999
18,1706012700000,1.116,1.121,1.116,1.118,41297.0,1706012999999
19,1706013000000,1.117,1.119,1.107,1.109,69218.1,1706013299999
20,1706013300000,1.109,1.111,1.105,1.108,99340.1,1706013599999
21,1706013600000,1.108,1.112,1.106,1.107,55455.7,1706013899999
22,1706013900000,1.107,1.107,1.1,1.103,130782.3,1706014199999
23,1706014200000,1.103,1.108,1.101,1.108,86148.1,1706014499999
24,1706014500000,1.107,1.114,1.106,1.113,45221.2,1706014799999
25,1706014800000,1.113,1.113,1.108,1.109,53063.5,1706015099999
26,1706015100000,1.109,1.11,1.102,1.105,116983.9,1706015399999
27,1706015400000,1.104,1.104,1.098,1.099,103311.2,1706015699999
28,1706015700000,1.099,1.108,1.098,1.105,118213.0,1706015999999
29,1706016000000,1.105,1.109,1.103,1.104,42836.1,1706016299999
30,1706016300000,1.103,1.106,1.102,1.106,48707.6,1706016599999
31,1706016600000,1.106,1.114,1.106,1.113,95203.3,1706016899999
32,1706016900000,1.113,1.12,1.113,1.116,86144.5,1706017199999
33,1706017200000,1.116,1.116,1.111,1.112,66410.2,1706017499999
34,1706017500000,1.112,1.113,1.104,1.104,131257.0,1706017799999
35,1706017800000,1.104,1.108,1.099,1.101,93965.1,1706018099999
36,1706018100000,1.1,1.101,1.092,1.095,234849.1,1706018399999
37,1706018400000,1.094,1.099,1.083,1.085,257576.3,1706018699999
38,1706018700000,1.084,1.091,1.079,1.082,287249.1,1706018999999
39,1706019000000,1.082,1.09,1.077,1.086,177920.8,1706019299999
40,1706019300000,1.086,1.089,1.082,1.085,125773.3,1706019599999
41,1706019600000,1.085,1.086,1.079,1.086,140170.6,1706019899999
42,1706019900000,1.086,1.098,1.086,1.096,174088.5,1706020199999
43,1706020200000,1.096,1.098,1.091,1.093,115444.2,1706020499999
44,1706020500000,1.092,1.099,1.091,1.095,39667.6,1706020799999
45,1706020800000,1.094,1.1,1.094,1.098,35252.9,1706021099999
46,1706021100000,1.098,1.099,1.093,1.094,39021.0,1706021399999
47,1706021400000,1.094,1.1,1.093,1.098,42105.9,1706021699999
48,1706021700000,1.098,1.104,1.098,1.102,36278.3,1706021999999
49,1706022000000,1.101,1.11,1.101,1.109,77914.4,1706022299999
50,1706022300000,1.108,1.11,1.104,1.106,76453.0,1706022599999
51,1706022600000,1.106,1.113,1.104,1.112,117870.8,1706022899999
52,1706022900000,1.112,1.112,1.102,1.102,63615.8,1706023199999
53,1706023200000,1.102,1.106,1.1,1.104,49111.9,1706023499999
54,1706023500000,1.105,1.107,1.103,1.106,39321.8,1706023799999
55,1706023800000,1.107,1.107,1.099,1.104,54068.4,1706024099999
56,1706024100000,1.104,1.109,1.101,1.109,25930.7,1706024399999
57,1706024400000,1.11,1.118,1.109,1.113,78075.3,1706024699999
58,1706024700000,1.112,1.113,1.108,1.111,59928.2,1706024999999
59,1706025000000,1.111,1.111,1.105,1.108,39386.2,1706025299999
60,1706025300000,1.108,1.11,1.106,1.107,90280.0,1706025599999
61,1706025600000,1.107,1.108,1.097,1.099,119547.6,1706025899999
62,1706025900000,1.098,1.104,1.097,1.099,63827.3,1706026199999
63,1706026200000,1.099,1.099,1.093,1.096,49684.9,1706026499999
64,1706026500000,1.096,1.098,1.095,1.096,62219.7,1706026799999
65,1706026800000,1.097,1.101,1.096,1.099,32709.3,1706027099999
66,1706027100000,1.099,1.101,1.098,1.1,34919.4,1706027399999
67,1706027400000,1.099,1.105,1.099,1.102,54318.7,1706027699999
68,1706027700000,1.101,1.102,1.097,1.102,69775.2,1706027999999
69,1706028000000,1.102,1.107,1.102,1.107,78281.9,1706028299999
70,1706028300000,1.106,1.106,1.102,1.104,74392.5,1706028599999
71,1706028600000,1.103,1.105,1.101,1.104,66210.5,1706028899999
72,1706028900000,1.104,1.112,1.103,1.108,66854.2,1706029199999
73,1706029200000,1.109,1.116,1.108,1.112,75630.3,1706029499999
74,1706029500000,1.112,1.115,1.111,1.112,47056.7,1706029799999
75,1706029800000,1.112,1.115,1.109,1.113,42963.8,1706030099999
76,1706030100000,1.112,1.113,1.109,1.112,45370.2,1706030399999
77,1706030400000,1.112,1.116,1.111,1.113,41800.9,1706030699999
78,1706030700000,1.112,1.116,1.112,1.113,22319.8,1706030999999
79,1706031000000,1.114,1.12,1.111,1.119,48355.5,1706031299999
80,1706031300000,1.119,1.119,1.115,1.116,50860.1,1706031599999
81,1706031600000,1.116,1.117,1.108,1.113,111614.3,1706031899999
82,1706031900000,1.113,1.113,1.106,1.108,46435.2,1706032199999
83,1706032200000,1.107,1.107,1.102,1.105,69811.7,1706032499999
84,1706032500000,1.105,1.107,1.105,1.105,18255.9,1706032799999
85,1706032800000,1.105,1.112,1.105,1.107,37915.6,1706033099999
86,1706033100000,1.107,1.111,1.104,1.11,56860.0,1706033399999
87,1706033400000,1.109,1.112,1.108,1.112,60734.5,1706033699999
88,1706033700000,1.112,1.117,1.11,1.112,43749.7,1706033999999
89,1706034000000,1.111,1.113,1.105,1.108,32710.8,1706034299999
90,1706034300000,1.107,1.108,1.104,1.106,64400.4,1706034599999
91,1706034600000,1.106,1.107,1.102,1.105,37460.6,1706034899999
92,1706034900000,1.105,1.109,1.103,1.104,77306.1,1706035199999
93,1706035200000,1.103,1.104,1.099,1.101,69229.7,1706035499999
94,1706035500000,1.101,1.102,1.099,1.1,37201.5,1706035799999
95,1706035800000,1.101,1.105,1.101,1.104,26329.6,1706036099999
96,1706036100000,1.103,1.103,1.095,1.096,35782.2,1706036399999
97,1706036400000,1.096,1.101,1.096,1.098,42837.2,1706036699999
98,1706036700000,1.099,1.099,1.097,1.097,27587.1,1706036999999
99,1706037000000,1.097,1.101,1.096,1.1,34987.8,1706037299999
100,1706037300000,1.1,1.104,1.099,1.099,25651.7,1706037599999
101,1706037600000,1.098,1.099,1.095,1.097,22383.3,1706037899999
102,1706037900000,1.097,1.099,1.096,1.097,15837.9,1706038199999
103,1706038200000,1.096,1.098,1.092,1.094,43830.6,1706038499999
104,1706038500000,1.094,1.097,1.092,1.093,34115.1,1706038799999
105,1706038800000,1.092,1.094,1.089,1.093,46202.5,1706039099999
106,1706039100000,1.093,1.099,1.092,1.096,24051.0,1706039399999
107,1706039400000,1.096,1.097,1.091,1.093,30064.3,1706039699999
108,1706039700000,1.093,1.094,1.091,1.092,25852.4,1706039999999
109,1706040000000,1.091,1.092,1.087,1.091,58019.1,1706040299999
110,1706040300000,1.092,1.097,1.092,1.096,53245.0,1706040599999
111,1706040600000,1.096,1.102,1.096,1.098,44515.1,1706040899999
112,1706040900000,1.097,1.102,1.097,1.1,20272.0,1706041199999
113,1706041200000,1.1,1.101,1.094,1.095,25929.6,1706041499999
114,1706041500000,1.096,1.097,1.095,1.097,21743.9,1706041799999
