,open_time,open,high,low,close,VOLUME,close_time
0,1711956360000,4.4141,4.4208,4.4047,4.4084,162651.0,1711956419999
1,1711956420000,4.4087,4.4231,4.4063,4.4177,153548.0,1711956479999
2,1711956480000,4.4177,4.429,4.4119,4.4268,105478.0,1711956539999
3,1711956540000,4.4265,4.4282,4.4132,4.4222,110753.0,1711956599999
4,1711956600000,4.4224,4.4356,4.4149,4.4327,141918.0,1711956659999
5,1711956660000,4.4328,4.4477,4.4248,4.4426,190471.0,1711956719999
6,1711956720000,4.4431,4.4545,4.4363,4.4376,193111.0,1711956779999
7,1711956780000,4.437,4.437,4.415,4.4336,198280.0,1711956839999
8,1711956840000,4.4332,4.4333,4.4131,4.4236,134113.0,1711956899999
9,1711956900000,4.4242,4.4428,4.4161,4.4344,157529.0,1711956959999
10,1711956960000,4.4351,4.4449,4.4149,4.4449,155099.0,1711957019999
11,1711957020000,4.4445,4.4459,4.4322,4.4435,145380.0,1711957079999
12,1711957080000,4.4436,4.4447,4.4253,4.4274,121018.0,1711957139999
13,1711957140000,4.4274,4.4377,4.4197,4.4311,109830.0,1711957199999
14,1711957200000,4.4307,4.4334,4.4163,4.4221,165311.0,1711957259999
15,1711957260000,4.4217,4.4271,4.4061,4.414,168219.0,1711957319999
16,1711957320000,4.4141,4.4292,4.4112,4.4168,112257.0,1711957379999
17,1711957380000,4.4168,4.4186,4.4078,4.4103,112201.0,1711957439999
18,1711957440000,4.4099,4.4242,4.4075,4.4158,104591.0,1711957499999
19,1711957500000,4.416,4.444,4.416,4.4377,206254.0,1711957559999
20,1711957560000,4.4374,4.453,4.4297,4.4479,216352.0,1711957619999
21,1711957620000,4.4479,4.469,4.4328,4.4595,270144.0,1711957679999
22,1711957680000,4.46,4.4813,4.4572,4.4593,321882.0,1711957739999
23,1711957740000,4.4598,4.4834,4.4541,4.4756,199620.0,1711957799999
24,1711957800000,4.4765,4.5,4.4604,4.4761,683114.0,1711957859999
25,1711957860000,4.4766,4.508,4.4656,4.5042,352935.0,1711957919999
26,1711957920000,4.5044,4.5501,4.4607,4.4744,1015668.0,1711957979999
27,1711957980000,4.4746,4.4826,4.4613,4.4784,250969.0,1711958039999
28,1711958040000,4.4783,4.4908,4.4763,4.4825,159835.0,1711958099999
29,1711958100000,4.4832,4.4877,4.4723,4.4764,224163.0,1711958159999
30,1711958160000,4.478,4.4831,4.4566,4.4622,221777.0,1711958219999
31,1711958220000,4.4616,4.4725,4.456,4.4671,153919.0,1711958279999
32,1711958280000,4.467,4.48,4.4608,4.4745,143445.0,1711958339999
33,1711958340000,4.4743,4.4743,4.4632,4.471,110127.0,1711958399999
34,1711958400000,4.4709,4.4921,4.4653,4.4782,372516.0,1711958459999
35,1711958460000,4.4783,4.5055,4.4776,4.5053,320534.0,1711958519999
36,1711958520000,4.5052,4.508,4.4628,4.4749,431425.0,1711958579999
37,1711958580000,4.4751,4.4752,4.4501,4.4539,371741.0,1711958639999
38,1711958640000,4.4533,4.4586,4.4262,4.4327,331468.0,1711958699999
39,1711958700000,4.4333,4.4552,4.417,4.4508,412327.0,1711958759999
40,1711958760000,4.4521,4.4521,4.4308,4.4376,206102.0,1711958819999
41,1711958820000,4.4376,4.4488,4.4246,4.4436,244850.0,1711958879999
42,1711958880000,4.4431,4.4441,4.4294,4.4408,166338.0,1711958939999
43,1711958940000,4.4408,4.452,4.4301,4.4354,241822.0,1711958999999
44,1711959000000,4.4357,4.4433,4.4211,4.4278,226449.0,1711959059999
45,1711959060000,4.4276,4.47,4.4276,4.453,278249.0,1711959119999
46,1711959120000,4.4532,4.4537,4.4306,4.4437,158769.0,1711959179999
47,1711959180000,4.4434,4.4467,4.4313,4.4414,98498.0,1711959239999
48,1711959240000,4.4413,4.4563,4.4395,4.4511,122494.0,1711959299999
49,1711959300000,4.4515,4.4525,4.384,4.3876,726163.0,1711959359999
50,1711959360000,4.3877,4.4069,4.3876,4.3982,427290.0,1711959419999
51,1711959420000,4.3989,4.4016,4.3683,4.394,446635.0,1711959479999
52,1711959480000,4.3946,4.4179,4.3937,4.4044,197122.0,1711959539999
53,1711959540000,4.4045,4.4168,4.3684,4.3751,327359.0,1711959599999
54,1711959600000,4.3751,4.4,4.3642,4.3869,400840.0,1711959659999
55,1711959660000,4.3867,4.3939,4.3702,4.3743,220403.0,1711959719999
56,1711959720000,4.375,4.3776,4.3394,4.3522,526782.0,1711959779999
57,1711959780000,4.3522,4.3732,4.3498,4.3603,254814.0,1711959839999
58,1711959840000,4.3609,4.3644,4.3205,4.3351,545374.0,1711959899999
59,1711959900000,4.3345,4.3493,4.32,4.3486,405052.0,1711959959999
60,1711959960000,4.3481,4.3566,4.3258,4.3329,227246.0,1711960019999
61,1711960020000,4.332,4.3772,4.3318,4.3743,320392.0,1711960079999
62,1711960080000,4.3745,4.375,4.3517,4.3634,164688.0,1711960139999
63,1711960140000,4.3641,4.3707,4.3564,4.3671,139900.0,1711960199999
64,1711960200000,4.3675,4.3694,4.3332,4.3379,255380.0,1711960259999
65,1711960260000,4.3374,4.3536,4.3183,4.3231,296217.0,1711960319999
66,1711960320000,4.3229,4.3299,4.2925,4.32,549715.0,1711960379999
67,1711960380000,4.319,4.3495,4.3182,4.3475,248074.0,1711960439999
68,1711960440000,4.3477,4.3809,4.345,4.3724,387018.0,1711960499999
69,1711960500000,4.3726,4.4187,4.3683,4.3997,621866.0,1711960559999
70,1711960560000,4.3997,4.4097,4.3705,4.3766,354836.0,1711960619999
71,1711960620000,4.3766,4.3941,4.3712,4.3807,211502.0,1711960679999
72,1711960680000,4.3804,4.3878,4.3709,4.3713,126078.0,1711960739999
73,1711960740000,4.3714,4.4,4.3662,4.3917,208614.0,1711960799999
74,1711960800000,4.3921,4.395,4.3818,4.3895,106547.0,1711960859999
75,1711960860000,4.3897,4.4,4.389,4.3952,98587.0,1711960919999
76,1711960920000,4.3952,4.4071,4.3858,4.3871,149012.0,1711960979999
77,1711960980000,4.3867,4.3985,4.3846,4.3868,115198.0,1711961039999
78,1711961040000,4.3868,4.3971,4.3859,4.3953,71904.0,1711961099999
79,1711961100000,4.3955,4.4079,4.3876,4.3903,135947.0,1711961159999
80,1711961160000,4.3905,4.4084,4.3875,4.4044,124886.0,1711961219999
81,1711961220000,4.4043,4.4229,4.4012,4.4055,256825.0,1711961279999
82,1711961280000,4.4056,4.4092,4.3892,4.3944,152193.0,1711961339999
83,1711961340000,4.3937,4.3987,4.3776,4.3814,181389.0,1711961399999
84,1711961400000,4.3818,4.3994,4.3804,4.3958,103646.0,1711961459999
85,1711961460000,4.3958,4.3989,4.3685,4.3742,175567.0,1711961519999
86,1711961520000,4.3749,4.3982,4.3749,4.3851,124482.0,1711961579999
87,1711961580000,4.3853,4.4129,4.3845,4.4126,176573.0,1711961639999
88,1711961640000,4.4113,4.4167,4.3955,4.3994,165874.0,1711961699999
