,open_time,open,high,low,close,VOLUME,close_time
0,1706850300000,17.77,17.787,17.766,17.782,33327.22,1706850359999
1,1706850360000,17.782,17.838,17.77,17.819,64613.96,1706850419999
2,1706850420000,17.819,17.823,17.8,17.812,29736.78,1706850479999
3,1706850480000,17.813,17.835,17.801,17.827,45387.72,1706850539999
4,1706850540000,17.828,17.828,17.802,17.81,34030.48,1706850599999
5,1706850600000,17.812,17.834,17.801,17.811,28324.77,1706850659999
6,1706850660000,17.811,17.814,17.788,17.794,29905.23,1706850719999
7,1706850720000,17.795,17.801,17.743,17.743,53835.96,1706850779999
8,1706850780000,17.749,17.791,17.74,17.781,42391.81,1706850839999
9,1706850840000,17.781,17.838,17.776,17.823,49827.8,1706850899999
10,1706850900000,17.824,17.84,17.817,17.836,33269.12,1706850959999
11,1706850960000,17.834,17.899,17.812,17.892,101706.7,1706851019999
12,1706851020000,17.891,17.906,17.86,17.882,86916.07,1706851079999
13,1706851080000,17.881,17.888,17.871,17.872,26606.0,1706851139999
14,1706851140000,17.872,17.881,17.846,17.859,29017.74,1706851199999
15,1706851200000,17.857,17.869,17.848,17.867,20965.39,1706851259999
16,1706851260000,17.867,17.88,17.851,17.859,47915.9,1706851319999
17,1706851320000,17.858,17.874,17.85,17.865,18002.58,1706851379999
18,1706851380000,17.865,17.878,17.858,17.86,13442.24,1706851439999
19,1706851440000,17.86,17.86,17.837,17.837,19634.06,1706851499999
20,1706851500000,17.836,17.853,17.832,17.838,18710.9,1706851559999
21,1706851560000,17.84,17.86,17.836,17.845,14413.78,1706851619999
22,1706851620000,17.846,17.852,17.838,17.838,13301.31,1706851679999
23,1706851680000,17.839,17.839,17.801,17.82,30734.39,1706851739999
24,1706851740000,17.821,17.836,17.8,17.809,31193.62,1706851799999
25,1706851800000,17.81,17.837,17.805,17.821,23337.19,1706851859999
26,1706851860000,17.822,17.857,17.816,17.855,30563.33,1706851919999
27,1706851920000,17.855,17.896,17.854,17.881,31436.86,1706851979999
28,1706851980000,17.882,17.882,17.854,17.867,22148.21,1706852039999
29,1706852040000,17.868,17.871,17.858,17.864,11590.51,1706852099999
30,1706852100000,17.864,17.889,17.863,17.884,29296.19,1706852159999
31,1706852160000,17.884,17.917,17.874,17.912,43138.44,1706852219999
32,1706852220000,17.913,17.938,17.894,17.934,51239.58,1706852279999
33,1706852280000,17.935,17.966,17.92,17.942,95894.75,1706852339999
34,1706852340000,17.941,17.989,17.94,17.948,87072.58,1706852399999
35,1706852400000,17.948,17.956,17.923,17.941,35012.73,1706852459999
36,1706852460000,17.942,17.944,17.918,17.926,27401.84,1706852519999
