,open_time,open,high,low,close,VOLUME,close_time
0,1706856780000,1.2391,1.2392,1.2374,1.2379,4410.3,1706856839999
1,1706856840000,1.2378,1.2391,1.2358,1.2361,22169.0,1706856899999
2,1706856900000,1.236,1.236,1.233,1.2338,21897.9,1706856959999
3,1706856960000,1.2338,1.235,1.2338,1.2348,20489.2,1706857019999
4,1706857020000,1.2349,1.2355,1.2345,1.235,9755.2,1706857079999
5,1706857080000,1.2352,1.2374,1.2352,1.2368,6364.0,1706857139999
6,1706857140000,1.2367,1.2368,1.2351,1.2363,12240.9,1706857199999
7,1706857200000,1.2364,1.2399,1.2349,1.2395,52768.6,1706857259999
8,1706857260000,1.2396,1.2397,1.2381,1.2381,14426.0,1706857319999
9,1706857320000,1.2382,1.2391,1.236,1.236,13154.7,1706857379999
10,1706857380000,1.2359,1.2361,1.2345,1.2347,15545.7,1706857439999
11,1706857440000,1.2349,1.2349,1.2333,1.2335,7869.5,1706857499999
12,1706857500000,1.2336,1.2342,1.2325,1.233,15001.2,1706857559999
13,1706857560000,1.2329,1.2329,1.2293,1.2315,101416.9,1706857619999
14,1706857620000,1.2315,1.2341,1.2307,1.234,22856.3,1706857679999
15,1706857680000,1.2342,1.2386,1.2327,1.2367,30211.9,1706857739999
16,1706857740000,1.237,1.2378,1.236,1.2368,20744.9,1706857799999
17,1706857800000,1.2366,1.2372,1.2345,1.2345,18309.6,1706857859999
18,1706857860000,1.2346,1.2355,1.2334,1.2334,16037.1,1706857919999
19,1706857920000,1.2335,1.2348,1.2332,1.2347,6539.2,1706857979999
20,1706857980000,1.2346,1.2367,1.2341,1.2362,6099.0,1706858039999
21,1706858040000,1.2362,1.2362,1.2344,1.2344,9367.0,1706858099999
22,1706858100000,1.2344,1.2368,1.2344,1.2359,23369.8,1706858159999
23,1706858160000,1.2358,1.2362,1.2324,1.2327,24441.8,1706858219999
24,1706858220000,1.2326,1.234,1.2314,1.2319,19184.9,1706858279999
25,1706858280000,1.2318,1.2345,1.2316,1.2335,15383.6,1706858339999
26,1706858340000,1.2336,1.235,1.2336,1.2342,6789.4,1706858399999
27,1706858400000,1.2343,1.2363,1.2343,1.2362,11969.1,1706858459999
28,1706858460000,1.2362,1.2382,1.2362,1.2372,24618.4,1706858519999
29,1706858520000,1.2372,1.2375,1.2361,1.2368,17749.1,1706858579999
30,1706858580000,1.2369,1.2488,1.2369,1.2481,230028.7,1706858639999
31,1706858640000,1.2481,1.2547,1.2477,1.2541,216611.8,1706858699999
32,1706858700000,1.254,1.2603,1.2522,1.2572,282400.5,1706858759999
33,1706858760000,1.2573,1.2598,1.2565,1.2589,101596.3,1706858819999
34,1706858820000,1.2588,1.2626,1.2583,1.262,98658.3,1706858879999
35,1706858880000,1.2621,1.2623,1.2584,1.259,80534.2,1706858939999
36,1706858940000,1.259,1.2647,1.2588,1.2624,150704.6,1706858999999
37,1706859000000,1.2624,1.2643,1.2615,1.2636,114126.3,1706859059999
38,1706859060000,1.2633,1.2636,1.2573,1.2606,93263.8,1706859119999
39,1706859120000,1.2604,1.2648,1.2596,1.2623,95245.3,1706859179999
40,1706859180000,1.2622,1.265,1.2602,1.2634,117037.8,1706859239999
41,1706859240000,1.2635,1.2687,1.2632,1.2678,118879.3,1706859299999
42,1706859300000,1.2677,1.2677,1.2581,1.2587,157583.3,1706859359999
43,1706859360000,1.2586,1.2607,1.2585,1.2592,52512.7,1706859419999
44,1706859420000,1.2592,1.2621,1.2589,1.2621,52271.8,1706859479999
45,1706859480000,1.2618,1.2621,1.259,1.26,28169.7,1706859539999
46,1706859540000,1.2597,1.2612,1.2581,1.2586,23475.1,1706859599999
47,1706859600000,1.2585,1.2607,1.2579,1.2584,55684.4,1706859659999
48,1706859660000,1.2584,1.2603,1.2584,1.2597,10486.0,1706859719999
49,1706859720000,1.2594,1.2601,1.258,1.2589,40791.3,1706859779999
50,1706859780000,1.2587,1.2599,1.2579,1.2598,25255.8,1706859839999
51,1706859840000,1.2598,1.2615,1.2597,1.2601,22243.4,1706859899999
52,1706859900000,1.2601,1.2636,1.2577,1.2626,40387.4,1706859959999
53,1706859960000,1.2629,1.2631,1.255,1.2572,160280.0,1706860019999
54,1706860020000,1.2567,1.2568,1.2545,1.2551,82348.9,1706860079999
55,1706860080000,1.255,1.2556,1.2543,1.2551,23009.2,1706860139999
56,1706860140000,1.2552,1.257,1.2545,1.2548,33611.6,1706860199999
57,1706860200000,1.2548,1.2569,1.2542,1.2555,55205.9,1706860259999
58,1706860260000,1.2555,1.2555,1.252,1.2523,44192.0,1706860319999
59,1706860320000,1.2524,1.2547,1.2511,1.2516,53244.4,1706860379999
60,1706860380000,1.2518,1.2536,1.2513,1.2528,28667.7,1706860439999
61,1706860440000,1.2528,1.2584,1.2528,1.2582,68492.1,1706860499999
62,1706860500000,1.2581,1.2581,1.2552,1.2559,16749.1,1706860559999
63,1706860560000,1.256,1.2568,1.2538,1.2553,24374.9,1706860619999
64,1706860620000,1.2551,1.2551,1.2536,1.254,8324.7,1706860679999
65,1706860680000,1.2538,1.2601,1.2535,1.2594,40430.5,1706860739999
66,1706860740000,1.2595,1.26,1.2579,1.2594,38167.8,1706860799999
67,1706860800000,1.2588,1.264,1.2588,1.2632,84617.1,1706860859999
68,1706860860000,1.2633,1.2641,1.258,1.2582,77584.6,1706860919999
69,1706860920000,1.2584,1.2588,1.2556,1.2585,60802.2,1706860979999
70,1706860980000,1.2583,1.2585,1.2544,1.2549,33462.7,1706861039999
71,1706861040000,1.2548,1.2569,1.2548,1.2558,16859.8,1706861099999
72,1706861100000,1.2558,1.2567,1.2543,1.2545,44410.8,1706861159999
73,1706861160000,1.2544,1.2578,1.2543,1.2578,33226.1,1706861219999
74,1706861220000,1.2578,1.2578,1.2547,1.2549,27204.2,1706861279999
