,open_time,open,high,low,close,VOLUME,close_time
0,1711956300000,0.6488,0.6488,0.6468,0.647,22694.0,1711956359999
1,1711956360000,0.6469,0.6484,0.6466,0.6484,12693.0,1711956419999
2,1711956420000,0.6485,0.6508,0.6485,0.65,15188.0,1711956479999
3,1711956480000,0.6502,0.6521,0.6502,0.6514,4556.0,1711956539999
4,1711956540000,0.6515,0.6523,0.6511,0.6523,13007.0,1711956599999
5,1711956600000,0.6524,0.6538,0.6516,0.653,29661.0,1711956659999
6,1711956660000,0.6531,0.6545,0.6529,0.6545,22622.0,1711956719999
7,1711956720000,0.6545,0.6553,0.654,0.654,35276.0,1711956779999
8,1711956780000,0.6535,0.6537,0.6526,0.653,15991.0,1711956839999
9,1711956840000,0.6533,0.6537,0.6515,0.6518,34184.0,1711956899999
10,1711956900000,0.6516,0.6519,0.6505,0.6508,17541.0,1711956959999
11,1711956960000,0.6508,0.6535,0.6508,0.6531,29082.0,1711957019999
12,1711957020000,0.6535,0.6555,0.6535,0.655,27723.0,1711957079999
13,1711957080000,0.6548,0.6564,0.6544,0.655,67412.0,1711957139999
14,1711957140000,0.6549,0.6553,0.6539,0.6539,33061.0,1711957199999
15,1711957200000,0.6539,0.6547,0.6522,0.6537,51814.0,1711957259999
16,1711957260000,0.6537,0.6545,0.6526,0.653,38785.0,1711957319999
17,1711957320000,0.6531,0.6565,0.6529,0.6559,159849.0,1711957379999
18,1711957380000,0.6561,0.6569,0.6553,0.6567,28173.0,1711957439999
19,1711957440000,0.6569,0.6584,0.6568,0.6582,43348.0,1711957499999
20,1711957500000,0.6582,0.6598,0.6579,0.6584,61945.0,1711957559999
21,1711957560000,0.6583,0.6596,0.6582,0.6594,39011.0,1711957619999
22,1711957620000,0.6595,0.6595,0.6587,0.6595,28456.0,1711957679999
23,1711957680000,0.6596,0.6607,0.6576,0.6579,41121.0,1711957739999
24,1711957740000,0.6578,0.6585,0.6574,0.6585,13138.0,1711957799999
25,1711957800000,0.6584,0.6601,0.6584,0.66,21419.0,1711957859999
26,1711957860000,0.6598,0.6599,0.6587,0.659,13288.0,1711957919999
27,1711957920000,0.6589,0.6589,0.6578,0.6585,22265.0,1711957979999
28,1711957980000,0.6583,0.6588,0.6574,0.6587,26695.0,1711958039999
29,1711958040000,0.6587,0.6601,0.6587,0.6591,21038.0,1711958099999
30,1711958100000,0.6592,0.6597,0.6582,0.6597,18626.0,1711958159999
31,1711958160000,0.6599,0.6604,0.6582,0.6585,21913.0,1711958219999
32,1711958220000,0.6584,0.6584,0.6561,0.6566,25395.0,1711958279999
33,1711958280000,0.6567,0.6569,0.656,0.6561,12413.0,1711958339999
34,1711958340000,0.6561,0.6562,0.6551,0.6554,11854.0,1711958399999
35,1711958400000,0.6552,0.6588,0.655,0.655,112420.0,1711958459999
36,1711958460000,0.655,0.6566,0.655,0.6563,30493.0,1711958519999
37,1711958520000,0.6562,0.6568,0.6561,0.6562,16055.0,1711958579999
38,1711958580000,0.6561,0.6563,0.6549,0.655,53712.0,1711958639999
39,1711958640000,0.6548,0.6561,0.6541,0.6549,45507.0,1711958699999
40,1711958700000,0.6553,0.657,0.6545,0.6567,56699.0,1711958759999
41,1711958760000,0.6568,0.657,0.6553,0.6554,30147.0,1711958819999
42,1711958820000,0.6555,0.6557,0.6534,0.654,18741.0,1711958879999
43,1711958880000,0.6542,0.6549,0.6528,0.6533,57055.0,1711958939999
44,1711958940000,0.6534,0.6555,0.6533,0.6553,10236.0,1711958999999
45,1711959000000,0.6554,0.6566,0.6553,0.6557,34839.0,1711959059999
46,1711959060000,0.6557,0.6566,0.6555,0.656,40530.0,1711959119999
47,1711959120000,0.6558,0.6558,0.653,0.6532,42234.0,1711959179999
48,1711959180000,0.6532,0.6541,0.6529,0.6534,16678.0,1711959239999
49,1711959240000,0.6535,0.6554,0.6535,0.6547,26234.0,1711959299999
50,1711959300000,0.6546,0.6552,0.6514,0.6525,41486.0,1711959359999
51,1711959360000,0.6526,0.6559,0.6524,0.6553,40843.0,1711959419999
52,1711959420000,0.656,0.6565,0.6555,0.6555,24647.0,1711959479999
53,1711959480000,0.6555,0.6564,0.6541,0.6545,23081.0,1711959539999
54,1711959540000,0.6546,0.6552,0.6538,0.6542,28719.0,1711959599999
55,1711959600000,0.6541,0.6541,0.652,0.652,22925.0,1711959659999
56,1711959660000,0.6519,0.6528,0.651,0.6521,99795.0,1711959719999
