,open_time,open,high,low,close,VOLUME,close_time
0,1706015400000,1.3177,1.3179,1.3126,1.3154,61313.0,1706015699999
1,1706015700000,1.3151,1.3169,1.3136,1.3154,31117.0,1706015999999
2,1706016000000,1.3152,1.3174,1.3132,1.3137,13311.0,1706016299999
3,1706016300000,1.3139,1.3156,1.3126,1.314,20197.0,1706016599999
4,1706016600000,1.3143,1.3182,1.3123,1.3177,31162.0,1706016899999
5,1706016900000,1.3179,1.3246,1.3178,1.3239,17020.0,1706017199999
6,1706017200000,1.324,1.3256,1.32,1.3238,56575.0,1706017499999
7,1706017500000,1.3235,1.324,1.3157,1.317,27616.0,1706017799999
8,1706017800000,1.3171,1.3195,1.3108,1.3129,22449.0,1706018099999
9,1706018100000,1.3127,1.3134,1.3083,1.3099,37600.0,1706018399999
10,1706018400000,1.3096,1.3124,1.3027,1.3033,54911.0,1706018699999
11,1706018700000,1.3035,1.306,1.2969,1.2972,123780.0,1706018999999
12,1706019000000,1.2974,1.3004,1.2853,1.2967,332845.0,1706019299999
13,1706019300000,1.2965,1.2989,1.2897,1.2939,93908.0,1706019599999
14,1706019600000,1.2939,1.2979,1.2913,1.2976,67865.0,1706019899999
15,1706019900000,1.2977,1.3104,1.2973,1.3093,89650.0,1706020199999
16,1706020200000,1.3095,1.3112,1.302,1.3042,62238.0,1706020499999
17,1706020500000,1.304,1.3123,1.3036,1.3099,50451.0,1706020799999
18,1706020800000,1.3097,1.3154,1.3095,1.3146,27187.0,1706021099999
19,1706021100000,1.3146,1.3152,1.3115,1.3118,23623.0,1706021399999
20,1706021400000,1.3117,1.317,1.3106,1.3147,20925.0,1706021699999
21,1706021700000,1.3147,1.3211,1.3111,1.3186,66642.0,1706021999999
22,1706022000000,1.3188,1.326,1.3181,1.3252,50791.0,1706022299999
23,1706022300000,1.3253,1.3266,1.3224,1.3231,53317.0,1706022599999
24,1706022600000,1.3233,1.3314,1.3213,1.3289,56995.0,1706022899999
25,1706022900000,1.3294,1.3305,1.3213,1.3227,49678.0,1706023199999
26,1706023200000,1.3226,1.3262,1.3214,1.3249,23735.0,1706023499999
27,1706023500000,1.3249,1.3292,1.324,1.3268,12142.0,1706023799999
28,1706023800000,1.3268,1.3276,1.3201,1.3246,20448.0,1706024099999
29,1706024100000,1.3243,1.3314,1.3231,1.3314,9772.0,1706024399999
30,1706024400000,1.3313,1.3397,1.3311,1.3351,65914.0,1706024699999
31,1706024700000,1.335,1.3374,1.3316,1.3346,27883.0,1706024999999
32,1706025000000,1.3345,1.3345,1.3296,1.332,26268.0,1706025299999
33,1706025300000,1.3317,1.3338,1.3304,1.3324,11603.0,1706025599999
34,1706025600000,1.3322,1.3342,1.3283,1.3285,41243.0,1706025899999
35,1706025900000,1.3284,1.3318,1.3252,1.3265,33126.0,1706026199999
36,1706026200000,1.3265,1.3275,1.3225,1.3238,33162.0,1706026499999
37,1706026500000,1.3236,1.3251,1.3214,1.3217,20965.0,1706026799999
38,1706026800000,1.322,1.3274,1.3212,1.3269,16332.0,1706027099999
39,1706027100000,1.327,1.3287,1.3262,1.328,13285.0,1706027399999
40,1706027400000,1.3266,1.3306,1.3252,1.3252,13840.0,1706027699999
41,1706027700000,1.3248,1.3248,1.32,1.3233,20915.0,1706027999999
42,1706028000000,1.3231,1.3258,1.3226,1.3258,10757.0,1706028299999
43,1706028300000,1.3253,1.3287,1.3235,1.3259,14089.0,1706028599999
44,1706028600000,1.3257,1.332,1.3237,1.3305,11816.0,1706028899999
45,1706028900000,1.33,1.3369,1.33,1.3323,15244.0,1706029199999
46,1706029200000,1.3325,1.3398,1.3318,1.3347,16788.0,1706029499999
47,1706029500000,1.3348,1.3372,1.3326,1.334,32598.0,1706029799999
48,1706029800000,1.3341,1.3368,1.333,1.3346,35182.0,1706030099999
49,1706030100000,1.3349,1.3359,1.3314,1.335,11885.0,1706030399999
50,1706030400000,1.3349,1.3377,1.333,1.335,20846.0,1706030699999
51,1706030700000,1.3351,1.3379,1.3351,1.3363,7501.0,1706030999999
52,1706031000000,1.3364,1.3445,1.3338,1.3434,28497.0,1706031299999
53,1706031300000,1.3436,1.3461,1.3404,1.3428,29353.0,1706031599999
54,1706031600000,1.3429,1.3429,1.3383,1.3416,16092.0,1706031899999
55,1706031900000,1.3418,1.3424,1.3366,1.3375,24270.0,1706032199999
56,1706032200000,1.3372,1.3372,1.3309,1.3336,19435.0,1706032499999
57,1706032500000,1.3336,1.3346,1.332,1.3334,12539.0,1706032799999
58,1706032800000,1.3333,1.3434,1.332,1.338,31014.0,1706033099999
59,1706033100000,1.3383,1.342,1.3348,1.3408,21864.0,1706033399999
60,1706033400000,1.3408,1.3425,1.3391,1.3413,19705.0,1706033699999
61,1706033700000,1.3413,1.3442,1.3383,1.3384,39625.0,1706033999999
62,1706034000000,1.3382,1.3397,1.3336,1.3362,48014.0,1706034299999
63,1706034300000,1.336,1.3366,1.3348,1.3355,12503.0,1706034599999
64,1706034600000,1.3354,1.3371,1.3334,1.3345,32129.0,1706034899999
65,1706034900000,1.3346,1.3358,1.3311,1.3338,20893.0,1706035199999
66,1706035200000,1.3338,1.3343,1.3294,1.3312,24310.0,1706035499999
67,1706035500000,1.3311,1.3315,1.327,1.3299,39720.0,1706035799999
68,1706035800000,1.3301,1.3345,1.3301,1.3327,13681.0,1706036099999
69,1706036100000,1.3327,1.3327,1.325,1.3261,22880.0,1706036399999
70,1706036400000,1.3263,1.3298,1.3263,1.3285,25104.0,1706036699999
71,1706036700000,1.3286,1.3291,1.3261,1.3262,35448.0,1706036999999
72,1706037000000,1.3258,1.3303,1.3245,1.3293,28836.0,1706037299999
73,1706037300000,1.329,1.3323,1.3275,1.3281,12558.0,1706037599999
74,1706037600000,1.3281,1.3292,1.3245,1.3273,24107.0,1706037899999
75,1706037900000,1.3274,1.3292,1.3265,1.3278,25172.0,1706038199999
76,1706038200000,1.3274,1.3289,1.324,1.3253,25257.0,1706038499999
77,1706038500000,1.3252,1.3289,1.323,1.3237,50474.0,1706038799999
78,1706038800000,1.3242,1.3248,1.3188,1.3239,36160.0,1706039099999
79,1706039100000,1.3241,1.3296,1.3229,1.3263,12507.0,1706039399999
80,1706039400000,1.3263,1.3275,1.3222,1.3247,24061.0,1706039699999
81,1706039700000,1.3243,1.3251,1.3212,1.3214,9405.0,1706039999999
82,1706040000000,1.3206,1.3228,1.3187,1.3222,20082.0,1706040299999
83,1706040300000,1.3222,1.3262,1.322,1.3262,9243.0,1706040599999
84,1706040600000,1.3262,1.3308,1.3262,1.3276,24762.0,1706040899999
85,1706040900000,1.3277,1.3324,1.3277,1.3297,16044.0,1706041199999
86,1706041200000,1.3296,1.3302,1.3265,1.3268,11596.0,1706041499999
87,1706041500000,1.3268,1.3285,1.3264,1.3279,7697.0,1706041799999
88,1706041800000,1.3275,1.3295,1.3258,1.3295,10876.0,1706042099999
89,1706042100000,1.3294,1.3305,1.3281,1.3298,6383.0,1706042399999
90,1706042400000,1.3299,1.3306,1.3267,1.329,18107.0,1706042699999
91,1706042700000,1.3292,1.3331,1.3292,1.3318,10479.0,1706042999999
92,1706043000000,1.3311,1.3312,1.3244,1.3252,9677.0,1706043299999
93,1706043300000,1.3251,1.3292,1.3215,1.3274,64735.0,1706043599999
94,1706043600000,1.327,1.3335,1.3257,1.3291,15457.0,1706043899999
95,1706043900000,1.3287,1.3297,1.3266,1.3297,7907.0,1706044199999
96,1706044200000,1.3295,1.3315,1.329,1.329,11314.0,1706044499999
97,1706044500000,1.3293,1.3293,1.3224,1.3224,12828.0,1706044799999
98,1706044800000,1.3226,1.3249,1.3209,1.3247,14035.0,1706045099999
99,1706045100000,1.3246,1.3281,1.324,1.3247,12385.0,1706045399999
100,1706045400000,1.3242,1.3295,1.323,1.3264,12508.0,1706045699999
101,1706045700000,1.3263,1.3315,1.3257,1.3311,8334.0,1706045999999
102,1706046000000,1.3313,1.3325,1.3291,1.3308,7187.0,1706046299999
103,1706046300000,1.3304,1.3322,1.327,1.3279,16722.0,1706046599999
104,1706046600000,1.328,1.3284,1.3238,1.3276,6557.0,1706046899999
105,1706046900000,1.3274,1.3316,1.3269,1.3304,11485.0,1706047199999
106,1706047200000,1.3302,1.3333,1.3289,1.333,21265.0,1706047499999
107,1706047500000,1.3331,1.3377,1.3323,1.3345,28912.0,1706047799999
108,1706047800000,1.3345,1.3358,1.3334,1.3346,12583.0,1706048099999
109,1706048100000,1.3348,1.3355,1.3335,1.335,9687.0,1706048399999
110,1706048400000,1.3347,1.3392,1.3347,1.3385,10538.0,1706048699999
111,1706048700000,1.3385,1.3403,1.3363,1.3398,20292.0,1706048999999
112,1706049000000,1.34,1.3415,1.3396,1.3415,6265.0,1706049299999
113,1706049300000,1.3414,1.344,1.3414,1.3414,30431.0,1706049599999
114,1706049600000,1.3412,1.3456,1.341,1.3449,16530.0,1706049899999
115,1706049900000,1.3448,1.3448,1.3408,1.3416,17327.0,1706050199999
116,1706050200000,1.3415,1.346,1.3413,1.346,12930.0,1706050499999
117,1706050500000,1.3459,1.3472,1.3421,1.3436,17668.0,1706050799999
118,1706050800000,1.3439,1.3484,1.3433,1.3466,15783.0,1706051099999
119,1706051100000,1.3466,1.3497,1.3453,1.3497,15966.0,1706051399999
120,1706051400000,1.3496,1.3519,1.3487,1.3512,14229.0,1706051699999
121,1706051700000,1.3511,1.3515,1.3483,1.351,13806.0,1706051999999
122,1706052000000,1.3509,1.3524,1.3496,1.3524,5368.0,1706052299999
123,1706052300000,1.3525,1.359,1.3521,1.359,26173.0,1706052599999
124,1706052600000,1.3589,1.3589,1.3547,1.3552,10515.0,1706052899999
125,1706052900000,1.3551,1.3564,1.3538,1.3546,9254.0,1706053199999
126,1706053200000,1.3545,1.3557,1.3516,1.3516,8879.0,1706053499999
127,1706053500000,1.3517,1.3593,1.3511,1.3593,34383.0,1706053799999
128,1706053800000,1.3593,1.3625,1.3593,1.3622,22938.0,1706054099999
129,1706054100000,1.3622,1.3632,1.3596,1.3619,41709.0,1706054399999
130,1706054400000,1.3621,1.3653,1.3593,1.361,35658.0,1706054699999
131,1706054700000,1.3611,1.3623,1.3583,1.3592,16797.0,1706054999999
132,1706055000000,1.3594,1.3601,1.3563,1.3574,35056.0,1706055299999
133,1706055300000,1.3576,1.359,1.3512,1.3581,69340.0,1706055599999
134,1706055600000,1.3582,1.3618,1.3561,1.3603,26783.0,1706055899999
135,1706055900000,1.3604,1.3605,1.3557,1.3582,20109.0,1706056199999
136,1706056200000,1.3576,1.3622,1.3571,1.3618,6997.0,1706056499999
137,1706056500000,1.3619,1.3619,1.3584,1.3587,13974.0,1706056799999
138,1706056800000,1.3586,1.3594,1.3572,1.3594,9752.0,1706057099999
139,1706057100000,1.3598,1.3667,1.3584,1.3667,20360.0,1706057399999
140,1706057400000,1.3666,1.3721,1.3663,1.3707,14032.0,1706057699999
141,1706057700000,1.371,1.3712,1.3669,1.368,11692.0,1706057999999
142,1706058000000,1.3681,1.3682,1.3603,1.3618,26413.0,1706058299999
143,1706058300000,1.3618,1.3624,1.358,1.3618,17453.0,1706058599999
144,1706058600000,1.3613,1.3614,1.3579,1.3602,16059.0,1706058899999
145,1706058900000,1.3603,1.3626,1.3554,1.3555,19529.0,1706059199999
146,1706059200000,1.3556,1.358,1.3531,1.3566,21379.0,1706059499999
147,1706059500000,1.3568,1.3592,1.3556,1.3565,9049.0,1706059799999
148,1706059800000,1.3566,1.3584,1.3545,1.3548,8572.0,1706060099999
149,1706060100000,1.3547,1.3554,1.3513,1.3542,17352.0,1706060399999
150,1706060400000,1.3543,1.3546,1.3504,1.3519,6938.0,1706060699999
151,1706060700000,1.352,1.3549,1.3514,1.3525,8977.0,1706060999999
152,1706061000000,1.3525,1.3529,1.3495,1.3496,6993.0,1706061299999
153,1706061300000,1.3497,1.3499,1.348,1.349,17674.0,1706061599999
154,1706061600000,1.3491,1.3517,1.3458,1.3505,50727.0,1706061899999
155,1706061900000,1.3507,1.3526,1.3496,1.3518,25067.0,1706062199999
156,1706062200000,1.3514,1.3525,1.3512,1.3517,9654.0,1706062499999
157,1706062500000,1.3516,1.355,1.3514,1.3533,18168.0,1706062799999
158,1706062800000,1.3532,1.3564,1.3529,1.3543,13855.0,1706063099999
159,1706063100000,1.3541,1.3543,1.352,1.3523,8151.0,1706063399999
160,1706063400000,1.3522,1.3561,1.3518,1.3551,15702.0,1706063699999
161,1706063700000,1.3551,1.3566,1.3549,1.3554,8774.0,1706063999999
162,1706064000000,1.3553,1.3553,1.3503,1.3504,17484.0,1706064299999
163,1706064300000,1.3505,1.3506,1.3452,1.3489,13493.0,1706064599999
164,1706064600000,1.3485,1.3498,1.3463,1.349,12771.0,1706064899999
165,1706064900000,1.3489,1.3535,1.3488,1.3514,21075.0,1706065199999
166,1706065200000,1.3515,1.3526,1.3501,1.3516,6641.0,1706065499999
167,1706065500000,1.3515,1.353,1.3484,1.3505,31134.0,1706065799999
168,1706065800000,1.3505,1.3536,1.3497,1.3518,17350.0,1706066099999
169,1706066100000,1.3519,1.3536,1.3506,1.3526,6665.0,1706066399999
170,1706066400000,1.3524,1.3528,1.346,1.3469,22254.0,1706066699999
171,1706066700000,1.3468,1.3476,1.3439,1.3472,15002.0,1706066999999
172,1706067000000,1.3473,1.3491,1.3464,1.348,9518.0,1706067299999
173,1706067300000,1.3482,1.3492,1.3456,1.3484,17015.0,1706067599999
174,1706067600000,1.3485,1.3517,1.3485,1.3497,11369.0,1706067899999
175,1706067900000,1.3497,1.3505,1.3475,1.3481,6580.0,1706068199999
176,1706068200000,1.3481,1.3494,1.3446,1.3475,9456.0,1706068499999
177,1706068500000,1.3475,1.3476,1.3458,1.3476,5147.0,1706068799999
178,1706068800000,1.3474,1.3507,1.3471,1.3503,7433.0,1706069099999
179,1706069100000,1.3505,1.353,1.3455,1.3461,23306.0,1706069399999
180,1706069400000,1.3461,1.3466,1.3439,1.3464,22700.0,1706069699999
181,1706069700000,1.3459,1.3506,1.3454,1.3499,7138.0,1706069999999
182,1706070000000,1.35,1.3511,1.348,1.3504,6270.0,1706070299999
183,1706070300000,1.3509,1.3531,1.3505,1.3531,8068.0,1706070599999
184,1706070600000,1.3531,1.3552,1.3524,1.3541,12092.0,1706070899999
185,1706070900000,1.3542,1.3547,1.35,1.3511,9769.0,1706071199999
186,1706071200000,1.3509,1.3509,1.3465,1.3474,11386.0,1706071499999
187,1706071500000,1.3476,1.3513,1.3476,1.3501,9941.0,1706071799999
188,1706071800000,1.35,1.35,1.3462,1.3462,5332.0,1706072099999
189,1706072100000,1.3469,1.3474,1.3444,1.3459,18068.0,1706072399999
190,1706072400000,1.3459,1.35,1.3459,1.349,24558.0,1706072699999
191,1706072700000,1.3489,1.3503,1.3479,1.3502,6430.0,1706072999999
192,1706073000000,1.3502,1.3551,1.3501,1.3543,31385.0,1706073299999
193,1706073300000,1.3544,1.3582,1.3541,1.3556,16961.0,1706073599999
194,1706073600000,1.3556,1.3572,1.354,1.3567,12109.0,1706073899999
195,1706073900000,1.3563,1.3569,1.3547,1.3556,13226.0,1706074199999
196,1706074200000,1.3555,1.3593,1.355,1.3582,10556.0,1706074499999
197,1706074500000,1.3581,1.3592,1.3546,1.355,17046.0,1706074799999
198,1706074800000,1.3546,1.3574,1.3541,1.3566,15258.0,1706075099999
199,1706075100000,1.3566,1.3588,1.3555,1.3555,6351.0,1706075399999
200,1706075400000,1.356,1.3566,1.3542,1.3544,5399.0,1706075699999
201,1706075700000,1.3543,1.3567,1.3529,1.3561,12381.0,1706075999999
202,1706076000000,1.3561,1.3584,1.354,1.3544,29964.0,1706076299999
203,1706076300000,1.3542,1.3542,1.3482,1.35,17584.0,1706076599999
204,1706076600000,1.35,1.3514,1.3467,1.3484,20906.0,1706076899999
205,1706076900000,1.3485,1.3509,1.3478,1.3507,6809.0,1706077199999
206,1706077200000,1.3508,1.3522,1.3498,1.3517,5778.0,1706077499999
207,1706077500000,1.3517,1.3564,1.3498,1.3549,7453.0,1706077799999
208,1706077800000,1.3551,1.362,1.3543,1.36,17111.0,1706078099999
209,1706078100000,1.36,1.36,1.3576,1.3579,12167.0,1706078399999
210,1706078400000,1.3579,1.3596,1.3571,1.3594,9125.0,1706078699999
211,1706078700000,1.3592,1.3612,1.359,1.3607,8191.0,1706078999999
212,1706079000000,1.3602,1.3615,1.3594,1.3612,4326.0,1706079299999
213,1706079300000,1.3612,1.3629,1.3612,1.3622,5757.0,1706079599999
214,1706079600000,1.3623,1.3625,1.3597,1.3606,5992.0,1706079899999
215,1706079900000,1.3607,1.3612,1.3579,1.3606,12276.0,1706080199999
216,1706080200000,1.3606,1.3649,1.3606,1.3642,22472.0,1706080499999
217,1706080500000,1.3642,1.3687,1.364,1.3681,27427.0,1706080799999
218,1706080800000,1.368,1.3736,1.3679,1.3729,21849.0,1706081099999
219,1706081100000,1.3731,1.374,1.3699,1.3725,19003.0,1706081399999
220,1706081400000,1.3727,1.3736,1.3706,1.3721,17146.0,1706081699999
221,1706081700000,1.372,1.3724,1.3685,1.3704,14475.0,1706081999999
222,1706082000000,1.371,1.3722,1.37,1.3713,9887.0,1706082299999
223,1706082300000,1.3716,1.372,1.3678,1.3678,21613.0,1706082599999
224,1706082600000,1.3679,1.3684,1.3662,1.3682,6393.0,1706082899999
225,1706082900000,1.3682,1.37,1.368,1.37,10071.0,1706083199999
226,1706083200000,1.3697,1.3736,1.3684,1.3728,13437.0,1706083499999
227,1706083500000,1.373,1.3765,1.3729,1.3738,35081.0,1706083799999
228,1706083800000,1.3737,1.3763,1.3725,1.3752,11281.0,1706084099999
229,1706084100000,1.3752,1.3768,1.3692,1.3718,21910.0,1706084399999
230,1706084400000,1.3719,1.3719,1.3685,1.3707,10478.0,1706084699999
231,1706084700000,1.3708,1.3711,1.3671,1.3683,7025.0,1706084999999
232,1706085000000,1.3684,1.3694,1.3648,1.366,14407.0,1706085299999
233,1706085300000,1.3673,1.3688,1.3666,1.367,13959.0,1706085599999
234,1706085600000,1.367,1.3675,1.3656,1.3656,6232.0,1706085899999
235,1706085900000,1.3655,1.3723,1.3655,1.3713,31113.0,1706086199999
236,1706086200000,1.3713,1.3746,1.3702,1.3744,18017.0,1706086499999
237,1706086500000,1.3745,1.376,1.3719,1.3721,7820.0,1706086799999
238,1706086800000,1.372,1.3772,1.3709,1.3755,9506.0,1706087099999
239,1706087100000,1.3756,1.3772,1.3734,1.3761,30235.0,1706087399999
240,1706087400000,1.3761,1.3813,1.3761,1.3813,44757.0,1706087699999
241,1706087700000,1.3814,1.3823,1.3796,1.3797,20787.0,1706087999999
242,1706088000000,1.3799,1.381,1.3753,1.3783,12068.0,1706088299999
243,1706088300000,1.3786,1.3812,1.3785,1.3803,4735.0,1706088599999
244,1706088600000,1.3801,1.3803,1.3761,1.3776,10702.0,1706088899999
245,1706088900000,1.3776,1.3776,1.3745,1.3749,4893.0,1706089199999
246,1706089200000,1.3751,1.376,1.3739,1.3754,4271.0,1706089499999
247,1706089500000,1.3744,1.3757,1.371,1.3725,6671.0,1706089799999
248,1706089800000,1.3726,1.3777,1.3726,1.3763,18693.0,1706090099999
249,1706090100000,1.3765,1.3793,1.3761,1.3767,53365.0,1706090399999
250,1706090400000,1.3768,1.3815,1.3758,1.3813,33882.0,1706090699999
251,1706090700000,1.3816,1.3846,1.3816,1.3829,46490.0,1706090999999
252,1706091000000,1.3828,1.3844,1.3826,1.3838,14770.0,1706091299999
253,1706091300000,1.3843,1.3849,1.3822,1.3827,11916.0,1706091599999
254,1706091600000,1.3828,1.3845,1.3822,1.3834,4955.0,1706091899999
255,1706091900000,1.3832,1.3854,1.3828,1.3848,9415.0,1706092199999
256,1706092200000,1.3841,1.3848,1.3824,1.3829,13952.0,1706092499999
257,1706092500000,1.3831,1.3851,1.3821,1.3845,6272.0,1706092799999
258,1706092800000,1.3846,1.3903,1.3838,1.3869,49673.0,1706093099999
259,1706093100000,1.3868,1.3928,1.3866,1.3911,44929.0,1706093399999
260,1706093400000,1.3912,1.3934,1.3884,1.3893,18761.0,1706093699999
261,1706093700000,1.3886,1.3897,1.3884,1.389,6474.0,1706093999999
262,1706094000000,1.389,1.3894,1.3831,1.3849,24859.0,1706094299999
263,1706094300000,1.3848,1.3869,1.3831,1.3863,33356.0,1706094599999
264,1706094600000,1.3864,1.3873,1.3845,1.385,24745.0,1706094899999
265,1706094900000,1.3848,1.3859,1.3783,1.3805,77428.0,1706095199999
266,1706095200000,1.3806,1.3851,1.3799,1.3849,44650.0,1706095499999
267,1706095500000,1.385,1.3855,1.3823,1.3824,9801.0,1706095799999
268,1706095800000,1.3828,1.3847,1.3803,1.383,13863.0,1706096099999
269,1706096100000,1.383,1.383,1.3798,1.3809,13935.0,1706096399999
270,1706096400000,1.3809,1.3809,1.3758,1.377,12906.0,1706096699999
271,1706096700000,1.3772,1.379,1.3732,1.3786,33914.0,1706096999999
272,1706097000000,1.3786,1.381,1.3772,1.3789,20032.0,1706097299999
273,1706097300000,1.3787,1.38,1.3785,1.3797,7780.0,1706097599999
274,1706097600000,1.3796,1.3858,1.3786,1.3833,21572.0,1706097899999
275,1706097900000,1.3831,1.3859,1.3823,1.3829,14848.0,1706098199999
276,1706098200000,1.3829,1.3837,1.3809,1.3837,15588.0,1706098499999
277,1706098500000,1.3836,1.3848,1.3817,1.3821,14199.0,1706098799999
278,1706098800000,1.3819,1.3844,1.3807,1.3838,8406.0,1706099099999
279,1706099100000,1.3835,1.3852,1.383,1.3835,5792.0,1706099399999
280,1706099400000,1.3826,1.3827,1.38,1.3818,28076.0,1706099699999
281,1706099700000,1.3816,1.383,1.3795,1.3816,13843.0,1706099999999
282,1706100000000,1.3819,1.3868,1.381,1.386,9638.0,1706100299999
283,1706100300000,1.386,1.3865,1.3834,1.3834,8550.0,1706100599999
284,1706100600000,1.3834,1.3836,1.3787,1.3806,22719.0,1706100899999
285,1706100900000,1.3798,1.38,1.375,1.3762,29723.0,1706101199999
286,1706101200000,1.3763,1.3801,1.3745,1.3748,15662.0,1706101499999
287,1706101500000,1.3751,1.3768,1.3727,1.3757,23682.0,1706101799999
288,1706101800000,1.3757,1.3776,1.3747,1.3774,19398.0,1706102099999
289,1706102100000,1.3775,1.3778,1.3705,1.3748,35098.0,1706102399999
290,1706102400000,1.3748,1.3784,1.3739,1.3765,10744.0,1706102699999
291,1706102700000,1.3768,1.3806,1.3768,1.3786,8679.0,1706102999999
292,1706103000000,1.3785,1.3789,1.3744,1.3746,13287.0,1706103299999
293,1706103300000,1.3745,1.3754,1.3721,1.3725,14641.0,1706103599999
294,1706103600000,1.3725,1.3726,1.3644,1.3665,22514.0,1706103899999
295,1706103900000,1.3663,1.3685,1.3631,1.3646,38472.0,1706104199999
