,open_time,open,high,low,close,VOLUME,close_time
0,1707104220000,28.57,28.61,28.54,28.58,7491.7,1707104279999
1,1707104280000,28.58,28.65,28.58,28.62,4369.2,1707104339999
2,1707104340000,28.62,28.69,28.6,28.64,4267.9,1707104399999
3,1707104400000,28.63,28.63,28.52,28.52,5513.4,1707104459999
4,1707104460000,28.53,28.54,28.3,28.3,22582.2,1707104519999
5,1707104520000,28.29,28.29,28.13,28.14,31258.3,1707104579999
6,1707104580000,28.15,28.18,28.1,28.1,11602.6,1707104639999
7,1707104640000,28.11,28.19,28.09,28.11,13114.2,1707104699999
8,1707104700000,28.12,28.28,28.09,28.22,16469.0,1707104759999
9,1707104760000,28.22,28.35,28.21,28.33,11997.4,1707104819999
10,1707104820000,28.32,28.38,28.31,28.37,6715.6,1707104879999
11,1707104880000,28.36,28.44,28.36,28.44,9483.1,1707104939999
12,1707104940000,28.43,28.44,28.39,28.41,4488.5,1707104999999
13,1707105000000,28.41,28.44,28.34,28.37,7363.4,1707105059999
14,1707105060000,28.37,28.41,28.35,28.39,3761.8,1707105119999
15,1707105120000,28.39,28.62,28.36,28.56,14231.0,1707105179999
16,1707105180000,28.56,28.56,28.46,28.49,6547.1,1707105239999
17,1707105240000,28.49,28.53,28.47,28.5,5157.9,1707105299999
18,1707105300000,28.5,28.58,28.47,28.52,8275.7,1707105359999
19,1707105360000,28.52,28.53,28.48,28.51,4156.2,1707105419999
20,1707105420000,28.51,28.6,28.51,28.57,12385.8,1707105479999
21,1707105480000,28.56,28.59,28.55,28.57,4809.8,1707105539999
22,1707105540000,28.57,28.59,28.54,28.57,4297.3,1707105599999
23,1707105600000,28.57,28.74,28.56,28.73,14061.1,1707105659999
24,1707105660000,28.73,28.73,28.63,28.66,6362.4,1707105719999
25,1707105720000,28.66,28.66,28.56,28.57,6999.0,1707105779999
26,1707105780000,28.57,28.57,28.48,28.48,7375.4,1707105839999
27,1707105840000,28.49,28.61,28.45,28.59,7630.4,1707105899999
28,1707105900000,28.59,28.69,28.54,28.63,10910.7,1707105959999
29,1707105960000,28.62,28.75,28.62,28.67,11875.8,1707106019999
30,1707106020000,28.66,28.7,28.63,28.66,6242.6,1707106079999
31,1707106080000,28.66,28.7,28.65,28.67,3307.8,1707106139999
32,1707106140000,28.67,28.73,28.63,28.72,5692.4,1707106199999
33,1707106200000,28.7,28.72,28.66,28.7,4239.2,1707106259999
34,1707106260000,28.69,28.7,28.54,28.55,6235.2,1707106319999
35,1707106320000,28.55,28.64,28.51,28.52,5930.3,1707106379999
36,1707106380000,28.51,28.51,28.41,28.44,10242.9,1707106439999
37,1707106440000,28.45,28.58,28.43,28.55,5786.5,1707106499999
38,1707106500000,28.55,28.67,28.52,28.67,8603.8,1707106559999
39,1707106560000,28.66,28.76,28.66,28.71,12745.6,1707106619999
40,1707106620000,28.71,28.71,28.63,28.69,5036.5,1707106679999
41,1707106680000,28.68,28.76,28.67,28.74,7194.8,1707106739999
42,1707106740000,28.73,28.8,28.73,28.76,5608.3,1707106799999
43,1707106800000,28.76,28.8,28.73,28.8,5626.7,1707106859999
44,1707106860000,28.8,28.8,28.66,28.7,5657.6,1707106919999
45,1707106920000,28.69,28.69,28.57,28.61,8093.9,1707106979999
46,1707106980000,28.62,28.62,28.45,28.46,9916.5,1707107039999
47,1707107040000,28.46,28.49,28.31,28.41,15674.8,1707107099999
48,1707107100000,28.41,28.43,28.23,28.3,19427.1,1707107159999
49,1707107160000,28.3,28.35,28.27,28.35,10276.9,1707107219999
50,1707107220000,28.34,28.39,28.31,28.35,5892.0,1707107279999
51,1707107280000,28.34,28.34,28.25,28.31,7574.6,1707107339999
52,1707107340000,28.31,28.4,28.27,28.34,5743.6,1707107399999
53,1707107400000,28.35,28.44,28.22,28.42,13237.4,1707107459999
54,1707107460000,28.41,28.52,28.37,28.5,11099.8,1707107519999
55,1707107520000,28.5,28.51,28.41,28.42,5954.4,1707107579999
56,1707107580000,28.42,28.51,28.42,28.5,6428.7,1707107639999
57,1707107640000,28.51,28.64,28.51,28.59,8044.5,1707107699999
58,1707107700000,28.59,28.66,28.55,28.57,8378.2,1707107759999
59,1707107760000,28.56,28.58,28.38,28.41,10543.8,1707107819999
60,1707107820000,28.41,28.44,28.33,28.35,10242.5,1707107879999
61,1707107880000,28.34,28.38,28.29,28.38,6350.9,1707107939999
62,1707107940000,28.38,28.45,28.37,28.42,4754.6,1707107999999
63,1707108000000,28.42,28.52,28.37,28.46,7658.1,1707108059999
64,1707108060000,28.46,28.5,28.42,28.43,3694.6,1707108119999
65,1707108120000,28.43,28.49,28.39,28.42,4406.9,1707108179999
66,1707108180000,28.42,28.45,28.38,28.43,3396.4,1707108239999
67,1707108240000,28.43,28.51,28.42,28.47,5334.5,1707108299999
68,1707108300000,28.48,28.55,28.36,28.37,7358.7,1707108359999
69,1707108360000,28.37,28.43,28.34,28.37,6076.3,1707108419999
70,1707108420000,28.36,28.36,28.21,28.27,9854.2,1707108479999
71,1707108480000,28.27,28.34,28.26,28.32,6988.2,1707108539999
72,1707108540000,28.31,28.4,28.3,28.38,5061.2,1707108599999
73,1707108600000,28.37,28.4,28.31,28.32,6029.8,1707108659999
