,open_time,open,high,low,close,volume,close_time
0,1706007300000,54.816,55.232,54.744,55.025,70520.8,1706007599999
1,1706007600000,55.026,55.536,54.903,55.202,101603.6,1706007899999
2,1706007900000,55.202,55.426,55.033,55.355,47721.4,1706008199999
3,1706008200000,55.356,55.583,55.343,55.422,48157.9,1706008499999
4,1706008500000,55.422,55.518,55.2,55.268,41397.9,1706008799999
5,1706008800000,55.267,55.321,55.01,55.144,55041.7,1706009099999
6,1706009100000,55.144,55.292,54.719,54.759,98751.9,1706009399999
7,1706009400000,54.758,55.087,54.194,54.3,137928.0,1706009699999
8,1706009700000,54.3,54.933,54.15,54.462,94261.1,1706009999999
9,1706010000000,54.461,54.653,54.219,54.597,90716.7,1706010299999
10,1706010300000,54.599,54.99,54.475,54.806,95417.2,1706010599999
11,1706010600000,54.801,54.867,54.311,54.695,98301.4,1706010899999
12,1706010900000,54.698,55.279,54.632,55.167,106797.2,1706011199999
13,1706011200000,55.163,55.7,54.982,55.659,90375.8,1706011499999
14,1706011500000,55.658,55.728,55.311,55.63,57199.4,1706011799999
15,1706011800000,55.624,55.72,55.303,55.347,47768.4,1706012099999
16,1706012100000,55.351,55.45,54.93,55.001,70338.8,1706012399999
17,1706012400000,54.996,55.342,54.888,55.118,48512.3,1706012699999
18,1706012700000,55.118,55.318,54.962,55.039,36919.3,1706012999999
19,1706013000000,55.039,55.149,54.218,54.48,107375.3,1706013299999
20,1706013300000,54.471,54.69,54.335,54.472,96723.2,1706013599999
21,1706013600000,54.472,54.797,54.236,54.553,59585.4,1706013899999
22,1706013900000,54.553,54.7,54.31,54.664,45023.1,1706014199999
23,1706014200000,54.664,54.927,54.421,54.539,62908.2,1706014499999
24,1706014500000,54.54,55.318,54.54,55.055,85817.8,1706014799999
25,1706014800000,55.047,55.096,54.573,54.724,77871.4,1706015099999
26,1706015100000,54.714,54.769,54.408,54.618,43726.9,1706015399999
27,1706015400000,54.611,54.611,53.718,53.953,214920.4,1706015699999
28,1706015700000,53.945,54.247,53.615,53.936,114941.5,1706015999999
29,1706016000000,53.935,54.178,53.625,53.872,86712.2,1706016299999
30,1706016300000,53.872,54.142,53.839,53.99,75601.6,1706016599999
31,1706016600000,53.99,54.355,53.859,54.253,79584.7,1706016899999
32,1706016900000,54.256,54.6,54.217,54.49,50312.9,1706017199999
33,1706017200000,54.49,54.519,54.209,54.35,32188.7,1706017499999
34,1706017500000,54.352,54.367,53.701,53.732,70967.1,1706017799999
35,1706017800000,53.73,53.828,52.5,52.897,551488.9,1706018099999
36,1706018100000,52.907,53.165,52.705,52.911,135787.6,1706018399999
37,1706018400000,52.912,53.163,51.78,52.305,410410.7,1706018699999
38,1706018700000,52.294,52.56,51.5,51.717,396182.2,1706018999999
39,1706019000000,51.717,52.47,51.541,52.289,254724.5,1706019299999
40,1706019300000,52.28,52.7,51.296,51.466,378010.1,1706019599999
41,1706019600000,51.466,52.148,51.073,52.049,267244.9,1706019899999
42,1706019900000,52.055,54.297,52.025,53.321,513705.3,1706020199999
43,1706020200000,53.314,53.489,52.664,52.775,223341.0,1706020499999
44,1706020500000,52.768,53.28,52.62,52.763,126658.7,1706020799999
45,1706020800000,52.764,53.108,52.689,52.827,74760.5,1706021099999
46,1706021100000,52.827,53.027,52.593,52.802,94193.9,1706021399999
47,1706021400000,52.796,53.746,52.669,53.093,196157.4,1706021699999
48,1706021700000,53.092,53.67,53.092,53.511,92910.0,1706021999999
49,1706022000000,53.51,53.915,53.33,53.64,219859.1,1706022299999
50,1706022300000,53.639,53.87,53.136,53.261,124448.9,1706022599999
51,1706022600000,53.261,53.889,53.153,53.794,91292.4,1706022899999
52,1706022900000,53.795,53.948,52.972,53.079,122343.8,1706023199999
53,1706023200000,53.082,53.201,52.798,53.132,88863.1,1706023499999
54,1706023500000,53.133,53.617,53.059,53.6,85439.5,1706023799999
55,1706023800000,53.595,53.655,53.002,53.392,87276.9,1706024099999
56,1706024100000,53.392,54.139,53.305,54.057,82485.2,1706024399999
57,1706024400000,54.065,54.958,54.054,54.373,295014.2,1706024699999
58,1706024700000,54.384,54.384,53.907,54.01,126027.8,1706024999999
59,1706025000000,54.009,54.016,53.408,53.721,119554.6,1706025299999
60,1706025300000,53.717,53.747,53.45,53.605,66901.4,1706025599999
61,1706025600000,53.604,53.838,53.253,53.309,98276.9,1706025899999
62,1706025900000,53.315,53.636,53.261,53.366,58923.2,1706026199999
