,open_time,open,high,low,close,VOLUME,close_time
0,1706856780000,2.8478,2.8478,2.8398,2.8424,22445.0,1706856839999
1,1706856840000,2.8427,2.843,2.8294,2.8316,46915.0,1706856899999
2,1706856900000,2.832,2.8327,2.8256,2.8258,44071.0,1706856959999
3,1706856960000,2.8261,2.8323,2.8246,2.8314,29300.0,1706857019999
4,1706857020000,2.8316,2.8331,2.8301,2.8309,8943.0,1706857079999
5,1706857080000,2.8305,2.8356,2.8305,2.8318,31324.0,1706857139999
6,1706857140000,2.8323,2.8323,2.825,2.8288,43183.0,1706857199999
7,1706857200000,2.8283,2.8361,2.8283,2.8316,27009.0,1706857259999
8,1706857260000,2.8319,2.8324,2.8268,2.8296,24107.0,1706857319999
9,1706857320000,2.83,2.83,2.8216,2.8253,31900.0,1706857379999
10,1706857380000,2.8246,2.8307,2.8181,2.8307,26771.0,1706857439999
11,1706857440000,2.8308,2.837,2.8294,2.8346,27799.0,1706857499999
12,1706857500000,2.8346,2.8354,2.8206,2.8228,26818.0,1706857559999
13,1706857560000,2.8227,2.8236,2.8175,2.8204,51252.0,1706857619999
14,1706857620000,2.8201,2.8205,2.8155,2.8161,26914.0,1706857679999
15,1706857680000,2.8162,2.8329,2.8162,2.8277,33397.0,1706857739999
16,1706857740000,2.8275,2.8534,2.8265,2.848,109523.0,1706857799999
17,1706857800000,2.8473,2.8499,2.8339,2.8374,46422.0,1706857859999
18,1706857860000,2.8378,2.8418,2.8366,2.8403,15653.0,1706857919999
19,1706857920000,2.8404,2.8438,2.8384,2.8425,13205.0,1706857979999
20,1706857980000,2.8425,2.8472,2.8408,2.8464,11485.0,1706858039999
21,1706858040000,2.8468,2.8546,2.8456,2.8479,60573.0,1706858099999
22,1706858100000,2.8472,2.848,2.8449,2.8468,11947.0,1706858159999
23,1706858160000,2.8469,2.848,2.84,2.84,29694.0,1706858219999
24,1706858220000,2.84,2.8459,2.84,2.8437,16340.0,1706858279999
25,1706858280000,2.8438,2.8454,2.8421,2.8438,9810.0,1706858339999
26,1706858340000,2.8434,2.8484,2.8434,2.8468,16930.0,1706858399999
27,1706858400000,2.8462,2.8475,2.8369,2.8397,21740.0,1706858459999
28,1706858460000,2.8393,2.8458,2.8374,2.8391,13569.0,1706858519999
29,1706858520000,2.8393,2.8399,2.8311,2.8357,34861.0,1706858579999
30,1706858580000,2.8358,2.8474,2.8352,2.8436,21236.0,1706858639999
31,1706858640000,2.8436,2.848,2.8436,2.8461,11497.0,1706858699999
32,1706858700000,2.8467,2.852,2.8448,2.8448,25661.0,1706858759999
33,1706858760000,2.8449,2.849,2.8427,2.846,19941.0,1706858819999
34,1706858820000,2.8463,2.852,2.842,2.8433,39963.0,1706858879999
35,1706858880000,2.8425,2.8429,2.8323,2.834,38351.0,1706858939999
36,1706858940000,2.8337,2.8389,2.8327,2.8338,20879.0,1706858999999
37,1706859000000,2.8336,2.8382,2.831,2.8342,21039.0,1706859059999
38,1706859060000,2.8339,2.8425,2.83,2.8425,24076.0,1706859119999
39,1706859120000,2.8419,2.8489,2.839,2.8443,15344.0,1706859179999
40,1706859180000,2.8444,2.8444,2.8357,2.8421,16784.0,1706859239999
41,1706859240000,2.8425,2.8425,2.8377,2.8388,6964.0,1706859299999
42,1706859300000,2.8391,2.8484,2.8381,2.8476,25484.0,1706859359999
43,1706859360000,2.8475,2.8518,2.8469,2.8502,21024.0,1706859419999
44,1706859420000,2.85,2.8525,2.8438,2.8453,26791.0,1706859479999
45,1706859480000,2.8455,2.8551,2.8453,2.8495,26653.0,1706859539999
46,1706859540000,2.8509,2.856,2.8497,2.8549,43418.0,1706859599999
47,1706859600000,2.8538,2.8542,2.8479,2.8479,12859.0,1706859659999
48,1706859660000,2.8479,2.8483,2.8434,2.8483,10927.0,1706859719999
49,1706859720000,2.8483,2.8493,2.8422,2.846,16255.0,1706859779999
50,1706859780000,2.8453,2.8478,2.8441,2.8446,14718.0,1706859839999
51,1706859840000,2.8442,2.8485,2.844,2.8462,7259.0,1706859899999
52,1706859900000,2.8461,2.848,2.8441,2.8458,16446.0,1706859959999
53,1706859960000,2.8455,2.8503,2.845,2.848,15304.0,1706860019999
54,1706860020000,2.848,2.8548,2.8473,2.8538,15044.0,1706860079999
55,1706860080000,2.8535,2.8565,2.8486,2.8546,31899.0,1706860139999
56,1706860140000,2.8547,2.8625,2.8516,2.8571,137488.0,1706860199999
57,1706860200000,2.8569,2.8624,2.8567,2.8592,33709.0,1706860259999
58,1706860260000,2.8588,2.8597,2.8452,2.8452,39341.0,1706860319999
59,1706860320000,2.8452,2.849,2.8408,2.8408,35725.0,1706860379999
60,1706860380000,2.841,2.8508,2.841,2.8482,28654.0,1706860439999
61,1706860440000,2.848,2.8523,2.8454,2.8459,16356.0,1706860499999
62,1706860500000,2.8457,2.8498,2.8449,2.8462,17217.0,1706860559999
