,open_time,open,high,low,close,VOLUME,close_time
0,1710099300000,0.7878,0.7881,0.7855,0.7861,172024.5,1710099359999
1,1710099360000,0.7861,0.7896,0.7861,0.7886,149282.9,1710099419999
2,1710099420000,0.7886,0.7887,0.7864,0.787,192375.5,1710099479999
3,1710099480000,0.787,0.7872,0.7848,0.786,224598.7,1710099539999
4,1710099540000,0.7858,0.786,0.783,0.7832,203503.6,1710099599999
5,1710099600000,0.7833,0.7839,0.7825,0.7828,143896.7,1710099659999
6,1710099660000,0.7828,0.7828,0.7805,0.7818,195857.2,1710099719999
7,1710099720000,0.7818,0.7837,0.7818,0.7832,159037.0,1710099779999
8,1710099780000,0.7832,0.7862,0.7825,0.7861,193375.6,1710099839999
9,1710099840000,0.786,0.7875,0.7851,0.7856,128888.0,1710099899999
10,1710099900000,0.7854,0.7881,0.7854,0.7873,152775.6,1710099959999
11,1710099960000,0.7873,0.7895,0.7864,0.7892,210230.1,1710100019999
12,1710100020000,0.7892,0.7919,0.7886,0.791,304530.4,1710100079999
13,1710100080000,0.7909,0.7921,0.7891,0.7897,163498.8,1710100139999
14,1710100140000,0.7896,0.7926,0.7896,0.7904,200510.8,1710100199999
15,1710100200000,0.7903,0.792,0.7893,0.7902,226646.2,1710100259999
16,1710100260000,0.7901,0.7901,0.7884,0.7892,108371.2,1710100319999
17,1710100320000,0.7891,0.7891,0.7877,0.7881,229273.2,1710100379999
18,1710100380000,0.7881,0.7891,0.7862,0.7891,189984.3,1710100439999
19,1710100440000,0.7892,0.7893,0.7878,0.7879,96812.1,1710100499999
20,1710100500000,0.7876,0.7884,0.7864,0.7872,114195.4,1710100559999
21,1710100560000,0.7872,0.7881,0.7843,0.7844,221366.5,1710100619999
22,1710100620000,0.7844,0.7861,0.7834,0.7854,330859.7,1710100679999
23,1710100680000,0.7853,0.7865,0.784,0.7846,252652.8,1710100739999
24,1710100740000,0.7848,0.7856,0.7836,0.7842,158605.4,1710100799999
25,1710100800000,0.7842,0.7877,0.7833,0.7834,397140.7,1710100859999
26,1710100860000,0.7834,0.7837,0.7803,0.7805,423674.6,1710100919999
27,1710100920000,0.7806,0.7814,0.7793,0.781,456830.5,1710100979999
28,1710100980000,0.7809,0.7829,0.7798,0.7799,263145.8,1710101039999
29,1710101040000,0.7798,0.781,0.7789,0.781,270519.0,1710101099999
30,1710101100000,0.7809,0.7814,0.7801,0.7802,116658.2,1710101159999
31,1710101160000,0.7802,0.781,0.7791,0.7803,170243.4,1710101219999
32,1710101220000,0.7803,0.7842,0.7796,0.7841,227752.2,1710101279999
33,1710101280000,0.7842,0.7847,0.7821,0.7821,153771.9,1710101339999
34,1710101340000,0.782,0.7856,0.782,0.785,168408.5,1710101399999
35,1710101400000,0.7849,0.7887,0.7844,0.788,385483.7,1710101459999
36,1710101460000,0.788,0.7888,0.7871,0.7878,191957.2,1710101519999
37,1710101520000,0.7878,0.791,0.7876,0.7908,263601.7,1710101579999
38,1710101580000,0.7908,0.7999,0.7906,0.7961,1115158.7,1710101639999
39,1710101640000,0.796,0.7987,0.794,0.7965,571225.1,1710101699999
40,1710101700000,0.7966,0.797,0.7939,0.7945,316115.0,1710101759999
41,1710101760000,0.7945,0.7957,0.7907,0.7926,604529.5,1710101819999
42,1710101820000,0.7926,0.7945,0.792,0.7938,244919.2,1710101879999
43,1710101880000,0.7938,0.7971,0.7938,0.7967,367468.6,1710101939999
44,1710101940000,0.7966,0.797,0.795,0.7955,177472.3,1710101999999
45,1710102000000,0.7956,0.7986,0.7956,0.7966,220748.0,1710102059999
46,1710102060000,0.7966,0.7985,0.7966,0.7985,233620.9,1710102119999
47,1710102120000,0.7985,0.7993,0.7966,0.7981,429184.2,1710102179999
48,1710102180000,0.7981,0.7983,0.794,0.7968,488320.2,1710102239999
49,1710102240000,0.7968,0.7975,0.7939,0.7947,268960.1,1710102299999
50,1710102300000,0.7946,0.7958,0.7918,0.7919,311513.9,1710102359999
51,1710102360000,0.7919,0.7939,0.7909,0.793,373363.0,1710102419999
52,1710102420000,0.793,0.7949,0.7922,0.7925,113902.6,1710102479999
53,1710102480000,0.7922,0.7934,0.7913,0.7919,120359.9,1710102539999
54,1710102540000,0.7919,0.7964,0.7906,0.7948,469620.1,1710102599999
55,1710102600000,0.7948,0.7958,0.793,0.793,143815.4,1710102659999
56,1710102660000,0.7929,0.7947,0.7887,0.7903,584978.9,1710102719999
57,1710102720000,0.7902,0.7938,0.79,0.7935,189475.2,1710102779999
58,1710102780000,0.7936,0.7977,0.7936,0.7957,303196.8,1710102839999
59,1710102840000,0.7959,0.7974,0.795,0.7954,115732.5,1710102899999
60,1710102900000,0.7955,0.7968,0.795,0.7956,72370.5,1710102959999
61,1710102960000,0.7956,0.7964,0.7926,0.793,222593.7,1710103019999
62,1710103020000,0.7929,0.7934,0.79,0.791,163837.5,1710103079999
63,1710103080000,0.791,0.794,0.7901,0.7915,172864.8,1710103139999
64,1710103140000,0.7916,0.7935,0.7914,0.7929,149192.1,1710103199999
65,1710103200000,0.793,0.7958,0.793,0.7948,209991.4,1710103259999
66,1710103260000,0.7947,0.7962,0.7932,0.7948,246733.3,1710103319999
67,1710103320000,0.7948,0.7963,0.7936,0.7941,133357.2,1710103379999
68,1710103380000,0.7942,0.796,0.7937,0.7945,118730.5,1710103439999
69,1710103440000,0.7945,0.7956,0.794,0.7941,99285.8,1710103499999
70,1710103500000,0.794,0.795,0.7913,0.7933,335038.6,1710103559999
71,1710103560000,0.7933,0.7937,0.7912,0.792,280491.1,1710103619999
