,open_time,open,high,low,close,VOLUME,close_time
0,1714984140000,0.3124,0.3129,0.3124,0.3129,61048.0,1714984199999
1,1714984200000,0.3129,0.3134,0.3127,0.313,69828.0,1714984259999
2,1714984260000,0.313,0.3133,0.3128,0.3132,40332.0,1714984319999
3,1714984320000,0.3133,0.3138,0.3133,0.3137,74368.0,1714984379999
4,1714984380000,0.3137,0.3143,0.3137,0.3143,62743.0,1714984439999
5,1714984440000,0.3144,0.3144,0.314,0.3144,54265.0,1714984499999
6,1714984500000,0.3143,0.3149,0.3143,0.3146,145235.0,1714984559999
7,1714984560000,0.3146,0.3149,0.3141,0.3149,142271.0,1714984619999
8,1714984620000,0.315,0.3151,0.3136,0.3139,393461.0,1714984679999
9,1714984680000,0.314,0.3141,0.3137,0.3138,72534.0,1714984739999
10,1714984740000,0.3138,0.3145,0.3138,0.3145,55687.0,1714984799999
11,1714984800000,0.3145,0.3145,0.3141,0.3143,43498.0,1714984859999
12,1714984860000,0.3143,0.3143,0.314,0.3143,22532.0,1714984919999
13,1714984920000,0.3143,0.3146,0.3141,0.3141,36581.0,1714984979999
14,1714984980000,0.3141,0.3146,0.3139,0.3144,74906.0,1714985039999
15,1714985040000,0.3143,0.3145,0.314,0.3143,51741.0,1714985099999
16,1714985100000,0.3143,0.3144,0.3135,0.3136,48453.0,1714985159999
17,1714985160000,0.3136,0.3139,0.3134,0.3134,30331.0,1714985219999
18,1714985220000,0.3135,0.3138,0.3133,0.3138,36385.0,1714985279999
19,1714985280000,0.3138,0.314,0.3137,0.3137,34973.0,1714985339999
20,1714985340000,0.3137,0.3137,0.3134,0.3136,22625.0,1714985399999
21,1714985400000,0.3136,0.3137,0.313,0.3132,39866.0,1714985459999
22,1714985460000,0.3131,0.3131,0.3124,0.3126,51487.0,1714985519999
23,1714985520000,0.3127,0.3127,0.312,0.3121,70645.0,1714985579999
24,1714985580000,0.3121,0.3121,0.3115,0.312,144271.0,1714985639999
25,1714985640000,0.312,0.3121,0.3117,0.3121,94657.0,1714985699999
26,1714985700000,0.3122,0.3131,0.3122,0.3126,337534.0,1714985759999
27,1714985760000,0.3126,0.3133,0.3125,0.3131,125694.0,1714985819999
28,1714985820000,0.3131,0.3135,0.3131,0.3135,32298.0,1714985879999
