,open_time,open,high,low,close,VOLUME,close_time
0,1714984200000,10.0252,10.0856,10.0125,10.0786,107276.0,1714984499999
1,1714984500000,10.0778,10.0942,10.0285,10.0525,133258.7,1714984799999
2,1714984800000,10.0507,10.0528,9.9143,9.9305,197788.0,1714985099999
3,1714985100000,9.9288,9.9451,9.8694,9.9087,241853.8,1714985399999
4,1714985400000,9.9086,9.9123,9.7952,9.8666,368800.9,1714985699999
5,1714985700000,9.865,9.8652,9.7867,9.8297,201959.0,1714985999999
6,1714986000000,9.8296,9.852,9.7451,9.7945,211211.3,1714986299999
7,1714986300000,9.7945,9.8366,9.7781,9.7856,187477.1,1714986599999
8,1714986600000,9.7859,9.8474,9.7759,9.7997,224043.3,1714986899999
9,1714986900000,9.7996,9.8248,9.7787,9.8081,142304.4,1714987199999
10,1714987200000,9.8093,9.865,9.8011,9.8258,82596.6,1714987499999
11,1714987500000,9.8257,9.8358,9.7956,9.8137,83188.6,1714987799999
12,1714987800000,9.8139,9.8312,9.7949,9.8278,64585.4,1714988099999
13,1714988100000,9.8274,9.8587,9.8274,9.8565,50200.4,1714988399999
14,1714988400000,9.8563,9.8609,9.8345,9.8478,29635.2,1714988699999
15,1714988700000,9.8478,9.9097,9.8464,9.8906,122480.0,1714988999999
16,1714989000000,9.8913,9.9365,9.871,9.9277,122585.1,1714989299999
17,1714989300000,9.9274,9.9559,9.9157,9.9436,153209.4,1714989599999
18,1714989600000,9.9414,10.0417,9.917,10.0373,154939.9,1714989899999
19,1714989900000,10.0377,10.0993,10.0096,10.0888,262571.4,1714990199999
20,1714990200000,10.0886,10.0998,10.0609,10.0693,89871.9,1714990499999
21,1714990500000,10.0695,10.2,10.0185,10.0627,466800.5,1714990799999
22,1714990800000,10.0626,10.071,9.988,9.9922,165812.8,1714991099999
23,1714991100000,9.9915,10.0138,9.9695,10.0109,117111.2,1714991399999
24,1714991400000,10.01,10.0376,9.9651,10.0193,139699.3,1714991699999
25,1714991700000,10.0185,10.0283,9.9161,9.9186,139018.5,1714991999999
26,1714992000000,9.9193,9.9364,9.8666,9.9082,327665.9,1714992299999
