,open_time,open,high,low,close,VOLUME,close_time
0,1710119700000,0.25722,0.26002,0.25641,0.25769,10701117.0,1710119999999
1,1710120000000,0.2577,0.25875,0.25249,0.25268,17388490.0,1710120299999
2,1710120300000,0.25269,0.25316,0.24925,0.25112,31265831.0,1710120599999
3,1710120600000,0.25119,0.25369,0.249,0.24924,17094580.0,1710120899999
4,1710120900000,0.24925,0.252,0.24583,0.24625,25605383.0,1710121199999
5,1710121200000,0.24625,0.25168,0.24514,0.2492,19689364.0,1710121499999
6,1710121500000,0.24924,0.25618,0.24696,0.25419,29575881.0,1710121799999
7,1710121800000,0.25421,0.25556,0.25346,0.25516,11019948.0,1710122099999
8,1710122100000,0.25514,0.25516,0.25272,0.2541,8589890.0,1710122399999
9,1710122400000,0.25411,0.25754,0.25388,0.25576,15737446.0,1710122699999
10,1710122700000,0.25574,0.25675,0.25282,0.25543,11462269.0,1710122999999
11,1710123000000,0.25541,0.25837,0.25439,0.2582,13446133.0,1710123299999
12,1710123300000,0.2582,0.25827,0.25516,0.25654,7652345.0,1710123599999
13,1710123600000,0.25654,0.25659,0.25433,0.25478,7089646.0,1710123899999
14,1710123900000,0.25476,0.26244,0.2545,0.25982,26824613.0,1710124199999
15,1710124200000,0.25981,0.26003,0.25668,0.25988,14343779.0,1710124499999
16,1710124500000,0.25995,0.26169,0.25728,0.25745,11883116.0,1710124799999
17,1710124800000,0.25744,0.25889,0.25611,0.25853,7564322.0,1710125099999
18,1710125100000,0.25853,0.2637,0.25838,0.26277,14639898.0,1710125399999
19,1710125400000,0.26275,0.27059,0.26228,0.26793,40009459.0,1710125699999
20,1710125700000,0.26794,0.26936,0.2655,0.26615,17952199.0,1710125999999
21,1710126000000,0.26617,0.27889,0.26534,0.27565,56379979.0,1710126299999
22,1710126300000,0.27566,0.27582,0.26907,0.27188,31877587.0,1710126599999
23,1710126600000,0.27184,0.27518,0.2702,0.27497,19492279.0,1710126899999
24,1710126900000,0.27493,0.27566,0.26939,0.27025,19030028.0,1710127199999
25,1710127200000,0.27019,0.27135,0.26822,0.26896,12167350.0,1710127499999
26,1710127500000,0.26896,0.27067,0.2675,0.26916,9221696.0,1710127799999
27,1710127800000,0.26913,0.26956,0.26656,0.26681,10423045.0,1710128099999
28,1710128100000,0.2668,0.26769,0.2652,0.26582,14783037.0,1710128399999
29,1710128400000,0.26579,0.26654,0.26423,0.26507,9807112.0,1710128699999
30,1710128700000,0.26508,0.26511,0.26131,0.26412,18302022.0,1710128999999
31,1710129000000,0.26411,0.26591,0.263,0.26433,10026123.0,1710129299999
32,1710129300000,0.26431,0.26556,0.26424,0.26451,6880444.0,1710129599999
33,1710129600000,0.26451,0.26987,0.26371,0.26857,19939438.0,1710129899999
34,1710129900000,0.26857,0.27053,0.26747,0.27036,12710810.0,1710130199999
35,1710130200000,0.27035,0.27049,0.26729,0.26749,6941793.0,1710130499999
36,1710130500000,0.26749,0.26899,0.26564,0.26624,7860623.0,1710130799999
37,1710130800000,0.26624,0.27375,0.26622,0.27333,16114744.0,1710131099999
38,1710131100000,0.2733,0.27654,0.2721,0.27453,17591801.0,1710131399999
39,1710131400000,0.27453,0.2757,0.27172,0.2727,17386046.0,1710131699999
40,1710131700000,0.27277,0.2751,0.27043,0.27438,12447905.0,1710131999999
