,open_time,open,high,low,close,VOLUME,close_time
0,1706015700000,0.6508,0.6537,0.6496,0.6499,171680.0,1706016599999
1,1706016600000,0.6502,0.6547,0.649,0.6533,146764.0,1706017499999
2,1706017500000,0.6526,0.6534,0.647,0.6478,185312.0,1706018399999
3,1706018400000,0.6475,0.6486,0.6396,0.6447,417138.0,1706019299999
4,1706019300000,0.6444,0.6517,0.641,0.6505,271135.0,1706020199999
5,1706020200000,0.6504,0.6533,0.6475,0.6519,191032.0,1706021099999
6,1706021100000,0.6516,0.6566,0.6496,0.6556,174728.0,1706021999999
7,1706022000000,0.6556,0.6615,0.6552,0.6602,268016.0,1706022899999
8,1706022900000,0.6611,0.6614,0.6563,0.6585,227443.0,1706023799999
9,1706023800000,0.6585,0.6651,0.6545,0.6623,215839.0,1706024699999
10,1706024700000,0.6621,0.663,0.6582,0.6596,139882.0,1706025599999
11,1706025600000,0.6596,0.661,0.6546,0.6557,171235.0,1706026499999
12,1706026500000,0.6557,0.658,0.6545,0.6559,129029.0,1706027399999
13,1706027400000,0.6558,0.658,0.6525,0.6551,139370.0,1706028299999
14,1706028300000,0.655,0.6612,0.6542,0.6593,136502.0,1706029199999
15,1706029200000,0.6594,0.6632,0.6585,0.6603,164216.0,1706030099999
16,1706030100000,0.6604,0.6629,0.6583,0.6612,92991.0,1706030999999
17,1706031000000,0.6613,0.6664,0.6603,0.6637,184512.0,1706031899999
18,1706031900000,0.6639,0.6644,0.658,0.6588,188985.0,1706032799999
19,1706032800000,0.6588,0.665,0.6581,0.6642,179951.0,1706033699999
20,1706033700000,0.6643,0.6665,0.6602,0.6606,174489.0,1706034599999
21,1706034600000,0.6606,0.6615,0.6581,0.659,142751.0,1706035499999
22,1706035500000,0.6589,0.661,0.6559,0.6563,201373.0,1706036399999
23,1706036400000,0.6564,0.658,0.6543,0.6572,245084.0,1706037299999
24,1706037300000,0.6572,0.6588,0.6551,0.6574,125787.0,1706038199999
25,1706038200000,0.6574,0.6583,0.6543,0.6558,194068.0,1706039099999
26,1706039100000,0.6559,0.6589,0.6545,0.6552,119703.0,1706039999999
27,1706040000000,0.6549,0.6608,0.6537,0.6594,232270.0,1706040899999
28,1706040900000,0.6597,0.6618,0.6588,0.6597,80754.0,1706041799999
29,1706041800000,0.6597,0.6627,0.6578,0.6611,160040.0,1706042699999
30,1706042700000,0.6612,0.6638,0.6583,0.6606,159455.0,1706043599999
31,1706043600000,0.6605,0.6641,0.6593,0.6613,128458.0,1706044499999
32,1706044500000,0.6611,0.6611,0.6556,0.6577,204830.0,1706045399999
33,1706045400000,0.6578,0.6632,0.6572,0.6626,110345.0,1706046299999
34,1706046300000,0.6625,0.6645,0.6599,0.6637,136450.0,1706047199999
35,1706047200000,0.6638,0.668,0.6629,0.6672,158756.0,1706048099999
36,1706048100000,0.6669,0.6712,0.6665,0.6706,87692.0,1706048999999
37,1706049000000,0.6706,0.6794,0.6706,0.6794,146863.0,1706049899999
38,1706049900000,0.6794,0.6825,0.677,0.6786,258157.0,1706050799999
39,1706050800000,0.6788,0.6845,0.6784,0.6834,198469.0,1706051699999
40,1706051700000,0.6836,0.6882,0.6821,0.6877,202700.0,1706052599999
41,1706052600000,0.6876,0.6876,0.6823,0.6823,121096.0,1706053499999
42,1706053500000,0.6825,0.6892,0.6822,0.6874,158558.0,1706054399999
43,1706054400000,0.6874,0.7127,0.6873,0.7065,3298190.0,1706055299999
44,1706055300000,0.7065,0.7065,0.6972,0.6972,691004.0,1706056199999
45,1706056200000,0.6972,0.7125,0.6965,0.7109,741961.0,1706057099999
46,1706057100000,0.7109,0.7278,0.7095,0.7227,1256256.0,1706057999999
47,1706058000000,0.7227,0.7236,0.7119,0.7126,606082.0,1706058899999
48,1706058900000,0.7129,0.732,0.7119,0.725,1353819.0,1706059799999
49,1706059800000,0.7254,0.7267,0.7212,0.7246,642686.0,1706060699999
50,1706060700000,0.7247,0.7485,0.7232,0.7412,2418478.0,1706061599999
51,1706061600000,0.7413,0.7413,0.732,0.7397,1290355.0,1706062499999
52,1706062500000,0.7396,0.7446,0.7323,0.7327,1024847.0,1706063399999
53,1706063400000,0.7327,0.7327,0.7228,0.7228,787894.0,1706064299999
54,1706064300000,0.7228,0.7315,0.7218,0.7247,890787.0,1706065199999
55,1706065200000,0.7245,0.7299,0.7238,0.7279,501146.0,1706066099999
56,1706066100000,0.7281,0.7422,0.7276,0.74,1435418.0,1706066999999
57,1706067000000,0.7401,0.7437,0.7288,0.7435,1514530.0,1706067899999
58,1706067900000,0.7436,0.7445,0.7388,0.7416,688606.0,1706068799999
59,1706068800000,0.7418,0.7429,0.7311,0.7316,807025.0,1706069699999
60,1706069700000,0.7316,0.7404,0.7306,0.7381,463393.0,1706070599999
61,1706070600000,0.738,0.7398,0.7322,0.7331,309817.0,1706071499999
62,1706071500000,0.7332,0.7345,0.7287,0.7293,213922.0,1706072399999
63,1706072400000,0.7294,0.7324,0.7271,0.7283,386555.0,1706073299999
64,1706073300000,0.7285,0.7414,0.7256,0.7384,995955.0,1706074199999
65,1706074200000,0.7384,0.741,0.7351,0.7358,450038.0,1706075099999
66,1706075100000,0.7357,0.7388,0.7337,0.7377,250567.0,1706075999999
67,1706076000000,0.7377,0.7394,0.7317,0.7322,279359.0,1706076899999
68,1706076900000,0.7322,0.7368,0.732,0.7358,221167.0,1706077799999
69,1706077800000,0.7356,0.7376,0.7348,0.7368,164406.0,1706078699999
70,1706078700000,0.7369,0.7545,0.7368,0.7427,1299531.0,1706079599999
71,1706079600000,0.7426,0.7473,0.7406,0.7456,536396.0,1706080499999
72,1706080500000,0.7456,0.7476,0.7423,0.7464,528837.0,1706081399999
73,1706081400000,0.7463,0.7632,0.7431,0.7613,1587496.0,1706082299999
74,1706082300000,0.7614,0.7746,0.7577,0.7603,2018600.0,1706083199999
75,1706083200000,0.7599,0.7652,0.7556,0.7584,1243361.0,1706084099999
76,1706084100000,0.7583,0.7595,0.7469,0.7491,710641.0,1706084999999
77,1706085000000,0.7489,0.7532,0.748,0.7493,475197.0,1706085899999
78,1706085900000,0.7493,0.7574,0.7493,0.753,552137.0,1706086799999
79,1706086800000,0.7528,0.7625,0.7512,0.7606,592573.0,1706087699999
80,1706087700000,0.7607,0.7631,0.7575,0.7581,497772.0,1706088599999
81,1706088600000,0.7581,0.7854,0.7536,0.7752,3291885.0,1706089499999
82,1706089500000,0.7753,0.785,0.7713,0.7739,2280907.0,1706090399999
83,1706090400000,0.7739,0.7862,0.7707,0.7838,1465860.0,1706091299999
84,1706091300000,0.7838,0.786,0.7763,0.7789,1434032.0,1706092199999
85,1706092200000,0.7791,0.7803,0.7726,0.7749,945502.0,1706093099999
86,1706093100000,0.7745,0.7804,0.7695,0.7764,1240053.0,1706093999999
87,1706094000000,0.7763,0.7846,0.7735,0.7799,1366703.0,1706094899999
88,1706094900000,0.7799,0.7844,0.7735,0.7775,1166811.0,1706095799999
89,1706095800000,0.7775,0.7779,0.7642,0.7654,905364.0,1706096699999
90,1706096700000,0.7652,0.8037,0.7612,0.797,4896295.0,1706097599999
91,1706097600000,0.7972,0.7975,0.7883,0.7922,1964784.0,1706098499999
92,1706098500000,0.7922,0.7984,0.7873,0.7902,2034555.0,1706099399999
93,1706099400000,0.7901,0.814,0.7856,0.8054,3224016.0,1706100299999
94,1706100300000,0.8053,0.8083,0.794,0.7953,1799262.0,1706101199999
95,1706101200000,0.7951,0.8025,0.7915,0.7975,1672960.0,1706102099999
96,1706102100000,0.7976,0.8012,0.7886,0.7958,1217986.0,1706102999999
97,1706103000000,0.7957,0.7957,0.7742,0.7757,2299529.0,1706103899999
98,1706103900000,0.7756,0.7803,0.7709,0.7785,1921410.0,1706104799999
99,1706104800000,0.7787,0.7852,0.7683,0.7713,1422568.0,1706105699999
100,1706105700000,0.7711,0.7808,0.7674,0.7792,947223.0,1706106599999
101,1706106600000,0.7792,0.7887,0.7786,0.7816,964367.0,1706107499999
102,1706107500000,0.7813,0.7837,0.7712,0.7748,1306825.0,1706108399999
103,1706108400000,0.7745,0.8036,0.766,0.7964,3703158.0,1706109299999
104,1706109300000,0.7967,0.8015,0.7794,0.7833,2562695.0,1706110199999
105,1706110200000,0.7833,0.7956,0.777,0.791,2012438.0,1706111099999
106,1706111100000,0.7913,0.8183,0.7894,0.7982,4437423.0,1706111999999
107,1706112000000,0.798,0.8077,0.7903,0.7966,2272412.0,1706112899999
108,1706112900000,0.7969,0.805,0.7927,0.8039,1301050.0,1706113799999
109,1706113800000,0.8038,0.8075,0.8005,0.8012,1062446.0,1706114699999
110,1706114700000,0.8013,0.8146,0.8011,0.8061,1303561.0,1706115599999
111,1706115600000,0.8063,0.8288,0.8063,0.8278,2634053.0,1706116499999
112,1706116500000,0.8276,0.8278,0.8145,0.8145,1775136.0,1706117399999
113,1706117400000,0.8145,0.8311,0.814,0.8305,955878.0,1706118299999
114,1706118300000,0.8303,0.8311,0.816,0.8176,1185222.0,1706119199999
115,1706119200000,0.8176,0.822,0.8079,0.8135,1366423.0,1706120099999
116,1706120100000,0.8136,0.8194,0.8042,0.8074,1506958.0,1706120999999
117,1706121000000,0.8076,0.8116,0.8027,0.8039,955445.0,1706121899999
118,1706121900000,0.8036,0.8057,0.8002,0.8026,726620.0,1706122799999
119,1706122800000,0.8028,0.8057,0.8007,0.8009,520175.0,1706123699999
120,1706123700000,0.8009,0.8013,0.7922,0.7935,1026275.0,1706124599999
121,1706124600000,0.7937,0.7986,0.7921,0.7938,916304.0,1706125499999
122,1706125500000,0.794,0.7949,0.7822,0.7823,1322599.0,1706126399999
123,1706126400000,0.7826,0.7942,0.7822,0.7921,901476.0,1706127299999
124,1706127300000,0.7923,0.8,0.789,0.7992,1054413.0,1706128199999
125,1706128200000,0.7993,0.8007,0.7891,0.7931,720406.0,1706129099999
126,1706129100000,0.793,0.7931,0.7872,0.7901,527942.0,1706129999999
127,1706130000000,0.7903,0.7931,0.7875,0.7909,472086.0,1706130899999
128,1706130900000,0.7907,0.7978,0.7889,0.796,570273.0,1706131799999
129,1706131800000,0.7959,0.8019,0.7927,0.8011,442442.0,1706132699999
130,1706132700000,0.8011,0.8057,0.7946,0.7975,695956.0,1706133599999
131,1706133600000,0.7976,0.7997,0.7905,0.7963,492950.0,1706134499999
132,1706134500000,0.7962,0.8006,0.7954,0.7971,303588.0,1706135399999
133,1706135400000,0.7972,0.8005,0.7945,0.7957,251652.0,1706136299999
134,1706136300000,0.7953,0.8,0.7937,0.7995,343259.0,1706137199999
135,1706137200000,0.7997,0.8112,0.7984,0.8085,784402.0,1706138099999
136,1706138100000,0.8084,0.8188,0.8061,0.8151,955781.0,1706138999999
137,1706139000000,0.815,0.8185,0.8128,0.8171,575413.0,1706139899999
138,1706139900000,0.8169,0.8235,0.8144,0.8203,814304.0,1706140799999
139,1706140800000,0.8205,0.8451,0.8098,0.8276,4121854.0,1706141699999
140,1706141700000,0.8279,0.8465,0.8279,0.8347,2744852.0,1706142599999
141,1706142600000,0.8345,0.8559,0.8269,0.8504,2933856.0,1706143499999
142,1706143500000,0.8505,0.8525,0.8423,0.8432,2629113.0,1706144399999
143,1706144400000,0.8434,0.9589,0.8434,0.9291,31009606.0,1706145299999
144,1706145300000,0.9287,0.938,0.9092,0.9116,9371225.0,1706146199999
145,1706146200000,0.9115,0.9214,0.9,0.9144,7243352.0,1706147099999
146,1706147100000,0.9147,0.9208,0.9023,0.9039,4774428.0,1706147999999
147,1706148000000,0.904,0.907,0.884,0.9064,6838999.0,1706148899999
148,1706148900000,0.9065,0.9171,0.9015,0.9141,3722544.0,1706149799999
149,1706149800000,0.9141,0.9183,0.8963,0.8983,3721998.0,1706150699999
150,1706150700000,0.8982,0.9232,0.8961,0.9218,5361347.0,1706151599999
151,1706151600000,0.9215,0.9282,0.9126,0.9162,4106663.0,1706152499999
152,1706152500000,0.916,0.9284,0.909,0.9215,2766510.0,1706153399999
153,1706153400000,0.9215,0.928,0.9182,0.9193,2001346.0,1706154299999
154,1706154300000,0.9193,0.9258,0.9148,0.9257,2044243.0,1706155199999
155,1706155200000,0.9256,0.9284,0.912,0.9174,3273755.0,1706156099999
156,1706156100000,0.9174,0.928,0.9165,0.9264,1920077.0,1706156999999
157,1706157000000,0.9264,0.93,0.9172,0.9215,2777140.0,1706157899999
158,1706157900000,0.9215,0.9215,0.9032,0.9098,3673127.0,1706158799999
159,1706158800000,0.9097,0.9124,0.8851,0.8858,5828786.0,1706159699999
160,1706159700000,0.8858,0.9133,0.8851,0.9077,6253762.0,1706160599999
161,1706160600000,0.9077,0.9167,0.8921,0.9008,4445241.0,1706161499999
162,1706161500000,0.9006,0.9043,0.8941,0.9001,2213294.0,1706162399999
163,1706162400000,0.9001,0.9179,0.8996,0.9155,4204552.0,1706163299999
164,1706163300000,0.9156,0.9179,0.9,0.9104,3495084.0,1706164199999
