,open_time,open,high,low,close,volume,close_time
0,1705532400000,0.383,0.3838,0.3797,0.3825,4361989.0,1705535999999
1,1705536000000,0.3825,0.3838,0.3781,0.3802,14056059.0,1705539599999
2,1705539600000,0.3802,0.3823,0.375,0.378,9232656.0,1705543199999
3,1705543200000,0.3781,0.3844,0.3756,0.3815,14933701.0,1705546799999
4,1705546800000,0.3814,0.3835,0.3749,0.3774,20599265.0,1705550399999
5,1705550400000,0.3774,0.3813,0.3756,0.3767,8894951.0,1705553999999
6,1705554000000,0.3768,0.3784,0.3743,0.3777,7408833.0,1705557599999
7,1705557600000,0.3777,0.3848,0.3776,0.3845,8968035.0,1705561199999
8,1705561200000,0.3845,0.391,0.384,0.3905,19749674.0,1705564799999
9,1705564800000,0.3905,0.403,0.3877,0.3976,39418450.0,1705568399999
10,1705568400000,0.3976,0.4017,0.3916,0.3931,16581065.0,1705571999999
11,1705572000000,0.3931,0.396,0.3807,0.3809,24662654.0,1705575599999
12,1705575600000,0.3808,0.3826,0.3744,0.3776,26152913.0,1705579199999
13,1705579200000,0.3775,0.3778,0.3626,0.3651,29279738.0,1705582799999
14,1705582800000,0.3652,0.3692,0.3605,0.3664,17407886.0,1705586399999
15,1705586400000,0.3664,0.3677,0.3638,0.3665,10645945.0,1705589999999
16,1705590000000,0.3664,0.368,0.3612,0.3659,18696377.0,1705593599999
17,1705593600000,0.3658,0.3659,0.3463,0.3513,37409395.0,1705597199999
18,1705597200000,0.3513,0.3548,0.3448,0.348,19825918.0,1705600799999
19,1705600800000,0.348,0.3507,0.3421,0.3485,15101982.0,1705604399999
20,1705604400000,0.3485,0.3502,0.3412,0.3446,11811394.0,1705607999999
21,1705608000000,0.3445,0.3467,0.3393,0.343,15546169.0,1705611599999
22,1705611600000,0.3429,0.3445,0.3398,0.3427,7402500.0,1705615199999
23,1705615200000,0.3427,0.3456,0.3409,0.3446,4062317.0,1705618799999
24,1705618800000,0.3445,0.3445,0.3411,0.3419,4482132.0,1705622399999
25,1705622400000,0.3419,0.3433,0.3342,0.3376,13070427.0,1705625999999
26,1705626000000,0.3377,0.3381,0.33,0.3364,11116503.0,1705629599999
27,1705629600000,0.3365,0.3389,0.3311,0.3323,20658512.0,1705633199999
28,1705633200000,0.3324,0.3357,0.3277,0.3349,13105357.0,1705636799999
29,1705636800000,0.3349,0.3376,0.334,0.3349,6816142.0,1705640399999
30,1705640400000,0.3349,0.3372,0.3331,0.3357,4419217.0,1705643999999
31,1705644000000,0.3356,0.3372,0.3343,0.3354,6393406.0,1705647599999
32,1705647600000,0.3354,0.3361,0.3326,0.3339,4296103.0,1705651199999
33,1705651200000,0.334,0.3354,0.3291,0.3331,13740806.0,1705654799999
