,open_time,open,high,low,close,VOLUME,close_time
0,1706813100000,1.6746,1.6752,1.6589,1.668,228963.2,1706813999999
1,1706814000000,1.6681,1.6741,1.6681,1.6695,75135.8,1706814899999
2,1706814900000,1.6695,1.6721,1.6666,1.6716,38158.9,1706815799999
3,1706815800000,1.6718,1.6758,1.6698,1.6727,35403.8,1706816699999
4,1706816700000,1.6726,1.6771,1.6724,1.6742,51245.8,1706817599999
5,1706817600000,1.6743,1.6774,1.6683,1.6741,80251.9,1706818499999
6,1706818500000,1.6742,1.6818,1.6713,1.68,121834.8,1706819399999
7,1706819400000,1.68,1.6851,1.679,1.6838,59236.2,1706820299999
8,1706820300000,1.6834,1.6844,1.6767,1.6806,54387.8,1706821199999
9,1706821200000,1.6806,1.6861,1.6774,1.686,46958.4,1706822099999
10,1706822100000,1.6858,1.6922,1.6856,1.6922,103772.7,1706822999999
11,1706823000000,1.6921,1.6921,1.6844,1.6892,51949.8,1706823899999
12,1706823900000,1.689,1.6926,1.686,1.6911,26164.9,1706824799999
13,1706824800000,1.6909,1.6916,1.6857,1.6914,45216.8,1706825699999
14,1706825700000,1.6915,1.696,1.6896,1.6949,83271.7,1706826599999
15,1706826600000,1.6949,1.7006,1.6932,1.698,164453.1,1706827499999
16,1706827500000,1.6986,1.7031,1.697,1.7014,45904.0,1706828399999
17,1706828400000,1.7015,1.7207,1.7015,1.7135,516870.1,1706829299999
18,1706829300000,1.7135,1.7268,1.711,1.7263,504474.5,1706830199999
19,1706830200000,1.7265,1.7316,1.7176,1.7204,305540.4,1706831099999
20,1706831100000,1.7203,1.7225,1.7116,1.7152,241007.3,1706831999999
21,1706832000000,1.7151,1.7255,1.7043,1.7205,286562.0,1706832899999
22,1706832900000,1.7206,1.7384,1.7172,1.7324,302494.3,1706833799999
23,1706833800000,1.7325,1.7325,1.7227,1.7271,158816.8,1706834699999
24,1706834700000,1.7264,1.7477,1.7264,1.7476,225158.2,1706835599999
25,1706835600000,1.7476,1.7829,1.7427,1.7725,803554.8,1706836499999
26,1706836500000,1.7725,1.7829,1.7555,1.7804,615328.2,1706837399999
27,1706837400000,1.7803,1.7833,1.7559,1.7587,320991.0,1706838299999
28,1706838300000,1.7588,1.7639,1.7471,1.7482,292904.6,1706839199999
29,1706839200000,1.7481,1.7551,1.744,1.7529,167443.8,1706840099999
30,1706840100000,1.753,1.7794,1.753,1.7748,400325.6,1706840999999
31,1706841000000,1.7746,1.795,1.7685,1.7948,425946.4,1706841899999
32,1706841900000,1.7944,1.7955,1.7766,1.7782,272576.5,1706842799999
33,1706842800000,1.7781,1.8041,1.7705,1.7958,539339.1,1706843699999
34,1706843700000,1.796,1.7982,1.7728,1.7755,320835.2,1706844599999
35,1706844600000,1.776,1.7792,1.7693,1.7743,193910.9,1706845499999
36,1706845500000,1.774,1.7746,1.7543,1.7596,321330.5,1706846399999
37,1706846400000,1.7595,1.7635,1.7505,1.763,198857.2,1706847299999
38,1706847300000,1.7629,1.7828,1.7607,1.7776,247566.4,1706848199999
39,1706848200000,1.7775,1.788,1.7744,1.7827,346508.7,1706849099999
40,1706849100000,1.7828,1.7879,1.771,1.7857,266466.9,1706849999999
41,1706850000000,1.7855,1.7856,1.7658,1.7772,494277.5,1706850899999
42,1706850900000,1.7771,1.7914,1.7707,1.7836,287825.6,1706851799999
43,1706851800000,1.7836,1.7901,1.7491,1.7559,543272.4,1706852699999
44,1706852700000,1.7562,1.7713,1.7552,1.7697,234275.0,1706853599999
45,1706853600000,1.7698,1.7867,1.7591,1.7799,262243.2,1706854499999
46,1706854500000,1.7796,1.7918,1.7748,1.7902,285234.0,1706855399999
47,1706855400000,1.7905,1.7929,1.7867,1.7929,45428.0,1706856299999
