,open_time,open,high,low,close,volume,close_time
0,1705532400000,0.4045,0.4056,0.401,0.405,582302.0,1705535999999
1,1705536000000,0.405,0.4055,0.402,0.4051,429055.0,1705539599999
2,1705539600000,0.4052,0.4053,0.396,0.3999,808966.0,1705543199999
3,1705543200000,0.4001,0.4003,0.3972,0.3988,337648.0,1705546799999
4,1705546800000,0.3987,0.4013,0.3972,0.4001,320830.0,1705550399999
5,1705550400000,0.4001,0.4005,0.3956,0.3965,497390.0,1705553999999
6,1705554000000,0.3965,0.4046,0.3962,0.4045,701470.0,1705557599999
7,1705557600000,0.4045,0.4129,0.4045,0.4084,1204534.0,1705561199999
8,1705561200000,0.4085,0.4095,0.406,0.4078,390738.0,1705564799999
9,1705564800000,0.4077,0.411,0.406,0.4085,463814.0,1705568399999
10,1705568400000,0.4086,0.4104,0.4061,0.4076,815069.0,1705571999999
11,1705572000000,0.4076,0.4093,0.4021,0.4034,680229.0,1705575599999
12,1705575600000,0.4034,0.4092,0.4027,0.4056,631982.0,1705579199999
13,1705579200000,0.4057,0.4059,0.3983,0.4022,1116018.0,1705582799999
14,1705582800000,0.4023,0.405,0.3993,0.403,757242.0,1705586399999
15,1705586400000,0.4027,0.4032,0.3982,0.4011,541269.0,1705589999999
16,1705590000000,0.4011,0.4016,0.3957,0.3977,567294.0,1705593599999
17,1705593600000,0.3976,0.4032,0.3808,0.3879,2250626.0,1705597199999
18,1705597200000,0.388,0.3886,0.3789,0.3828,1186750.0,1705600799999
19,1705600800000,0.3828,0.385,0.3787,0.3828,852915.0,1705604399999
20,1705604400000,0.3828,0.3863,0.374,0.3768,1132633.0,1705607999999
21,1705608000000,0.3767,0.3822,0.375,0.3795,664155.0,1705611599999
22,1705611600000,0.3795,0.3856,0.3788,0.3849,954889.0,1705615199999
23,1705615200000,0.3848,0.3958,0.3846,0.3924,866201.0,1705618799999
24,1705618800000,0.3925,0.3966,0.3859,0.3869,903022.0,1705622399999
25,1705622400000,0.3871,0.3914,0.3842,0.3861,956050.0,1705625999999
26,1705626000000,0.386,0.3874,0.3777,0.3835,950843.0,1705629599999
27,1705629600000,0.3835,0.3891,0.381,0.3823,771327.0,1705633199999
28,1705633200000,0.3823,0.3891,0.3785,0.3876,846423.0,1705636799999
29,1705636800000,0.3876,0.4098,0.3876,0.3963,5635031.0,1705640399999
30,1705640400000,0.3964,0.4033,0.3897,0.3945,3428714.0,1705643999999
31,1705644000000,0.3945,0.3971,0.3881,0.3944,2369554.0,1705647599999
