,open_time,open,high,low,close,VOLUME,close_time
0,1710119700000,1.2129,1.2181,1.1977,1.1978,529030.0,1710119999999
1,1710120000000,1.1977,1.2023,1.1822,1.1944,1208560.0,1710120299999
2,1710120300000,1.1944,1.1964,1.1831,1.1877,649514.0,1710120599999
3,1710120600000,1.188,1.1888,1.1721,1.1728,610977.0,1710120899999
4,1710120900000,1.1728,1.1814,1.1646,1.1686,864337.0,1710121199999
5,1710121200000,1.1685,1.1758,1.1495,1.1651,806147.0,1710121499999
6,1710121500000,1.1652,1.187,1.1577,1.1845,684332.0,1710121799999
7,1710121800000,1.1855,1.1886,1.1751,1.1808,334069.0,1710122099999
8,1710122100000,1.1808,1.1875,1.1785,1.1867,331073.0,1710122399999
9,1710122400000,1.1866,1.197,1.1826,1.1863,475446.0,1710122699999
10,1710122700000,1.1861,1.1875,1.1725,1.1772,432125.0,1710122999999
11,1710123000000,1.1772,1.1846,1.1766,1.1805,180606.0,1710123299999
12,1710123300000,1.1806,1.181,1.1685,1.1696,255916.0,1710123599999
13,1710123600000,1.1694,1.1751,1.1635,1.1694,308211.0,1710123899999
14,1710123900000,1.1696,1.1759,1.1599,1.161,254092.0,1710124199999
15,1710124200000,1.1612,1.1837,1.1554,1.1809,674901.0,1710124499999
16,1710124500000,1.181,1.1814,1.1691,1.1713,380193.0,1710124799999
17,1710124800000,1.1711,1.1753,1.1599,1.1645,431141.0,1710125099999
18,1710125100000,1.1648,1.1784,1.163,1.1783,321825.0,1710125399999
19,1710125400000,1.1783,1.1879,1.1771,1.1795,456574.0,1710125699999
20,1710125700000,1.1797,1.1809,1.1735,1.1788,307956.0,1710125999999
21,1710126000000,1.1788,1.1813,1.1663,1.167,437170.0,1710126299999
22,1710126300000,1.1669,1.1732,1.1658,1.1696,255819.0,1710126599999
23,1710126600000,1.1698,1.1736,1.1591,1.1625,279744.0,1710126899999
24,1710126900000,1.1623,1.1683,1.1558,1.1646,374287.0,1710127199999
25,1710127200000,1.1646,1.1655,1.154,1.1605,258177.0,1710127499999
26,1710127500000,1.1605,1.1683,1.1568,1.1583,181301.0,1710127799999
27,1710127800000,1.1584,1.1657,1.1567,1.1633,233255.0,1710128099999
28,1710128100000,1.1633,1.1641,1.1551,1.1582,171736.0,1710128399999
29,1710128400000,1.1582,1.1623,1.1569,1.1602,151377.0,1710128699999
30,1710128700000,1.1603,1.1611,1.1513,1.1582,287273.0,1710128999999
31,1710129000000,1.1582,1.1611,1.1465,1.1516,456147.0,1710129299999
32,1710129300000,1.1522,1.1569,1.1489,1.15,364360.0,1710129599999
33,1710129600000,1.1495,1.1595,1.1459,1.1565,459406.0,1710129899999
34,1710129900000,1.1563,1.1668,1.1559,1.162,403047.0,1710130199999
35,1710130200000,1.162,1.1651,1.1591,1.1595,172427.0,1710130499999
36,1710130500000,1.1591,1.1603,1.1512,1.1526,199713.0,1710130799999
37,1710130800000,1.1526,1.1576,1.1478,1.1486,238696.0,1710131099999
38,1710131100000,1.1488,1.1553,1.148,1.1522,214647.0,1710131399999
39,1710131400000,1.1526,1.1539,1.1458,1.146,206683.0,1710131699999
40,1710131700000,1.1462,1.155,1.145,1.1534,286074.0,1710131999999
41,1710132000000,1.1532,1.1537,1.1496,1.1514,113171.0,1710132299999
42,1710132300000,1.1513,1.152,1.1388,1.141,584494.0,1710132599999
43,1710132600000,1.1409,1.148,1.1404,1.148,203142.0,1710132899999
44,1710132900000,1.148,1.15,1.1436,1.1461,238591.0,1710133199999
45,1710133200000,1.1462,1.1526,1.1429,1.1526,232499.0,1710133499999
46,1710133500000,1.1527,1.1718,1.1523,1.1705,631264.0,1710133799999
47,1710133800000,1.1704,1.1772,1.1652,1.1682,475981.0,1710134099999
48,1710134100000,1.1685,1.1726,1.1631,1.1653,420931.0,1710134399999
49,1710134400000,1.1652,1.1657,1.1578,1.1607,418944.0,1710134699999
50,1710134700000,1.1607,1.1642,1.1555,1.1642,220588.0,1710134999999
51,1710135000000,1.1638,1.1696,1.1615,1.1658,302428.0,1710135299999
52,1710135300000,1.1665,1.1675,1.1608,1.1641,259079.0,1710135599999
53,1710135600000,1.1643,1.175,1.1643,1.1695,279854.0,1710135899999
54,1710135900000,1.1696,1.1789,1.1696,1.1765,574004.0,1710136199999
55,1710136200000,1.1765,1.1819,1.1724,1.1781,356851.0,1710136499999
56,1710136500000,1.1781,1.179,1.1684,1.1694,381947.0,1710136799999
57,1710136800000,1.1696,1.1713,1.1625,1.1631,299137.0,1710137099999
58,1710137100000,1.1628,1.1651,1.1568,1.1613,347306.0,1710137399999
59,1710137400000,1.1608,1.1654,1.1592,1.1645,171310.0,1710137699999
60,1710137700000,1.164,1.1899,1.1583,1.1896,566503.0,1710137999999
61,1710138000000,1.1898,1.1984,1.1812,1.194,704685.0,1710138299999
62,1710138300000,1.1939,1.1962,1.1861,1.1904,479493.0,1710138599999
63,1710138600000,1.1903,1.1945,1.1825,1.1943,324595.0,1710138899999
64,1710138900000,1.1942,1.2232,1.1897,1.2193,1302224.0,1710139199999
65,1710139200000,1.2193,1.2314,1.2157,1.2239,1106934.0,1710139499999
66,1710139500000,1.2239,1.242,1.2226,1.2374,1146202.0,1710139799999
67,1710139800000,1.2374,1.2442,1.2362,1.2373,697859.0,1710140099999
68,1710140100000,1.2374,1.2436,1.2298,1.2322,739881.0,1710140399999
69,1710140400000,1.2323,1.2386,1.2152,1.221,958158.0,1710140699999
70,1710140700000,1.2205,1.2209,1.2016,1.2086,942162.0,1710140999999
71,1710141000000,1.2089,1.2143,1.2028,1.2062,573099.0,1710141299999
72,1710141300000,1.206,1.2073,1.196,1.201,778048.0,1710141599999
73,1710141600000,1.2009,1.2029,1.186,1.1899,617936.0,1710141899999
74,1710141900000,1.1898,1.1906,1.175,1.1878,1031161.0,1710142199999
75,1710142200000,1.1876,1.1943,1.1782,1.1782,419800.0,1710142499999
76,1710142500000,1.1782,1.1814,1.175,1.1769,387328.0,1710142799999
77,1710142800000,1.1764,1.1774,1.1625,1.1674,993958.0,1710143099999
78,1710143100000,1.1674,1.1771,1.161,1.1768,549122.0,1710143399999
79,1710143400000,1.1767,1.1796,1.1671,1.1694,315668.0,1710143699999
80,1710143700000,1.169,1.1704,1.1595,1.1612,395344.0,1710143999999
81,1710144000000,1.1612,1.1698,1.1581,1.1659,567309.0,1710144299999
82,1710144300000,1.166,1.1737,1.1652,1.1737,288916.0,1710144599999
83,1710144600000,1.1738,1.1758,1.1651,1.166,327809.0,1710144899999
84,1710144900000,1.1658,1.1717,1.159,1.1617,338766.0,1710145199999
85,1710145200000,1.1616,1.1745,1.1575,1.1706,348746.0,1710145499999
86,1710145500000,1.1706,1.1815,1.1693,1.1809,379308.0,1710145799999
87,1710145800000,1.1809,1.1821,1.168,1.172,381921.0,1710146099999
88,1710146100000,1.1718,1.1726,1.166,1.1687,180460.0,1710146399999
89,1710146400000,1.1683,1.1711,1.165,1.1709,200809.0,1710146699999
90,1710146700000,1.171,1.1783,1.1697,1.1761,298514.0,1710146999999
91,1710147000000,1.1762,1.1786,1.1722,1.1729,239892.0,1710147299999
92,1710147300000,1.1731,1.1744,1.1673,1.1716,203712.0,1710147599999
93,1710147600000,1.1718,1.1822,1.1694,1.1753,324389.0,1710147899999
94,1710147900000,1.1755,1.1787,1.1695,1.1768,335085.0,1710148199999
95,1710148200000,1.1768,1.1826,1.1759,1.1818,232755.0,1710148499999
96,1710148500000,1.1821,1.1822,1.1734,1.1758,245213.0,1710148799999
97,1710148800000,1.1757,1.1765,1.1679,1.1725,239553.0,1710149099999
98,1710149100000,1.1724,1.1724,1.1655,1.1674,196228.0,1710149399999
99,1710149400000,1.1675,1.1746,1.1674,1.1746,248464.0,1710149699999
100,1710149700000,1.1746,1.1776,1.1691,1.1694,159713.0,1710149999999
101,1710150000000,1.1694,1.1701,1.1657,1.1691,176315.0,1710150299999
102,1710150300000,1.1692,1.1743,1.1634,1.1688,374864.0,1710150599999
103,1710150600000,1.1686,1.1717,1.1645,1.1662,188035.0,1710150899999
104,1710150900000,1.1661,1.1753,1.1642,1.1715,468988.0,1710151199999
105,1710151200000,1.1718,1.1721,1.1662,1.1689,196668.0,1710151499999
106,1710151500000,1.1688,1.1689,1.1624,1.1654,141878.0,1710151799999
107,1710151800000,1.1654,1.1667,1.159,1.1593,200598.0,1710152099999
108,1710152100000,1.1592,1.1639,1.1582,1.1636,129642.0,1710152399999
109,1710152400000,1.1632,1.1686,1.161,1.1675,177299.0,1710152699999
110,1710152700000,1.1671,1.1671,1.1581,1.1586,188870.0,1710152999999
111,1710153000000,1.1585,1.1605,1.1532,1.1581,371001.0,1710153299999
112,1710153300000,1.1578,1.1588,1.1557,1.1588,68408.0,1710153599999
113,1710153600000,1.1588,1.1623,1.1577,1.1623,185293.0,1710153899999
114,1710153900000,1.1621,1.1695,1.1604,1.1647,317305.0,1710154199999
115,1710154200000,1.1646,1.1646,1.1581,1.1595,125486.0,1710154499999
116,1710154500000,1.1597,1.1599,1.1545,1.158,172812.0,1710154799999
117,1710154800000,1.1579,1.1664,1.1512,1.1561,585119.0,1710155099999
118,1710155100000,1.1565,1.1607,1.1549,1.1589,181325.0,1710155399999
119,1710155400000,1.159,1.1653,1.1581,1.1645,132423.0,1710155699999
120,1710155700000,1.1643,1.1732,1.1643,1.171,431454.0,1710155999999
121,1710156000000,1.1709,1.1715,1.1665,1.1684,228878.0,1710156299999
122,1710156300000,1.1684,1.1684,1.1613,1.1619,359624.0,1710156599999
123,1710156600000,1.1621,1.1634,1.1556,1.163,172145.0,1710156899999
124,1710156900000,1.1628,1.1671,1.159,1.166,166198.0,1710157199999
125,1710157200000,1.166,1.173,1.1642,1.1678,284326.0,1710157499999
126,1710157500000,1.1677,1.169,1.1602,1.164,252821.0,1710157799999
127,1710157800000,1.164,1.1655,1.1535,1.1545,289101.0,1710158099999
128,1710158100000,1.1542,1.1596,1.1448,1.1531,713770.0,1710158399999
129,1710158400000,1.1529,1.1618,1.1478,1.1601,234102.0,1710158699999
130,1710158700000,1.1601,1.1652,1.1595,1.1619,199462.0,1710158999999
131,1710159000000,1.162,1.1642,1.1597,1.1636,137837.0,1710159299999
132,1710159300000,1.1637,1.1695,1.1599,1.1672,326970.0,1710159599999
133,1710159600000,1.1673,1.183,1.167,1.1739,814458.0,1710159899999
134,1710159900000,1.1738,1.1864,1.1731,1.1851,514916.0,1710160199999
