,open_time,open,high,low,close,VOLUME,close_time
0,1715060700000,0.8762,0.882,0.873,0.8809,85214.0,1715060999999
1,1715061000000,0.8809,0.886,0.8773,0.8774,79644.0,1715061299999
2,1715061300000,0.8773,0.878,0.8758,0.876,45355.0,1715061599999
3,1715061600000,0.876,0.8784,0.8686,0.8702,46215.0,1715061899999
4,1715061900000,0.8696,0.8735,0.8688,0.8688,31750.0,1715062199999
5,1715062200000,0.8693,0.8699,0.8656,0.8656,32008.0,1715062499999
6,1715062500000,0.8656,0.8673,0.8635,0.865,19938.0,1715062799999
7,1715062800000,0.865,0.8675,0.8647,0.8659,55859.0,1715063099999
8,1715063100000,0.8653,0.8658,0.862,0.8634,50356.0,1715063399999
9,1715063400000,0.863,0.863,0.8551,0.8602,66765.0,1715063699999
10,1715063700000,0.8604,0.8627,0.8591,0.8623,18694.0,1715063999999
11,1715064000000,0.8623,0.8634,0.8574,0.8625,24664.0,1715064299999
12,1715064300000,0.8624,0.8669,0.862,0.8636,39478.0,1715064599999
13,1715064600000,0.8636,0.8642,0.8606,0.8617,54785.0,1715064899999
14,1715064900000,0.8618,0.8621,0.8598,0.8606,8208.0,1715065199999
15,1715065200000,0.8602,0.8637,0.86,0.8625,44468.0,1715065499999
16,1715065500000,0.8619,0.8647,0.8601,0.8638,23808.0,1715065799999
17,1715065800000,0.8638,0.8698,0.8633,0.8689,59974.0,1715066099999
18,1715066100000,0.8687,0.8895,0.8686,0.886,168746.0,1715066399999
19,1715066400000,0.8858,0.8879,0.8821,0.8822,47933.0,1715066699999
20,1715066700000,0.8821,0.8821,0.8769,0.8776,100961.0,1715066999999
21,1715067000000,0.8769,0.881,0.8741,0.8786,88639.0,1715067299999
22,1715067300000,0.8792,0.882,0.8784,0.8796,32165.0,1715067599999
23,1715067600000,0.8796,0.8895,0.8791,0.8844,71533.0,1715067899999
24,1715067900000,0.8837,0.8888,0.8831,0.8882,41242.0,1715068199999
25,1715068200000,0.8881,0.8885,0.8825,0.8837,101818.0,1715068499999
26,1715068500000,0.884,0.8862,0.882,0.8856,47552.0,1715068799999
27,1715068800000,0.8855,0.89,0.8798,0.8858,127945.0,1715069099999
28,1715069100000,0.886,0.8885,0.8849,0.8881,43850.0,1715069399999
29,1715069400000,0.8885,0.8946,0.8885,0.8946,70707.0,1715069699999
30,1715069700000,0.8948,0.9015,0.8945,0.9005,166018.0,1715069999999
31,1715070000000,0.9006,0.9074,0.8996,0.9057,92286.0,1715070299999
32,1715070300000,0.9059,0.9114,0.904,0.9104,102783.0,1715070599999
33,1715070600000,0.9102,0.9106,0.9026,0.9061,122848.0,1715070899999
34,1715070900000,0.9064,0.916,0.9061,0.9106,89052.0,1715071199999
35,1715071200000,0.9111,0.9131,0.9069,0.9075,41873.0,1715071499999
36,1715071500000,0.9077,0.9116,0.9072,0.9116,45713.0,1715071799999
37,1715071800000,0.9115,0.9161,0.9103,0.9136,94430.0,1715072099999
38,1715072100000,0.9137,0.9158,0.9115,0.9115,31569.0,1715072399999
39,1715072400000,0.9117,0.9136,0.9115,0.9126,22892.0,1715072699999
40,1715072700000,0.9128,0.913,0.908,0.9096,41398.0,1715072999999
41,1715073000000,0.9097,0.91,0.9025,0.9057,82042.0,1715073299999
42,1715073300000,0.9057,0.9077,0.9018,0.9038,46717.0,1715073599999
43,1715073600000,0.9037,0.904,0.9006,0.9006,51997.0,1715073899999
44,1715073900000,0.9011,0.9039,0.9011,0.9024,52152.0,1715074199999
45,1715074200000,0.9026,0.9034,0.8989,0.9023,74308.0,1715074499999
46,1715074500000,0.9027,0.907,0.9025,0.9062,59558.0,1715074799999
47,1715074800000,0.906,0.9079,0.9043,0.9079,60518.0,1715075099999
48,1715075100000,0.9078,0.9126,0.9077,0.9091,73147.0,1715075399999
49,1715075400000,0.9094,0.9097,0.9073,0.9089,46124.0,1715075699999
50,1715075700000,0.9085,0.9114,0.9073,0.9076,67316.0,1715075999999
51,1715076000000,0.9076,0.9094,0.9061,0.9094,29226.0,1715076299999
52,1715076300000,0.9095,0.9108,0.9017,0.9028,110742.0,1715076599999
53,1715076600000,0.9029,0.9054,0.9008,0.9015,63014.0,1715076899999
54,1715076900000,0.9014,0.9077,0.9004,0.9047,62514.0,1715077199999
55,1715077200000,0.905,0.9097,0.905,0.9088,87048.0,1715077499999
56,1715077500000,0.909,0.9104,0.9043,0.9043,85248.0,1715077799999
57,1715077800000,0.905,0.9103,0.9046,0.9094,53045.0,1715078099999
58,1715078100000,0.9098,0.9105,0.9069,0.907,27437.0,1715078399999
59,1715078400000,0.9072,0.9091,0.9069,0.9088,33604.0,1715078699999
60,1715078700000,0.9091,0.9165,0.909,0.9125,86105.0,1715078999999
61,1715079000000,0.9127,0.9154,0.9107,0.9118,51879.0,1715079299999
62,1715079300000,0.9114,0.912,0.909,0.9116,53300.0,1715079599999
63,1715079600000,0.9119,0.9119,0.9063,0.9063,34505.0,1715079899999
64,1715079900000,0.9063,0.9088,0.9049,0.9083,26216.0,1715080199999
65,1715080200000,0.9083,0.9093,0.9074,0.9078,32468.0,1715080499999
66,1715080500000,0.9079,0.9079,0.9058,0.9064,7934.0,1715080799999
67,1715080800000,0.9065,0.9082,0.9059,0.9069,17903.0,1715081099999
68,1715081100000,0.9071,0.9094,0.9069,0.9083,13533.0,1715081399999
69,1715081400000,0.908,0.9092,0.9045,0.905,26194.0,1715081699999
70,1715081700000,0.9048,0.9081,0.9042,0.9045,37117.0,1715081999999
71,1715082000000,0.9044,0.9054,0.8939,0.8951,155254.0,1715082299999
72,1715082300000,0.8945,0.8979,0.8917,0.8953,133868.0,1715082599999
73,1715082600000,0.8953,0.8963,0.8914,0.8914,32531.0,1715082899999
74,1715082900000,0.8917,0.8953,0.891,0.8924,27214.0,1715083199999
75,1715083200000,0.8922,0.8929,0.8866,0.8883,65459.0,1715083499999
76,1715083500000,0.8885,0.8928,0.8884,0.8897,55981.0,1715083799999
77,1715083800000,0.8895,0.8895,0.8838,0.8878,49044.0,1715084099999
78,1715084100000,0.8877,0.8877,0.8838,0.8841,21612.0,1715084399999
79,1715084400000,0.884,0.8841,0.8803,0.8811,18736.0,1715084699999
80,1715084700000,0.8812,0.8839,0.8811,0.8831,28149.0,1715084999999
81,1715085000000,0.883,0.924,0.8766,0.8837,705871.0,1715085299999
82,1715085300000,0.8833,0.8842,0.8661,0.8813,425563.0,1715085599999
83,1715085600000,0.8812,0.8858,0.8806,0.8836,114114.0,1715085899999
84,1715085900000,0.8838,0.8927,0.8725,0.8907,191763.0,1715086199999
85,1715086200000,0.8906,0.9013,0.8887,0.8999,194759.0,1715086499999
86,1715086500000,0.8995,0.9026,0.8896,0.8969,137404.0,1715086799999
87,1715086800000,0.8966,0.8983,0.8866,0.8889,126353.0,1715087099999
88,1715087100000,0.889,0.8903,0.8811,0.8842,91543.0,1715087399999
89,1715087400000,0.8841,0.8841,0.8767,0.8819,80540.0,1715087699999
90,1715087700000,0.8816,0.8911,0.881,0.8878,83245.0,1715087999999
91,1715088000000,0.8876,0.8881,0.881,0.881,22023.0,1715088299999
92,1715088300000,0.8813,0.896,0.8813,0.8905,133993.0,1715088599999
93,1715088600000,0.8904,0.9018,0.8893,0.9012,143711.0,1715088899999
94,1715088900000,0.9008,0.9182,0.8991,0.9098,407896.0,1715089199999
95,1715089200000,0.9105,0.9137,0.9048,0.9093,123993.0,1715089499999
96,1715089500000,0.909,0.9186,0.9012,0.9055,290549.0,1715089799999
97,1715089800000,0.9064,0.9122,0.8977,0.9105,142097.0,1715090099999
98,1715090100000,0.911,0.914,0.903,0.909,150201.0,1715090399999
99,1715090400000,0.9092,0.9139,0.905,0.9135,70845.0,1715090699999
100,1715090700000,0.9128,0.9149,0.91,0.9117,72513.0,1715090999999
101,1715091000000,0.9116,0.9176,0.9107,0.9146,71384.0,1715091299999
102,1715091300000,0.9149,0.9403,0.9149,0.9402,360722.0,1715091599999
103,1715091600000,0.9406,0.9477,0.9274,0.9341,298385.0,1715091899999
104,1715091900000,0.9352,0.9428,0.9326,0.9377,197296.0,1715092199999
105,1715092200000,0.9375,0.9515,0.9329,0.9362,283875.0,1715092499999
106,1715092500000,0.9363,0.947,0.9363,0.9448,207889.0,1715092799999
107,1715092800000,0.9445,0.9571,0.9437,0.953,197841.0,1715093099999
108,1715093100000,0.9526,0.973,0.9502,0.9677,375228.0,1715093399999
109,1715093400000,0.9661,0.9784,0.964,0.9777,186329.0,1715093699999
110,1715093700000,0.9775,0.9888,0.9703,0.9781,295431.0,1715093999999
111,1715094000000,0.9793,1.0054,0.9793,0.9946,661557.0,1715094299999
112,1715094300000,0.996,1.0027,0.9777,0.9777,391293.0,1715094599999
113,1715094600000,0.9777,0.9853,0.97,0.979,306134.0,1715094899999
114,1715094900000,0.979,0.9937,0.9785,0.9841,287383.0,1715095199999
115,1715095200000,0.9844,0.9913,0.982,0.9883,133147.0,1715095499999
116,1715095500000,0.9883,0.9979,0.9848,0.9971,138346.0,1715095799999
117,1715095800000,0.9959,0.9962,0.9755,0.98,727533.0,1715096099999
118,1715096100000,0.98,0.98,0.9734,0.9795,289168.0,1715096399999
119,1715096400000,0.9793,0.98,0.9639,0.9663,385763.0,1715096699999
120,1715096700000,0.9672,0.9699,0.9577,0.9691,213309.0,1715096999999
121,1715097000000,0.9686,0.9734,0.9627,0.9724,181911.0,1715097299999
122,1715097300000,0.9719,0.9735,0.9636,0.9654,143941.0,1715097599999
123,1715097600000,0.9657,0.9686,0.959,0.962,177808.0,1715097899999
124,1715097900000,0.9615,0.9653,0.9607,0.9618,87113.0,1715098199999
125,1715098200000,0.9615,0.9615,0.9504,0.9557,168057.0,1715098499999
126,1715098500000,0.9561,0.9568,0.9503,0.9556,75185.0,1715098799999
127,1715098800000,0.9561,0.9621,0.9554,0.957,78862.0,1715099099999
128,1715099100000,0.957,0.9577,0.9545,0.9555,82900.0,1715099399999
129,1715099400000,0.9546,0.9556,0.9509,0.9515,59514.0,1715099699999
130,1715099700000,0.951,0.951,0.9421,0.944,110061.0,1715099999999
131,1715100000000,0.9436,0.9505,0.9415,0.9484,100807.0,1715100299999
132,1715100300000,0.9484,0.9488,0.9409,0.945,73680.0,1715100599999
133,1715100600000,0.9455,0.9512,0.9396,0.9489,119615.0,1715100899999
134,1715100900000,0.9485,0.9531,0.9463,0.9517,114750.0,1715101199999
135,1715101200000,0.9516,0.9558,0.9455,0.9459,88662.0,1715101499999
136,1715101500000,0.9461,0.952,0.9442,0.9466,110487.0,1715101799999
137,1715101800000,0.9466,0.9483,0.9425,0.9448,75627.0,1715102099999
138,1715102100000,0.9448,0.9481,0.9426,0.9481,124531.0,1715102399999
139,1715102400000,0.9482,0.9532,0.9479,0.9512,69504.0,1715102699999
140,1715102700000,0.9514,0.9515,0.9455,0.9457,42129.0,1715102999999
141,1715103000000,0.9454,0.9482,0.942,0.9421,118762.0,1715103299999
142,1715103300000,0.9423,0.9454,0.9412,0.9454,58227.0,1715103599999
143,1715103600000,0.9451,0.9454,0.9435,0.9435,7955.0,1715103899999
