,open_time,open,high,low,close,VOLUME,close_time
0,1714941900000,0.807,0.811,0.806,0.81,1495117.0,1714942799999
1,1714942800000,0.809,0.81,0.806,0.806,1492941.0,1714943699999
2,1714943700000,0.806,0.808,0.803,0.807,1639280.0,1714944599999
3,1714944600000,0.807,0.808,0.805,0.806,589230.0,1714945499999
4,1714945500000,0.806,0.809,0.805,0.808,898417.0,1714946399999
5,1714946400000,0.808,0.809,0.803,0.804,2849680.0,1714947299999
6,1714947300000,0.803,0.806,0.802,0.805,1767312.0,1714948199999
7,1714948200000,0.805,0.808,0.802,0.805,2191486.0,1714949099999
8,1714949100000,0.805,0.809,0.804,0.808,1648165.0,1714949999999
9,1714950000000,0.808,0.811,0.807,0.81,2804825.0,1714950899999
10,1714950900000,0.809,0.815,0.808,0.814,2422469.0,1714951799999
11,1714951800000,0.813,0.814,0.81,0.812,1875422.0,1714952699999
12,1714952700000,0.811,0.814,0.809,0.813,1628021.0,1714953599999
13,1714953600000,0.812,0.817,0.81,0.815,2661806.0,1714954499999
14,1714954500000,0.815,0.821,0.814,0.821,3372313.0,1714955399999
15,1714955400000,0.82,0.828,0.82,0.825,3733793.0,1714956299999
16,1714956300000,0.826,0.832,0.822,0.829,4606251.0,1714957199999
17,1714957200000,0.829,0.835,0.828,0.83,3348814.0,1714958099999
18,1714958100000,0.83,0.836,0.83,0.831,4035294.0,1714958999999
19,1714959000000,0.831,0.831,0.822,0.825,4685484.0,1714959899999
20,1714959900000,0.824,0.83,0.821,0.826,3499392.0,1714960799999
21,1714960800000,0.826,0.832,0.825,0.831,4311031.0,1714961699999
22,1714961700000,0.831,0.859,0.83,0.85,22500858.0,1714962599999
23,1714962600000,0.851,0.851,0.842,0.846,5746175.0,1714963499999
24,1714963500000,0.845,0.846,0.836,0.839,5305253.0,1714964399999
25,1714964400000,0.839,0.853,0.839,0.846,7161729.0,1714965299999
26,1714965300000,0.846,0.86,0.845,0.854,7501953.0,1714966199999
27,1714966200000,0.854,0.87,0.853,0.869,10602416.0,1714967099999
28,1714967100000,0.869,0.873,0.863,0.867,9180001.0,1714967999999
29,1714968000000,0.867,0.878,0.863,0.87,9620236.0,1714968899999
30,1714968900000,0.87,0.888,0.869,0.883,16278456.0,1714969799999
31,1714969800000,0.884,0.888,0.878,0.882,8042311.0,1714970699999
32,1714970700000,0.881,0.884,0.876,0.878,7547591.0,1714971599999
33,1714971600000,0.879,0.891,0.878,0.889,10288039.0,1714972499999
34,1714972500000,0.888,0.907,0.882,0.903,18422613.0,1714973399999
35,1714973400000,0.903,0.907,0.893,0.896,10747558.0,1714974299999
36,1714974300000,0.897,0.904,0.895,0.901,7449168.0,1714975199999
37,1714975200000,0.901,0.914,0.899,0.907,13477353.0,1714976099999
38,1714976100000,0.907,0.907,0.89,0.893,14779734.0,1714976999999
39,1714977000000,0.893,0.896,0.888,0.896,8025093.0,1714977899999
40,1714977900000,0.896,0.903,0.893,0.902,6736744.0,1714978799999
41,1714978800000,0.901,0.904,0.898,0.901,4894935.0,1714979699999
42,1714979700000,0.902,0.907,0.898,0.903,4940709.0,1714980599999
43,1714980600000,0.902,0.909,0.899,0.899,8234138.0,1714981499999
44,1714981500000,0.9,0.915,0.899,0.911,10876501.0,1714982399999
45,1714982400000,0.911,0.918,0.909,0.916,8477790.0,1714983299999
46,1714983300000,0.915,0.935,0.914,0.927,21789750.0,1714984199999
47,1714984200000,0.927,0.931,0.919,0.921,11683850.0,1714985099999
48,1714985100000,0.92,0.922,0.902,0.909,17091566.0,1714985999999
49,1714986000000,0.909,0.918,0.906,0.91,10540578.0,1714986899999
50,1714986900000,0.909,0.916,0.906,0.916,5184388.0,1714987799999
51,1714987800000,0.916,0.927,0.91,0.918,9584684.0,1714988699999
52,1714988700000,0.918,0.924,0.917,0.922,6328813.0,1714989599999
53,1714989600000,0.922,0.929,0.92,0.921,6123130.0,1714990499999
54,1714990500000,0.921,0.926,0.916,0.925,6412189.0,1714991399999
55,1714991400000,0.925,0.925,0.895,0.897,23319967.0,1714992299999
56,1714992300000,0.896,0.905,0.886,0.897,22316114.0,1714993199999
57,1714993200000,0.898,0.914,0.897,0.91,10786577.0,1714994099999
58,1714994100000,0.911,0.917,0.91,0.915,6470265.0,1714994999999
59,1714995000000,0.915,0.924,0.909,0.913,9739669.0,1714995899999
60,1714995900000,0.912,0.921,0.912,0.919,5585035.0,1714996799999
61,1714996800000,0.919,0.926,0.915,0.916,7762955.0,1714997699999
62,1714997700000,0.916,0.92,0.905,0.906,11697921.0,1714998599999
63,1714998600000,0.906,0.911,0.896,0.903,18781844.0,1714999499999
64,1714999500000,0.902,0.902,0.868,0.885,39776328.0,1715000399999
65,1715000400000,0.885,0.894,0.88,0.89,12924509.0,1715001299999
66,1715001300000,0.891,0.894,0.882,0.884,10354379.0,1715002199999
67,1715002200000,0.883,0.901,0.882,0.897,12363213.0,1715003099999
68,1715003100000,0.896,0.902,0.893,0.898,8004335.0,1715003999999
69,1715004000000,0.898,0.908,0.897,0.902,11157920.0,1715004899999
70,1715004900000,0.903,0.905,0.893,0.894,8195923.0,1715005799999
71,1715005800000,0.895,0.895,0.88,0.882,10178102.0,1715006699999
72,1715006700000,0.882,0.887,0.872,0.873,12074489.0,1715007599999
73,1715007600000,0.874,0.88,0.868,0.878,16800162.0,1715008499999
74,1715008500000,0.878,0.882,0.873,0.877,7085095.0,1715009399999
75,1715009400000,0.877,0.887,0.871,0.886,9237523.0,1715010299999
76,1715010300000,0.886,0.889,0.877,0.877,6892395.0,1715011199999
77,1715011200000,0.877,0.884,0.875,0.878,6527181.0,1715012099999
78,1715012100000,0.878,0.884,0.873,0.882,5929252.0,1715012999999
79,1715013000000,0.883,0.891,0.872,0.874,11809380.0,1715013899999
80,1715013900000,0.873,0.875,0.863,0.867,9317584.0,1715014799999
81,1715014800000,0.868,0.873,0.867,0.869,4904496.0,1715015699999
82,1715015700000,0.87,0.87,0.856,0.859,8592418.0,1715016599999
83,1715016600000,0.86,0.861,0.85,0.854,10052755.0,1715017499999
84,1715017500000,0.854,0.864,0.853,0.862,6851102.0,1715018399999
85,1715018400000,0.863,0.867,0.86,0.865,5410245.0,1715019299999
86,1715019300000,0.864,0.864,0.858,0.859,4298219.0,1715020199999
87,1715020200000,0.86,0.869,0.855,0.863,6875660.0,1715021099999
88,1715021100000,0.863,0.866,0.86,0.86,3836547.0,1715021999999
89,1715022000000,0.861,0.861,0.854,0.855,3750259.0,1715022899999
90,1715022900000,0.854,0.861,0.852,0.859,7002035.0,1715023799999
91,1715023800000,0.859,0.86,0.853,0.86,4814311.0,1715024699999
92,1715024700000,0.859,0.865,0.858,0.865,3829658.0,1715025599999
93,1715025600000,0.865,0.866,0.859,0.864,4585436.0,1715026499999
94,1715026500000,0.863,0.869,0.862,0.868,3304895.0,1715027399999
95,1715027400000,0.868,0.87,0.866,0.868,1012411.0,1715028299999
