,open_time,open,high,low,close,VOLUME,close_time
0,1710099900000,0.07734,0.07887,0.07734,0.07868,135526702.0,1710100799999
1,1710100800000,0.07868,0.07939,0.07783,0.07808,211236128.0,1710101699999
2,1710101700000,0.07807,0.0791,0.07765,0.0789,163605335.0,1710102599999
3,1710102600000,0.07891,0.0805,0.0786,0.08031,198469316.0,1710103499999
4,1710103500000,0.0803,0.08124,0.07967,0.08079,246418654.0,1710104399999
5,1710104400000,0.08079,0.08185,0.08001,0.08009,256750622.0,1710105299999
6,1710105300000,0.08009,0.08025,0.07835,0.07881,256510856.0,1710106199999
7,1710106200000,0.07882,0.08005,0.07859,0.07879,131596388.0,1710107099999
8,1710107100000,0.07878,0.081,0.07874,0.08055,158906772.0,1710107999999
9,1710108000000,0.08055,0.08079,0.07921,0.07958,176749256.0,1710108899999
10,1710108900000,0.07957,0.08039,0.07876,0.0791,228020248.0,1710109799999
11,1710109800000,0.07911,0.07963,0.07808,0.07856,276990650.0,1710110699999
12,1710110700000,0.07853,0.08091,0.07851,0.08055,326382425.0,1710111599999
13,1710111600000,0.08054,0.08216,0.07999,0.0808,408337457.0,1710112499999
14,1710112500000,0.08079,0.08321,0.08078,0.08274,356359967.0,1710113399999
15,1710113400000,0.08273,0.08302,0.08072,0.08099,258393169.0,1710114299999
16,1710114300000,0.08101,0.08282,0.08062,0.08277,207592470.0,1710115199999
17,1710115200000,0.08277,0.08278,0.07913,0.07933,365654217.0,1710116099999
18,1710116100000,0.07933,0.07989,0.07745,0.07782,326510138.0,1710116999999
19,1710117000000,0.07781,0.07908,0.07701,0.07719,301735485.0,1710117899999
20,1710117900000,0.07719,0.07829,0.07244,0.07691,710690926.0,1710118799999
21,1710118800000,0.07689,0.079,0.0755,0.07894,411856738.0,1710119699999
22,1710119700000,0.07894,0.08037,0.07767,0.07805,376021471.0,1710120599999
23,1710120600000,0.07804,0.07874,0.07657,0.07667,254205015.0,1710121499999
24,1710121500000,0.07667,0.0777,0.07565,0.07598,290068759.0,1710122399999
25,1710122400000,0.07597,0.07659,0.07341,0.07505,470479237.0,1710123299999
26,1710123300000,0.07505,0.0751,0.0733,0.07411,273557913.0,1710124199999
27,1710124200000,0.07411,0.07503,0.07334,0.07458,261259445.0,1710125099999
28,1710125100000,0.07457,0.07499,0.07362,0.07451,189267334.0,1710125999999
29,1710126000000,0.07449,0.07599,0.07437,0.07579,207505422.0,1710126899999
30,1710126900000,0.0758,0.07653,0.07547,0.07607,193915863.0,1710127799999
31,1710127800000,0.07608,0.07711,0.07525,0.07652,160523876.0,1710128699999
32,1710128700000,0.07652,0.07662,0.07573,0.07605,136108694.0,1710129599999
33,1710129600000,0.07606,0.07697,0.07565,0.0759,139956815.0,1710130499999
34,1710130500000,0.0759,0.07685,0.07564,0.07679,108966501.0,1710131399999
35,1710131400000,0.07679,0.07713,0.07581,0.07621,123056430.0,1710132299999
36,1710132300000,0.07621,0.07621,0.07561,0.07577,88700255.0,1710133199999
37,1710133200000,0.07578,0.07578,0.07446,0.07486,206447784.0,1710134099999
38,1710134100000,0.07485,0.07535,0.07417,0.0753,157551643.0,1710134999999
39,1710135000000,0.07531,0.07539,0.07388,0.07418,164813376.0,1710135899999
40,1710135900000,0.07419,0.07495,0.07418,0.07472,113563855.0,1710136799999
41,1710136800000,0.07472,0.0753,0.07348,0.07515,202654640.0,1710137699999
42,1710137700000,0.07513,0.0758,0.07408,0.07415,174319023.0,1710138599999
43,1710138600000,0.07416,0.07585,0.07411,0.07525,145151776.0,1710139499999
44,1710139500000,0.07524,0.07669,0.07491,0.07651,172416457.0,1710140399999
45,1710140400000,0.07652,0.07689,0.07503,0.07551,223270390.0,1710141299999
46,1710141300000,0.07552,0.07775,0.07469,0.07697,247354700.0,1710142199999
47,1710142200000,0.07697,0.07703,0.07621,0.07674,97114729.0,1710143099999
