,open_time,open,high,low,close,volume,close_time
0,1705532400000,1.208,1.213,1.198,1.211,121863.3,1705535999999
1,1705536000000,1.212,1.22,1.209,1.216,159563.4,1705539599999
2,1705539600000,1.217,1.222,1.196,1.207,272602.8,1705543199999
3,1705543200000,1.207,1.215,1.203,1.212,254590.7,1705546799999
4,1705546800000,1.212,1.215,1.202,1.209,178156.6,1705550399999
5,1705550400000,1.208,1.215,1.204,1.208,154550.1,1705553999999
6,1705554000000,1.209,1.213,1.203,1.212,124851.6,1705557599999
7,1705557600000,1.213,1.222,1.212,1.218,180846.9,1705561199999
8,1705561200000,1.218,1.229,1.216,1.228,194792.4,1705564799999
9,1705564800000,1.229,1.229,1.216,1.218,203946.7,1705568399999
10,1705568400000,1.218,1.223,1.209,1.211,231573.0,1705571999999
11,1705572000000,1.211,1.211,1.187,1.191,531176.4,1705575599999
12,1705575600000,1.191,1.195,1.186,1.191,244825.4,1705579199999
13,1705579200000,1.192,1.192,1.172,1.181,387250.2,1705582799999
14,1705582800000,1.182,1.187,1.17,1.184,366466.7,1705586399999
15,1705586400000,1.183,1.192,1.18,1.191,221832.4,1705589999999
16,1705590000000,1.191,1.194,1.18,1.186,216293.7,1705593599999
17,1705593600000,1.186,1.187,1.141,1.157,964598.8,1705597199999
18,1705597200000,1.158,1.165,1.137,1.145,682230.4,1705600799999
19,1705600800000,1.146,1.151,1.13,1.143,466630.5,1705604399999
20,1705604400000,1.144,1.151,1.116,1.125,518460.6,1705607999999
21,1705608000000,1.125,1.143,1.123,1.132,410925.9,1705611599999
22,1705611600000,1.133,1.14,1.127,1.134,234253.8,1705615199999
23,1705615200000,1.135,1.137,1.119,1.133,528774.2,1705618799999
24,1705618800000,1.133,1.133,1.122,1.126,183564.9,1705622399999
25,1705622400000,1.126,1.129,1.108,1.12,466817.2,1705625999999
26,1705626000000,1.121,1.121,1.095,1.106,479233.6,1705629599999
27,1705629600000,1.106,1.113,1.092,1.097,342498.2,1705633199999
28,1705633200000,1.097,1.108,1.084,1.106,583493.7,1705636799999
29,1705636800000,1.107,1.115,1.105,1.11,250313.3,1705640399999
30,1705640400000,1.11,1.116,1.106,1.113,229853.9,1705643999999
31,1705644000000,1.114,1.124,1.112,1.122,225781.0,1705647599999
32,1705647600000,1.122,1.125,1.112,1.112,693203.3,1705651199999
33,1705651200000,1.113,1.117,1.104,1.115,276887.3,1705654799999
34,1705654800000,1.114,1.124,1.114,1.122,204121.0,1705658399999
35,1705658400000,1.122,1.135,1.121,1.133,293038.2,1705661999999
36,1705662000000,1.132,1.135,1.126,1.133,237531.5,1705665599999
37,1705665600000,1.133,1.134,1.122,1.132,289417.9,1705669199999
38,1705669200000,1.132,1.134,1.118,1.121,359334.4,1705672799999
39,1705672800000,1.12,1.123,1.091,1.098,984853.4,1705676399999
40,1705676400000,1.099,1.102,1.083,1.087,869871.0,1705679999999
41,1705680000000,1.087,1.093,1.038,1.057,2020213.8,1705683599999
42,1705683600000,1.057,1.093,1.056,1.093,1091560.2,1705687199999
43,1705687200000,1.092,1.119,1.084,1.114,588019.0,1705690799999
44,1705690800000,1.114,1.119,1.104,1.117,278665.0,1705694399999
45,1705694400000,1.116,1.126,1.108,1.111,321486.9,1705697999999
46,1705698000000,1.111,1.114,1.105,1.112,278516.0,1705701599999
47,1705701600000,1.112,1.116,1.106,1.114,188865.0,1705705199999
48,1705705200000,1.113,1.118,1.109,1.112,417764.9,1705708799999
49,1705708800000,1.112,1.113,1.091,1.093,433725.3,1705712399999
50,1705712400000,1.093,1.171,1.091,1.167,2833851.2,1705715999999
51,1705716000000,1.167,1.253,1.164,1.185,5133123.2,1705719599999
52,1705719600000,1.185,1.185,1.164,1.178,1183492.0,1705723199999
53,1705723200000,1.178,1.186,1.162,1.165,863185.5,1705726799999
54,1705726800000,1.165,1.185,1.161,1.167,857201.2,1705730399999
55,1705730400000,1.166,1.173,1.155,1.159,1106920.6,1705733999999
56,1705734000000,1.158,1.165,1.151,1.165,476053.1,1705737599999
57,1705737600000,1.164,1.219,1.16,1.201,2475225.2,1705741199999
58,1705741200000,1.2,1.206,1.176,1.185,1640321.6,1705744799999
59,1705744800000,1.184,1.223,1.182,1.215,1675992.5,1705748399999
60,1705748400000,1.214,1.22,1.193,1.217,1285420.8,1705751999999
61,1705752000000,1.216,1.235,1.207,1.233,1811432.8,1705755599999
62,1705755600000,1.233,1.258,1.223,1.257,2001542.1,1705759199999
63,1705759200000,1.256,1.411,1.256,1.398,20454741.7,1705762799999
64,1705762800000,1.399,1.434,1.339,1.362,15519697.9,1705766399999
65,1705766400000,1.361,1.391,1.288,1.291,7992475.5,1705769999999
66,1705770000000,1.292,1.343,1.276,1.29,5958810.4,1705773599999
67,1705773600000,1.289,1.305,1.246,1.259,3350071.1,1705777199999
68,1705777200000,1.259,1.279,1.258,1.266,2009375.3,1705780799999
69,1705780800000,1.265,1.268,1.251,1.251,1414809.3,1705784399999
70,1705784400000,1.251,1.262,1.245,1.249,1260652.4,1705787999999
71,1705788000000,1.249,1.255,1.229,1.233,1331160.5,1705791599999
72,1705791600000,1.232,1.253,1.221,1.247,1696033.9,1705795199999
73,1705795200000,1.248,1.336,1.239,1.273,8365612.8,1705798799999
74,1705798800000,1.273,1.323,1.253,1.262,3906741.3,1705802399999
75,1705802400000,1.261,1.275,1.239,1.27,1977993.4,1705805999999
