,open_time,open,high,low,close,VOLUME,close_time
0,1706856900000,17.897,17.949,17.885,17.909,203563.11,1706857199999
1,1706857200000,17.909,17.975,17.901,17.94,191084.38,1706857499999
2,1706857500000,17.94,18.044,17.931,18.008,206288.16,1706857799999
3,1706857800000,18.008,18.049,18.004,18.037,175000.66,1706858099999
4,1706858100000,18.04,18.089,17.988,18.07,227920.04,1706858399999
5,1706858400000,18.07,18.095,18.037,18.07,163911.53,1706858699999
6,1706858700000,18.071,18.077,18.036,18.05,121038.84,1706858999999
7,1706859000000,18.049,18.267,18.037,18.152,570866.86,1706859299999
8,1706859300000,18.152,18.19,18.123,18.149,215442.72,1706859599999
9,1706859600000,18.149,18.187,18.119,18.17,180826.49,1706859899999
10,1706859900000,18.17,18.248,18.147,18.182,334480.42,1706860199999
11,1706860200000,18.182,18.208,18.124,18.128,236365.27,1706860499999
12,1706860500000,18.128,18.139,18.085,18.116,202289.93,1706860799999
13,1706860800000,18.116,18.203,18.106,18.199,269452.8,1706861099999
14,1706861100000,18.199,18.199,17.95,18.004,603524.8,1706861399999
15,1706861400000,18.004,18.019,17.9,17.906,419642.84,1706861699999
16,1706861700000,17.905,17.962,17.854,17.909,391178.56,1706861999999
17,1706862000000,17.907,17.985,17.892,17.963,241974.44,1706862299999
18,1706862300000,17.963,17.994,17.895,17.957,211327.29,1706862599999
19,1706862600000,17.958,18.153,17.941,18.147,500023.22,1706862899999
20,1706862900000,18.148,18.194,18.121,18.155,428574.77,1706863199999
21,1706863200000,18.155,18.162,18.072,18.12,266082.17,1706863499999
22,1706863500000,18.12,18.154,17.983,18.009,313097.61,1706863799999
23,1706863800000,18.009,18.04,17.973,17.988,199152.28,1706864099999
24,1706864100000,17.989,18.035,17.957,17.97,167721.16,1706864399999
25,1706864400000,17.969,18.077,17.968,18.076,203745.98,1706864699999
26,1706864700000,18.076,18.095,17.851,17.905,391113.94,1706864999999
27,1706865000000,17.905,17.93,17.808,17.867,315059.48,1706865299999
28,1706865300000,17.868,17.915,17.863,17.877,153400.8,1706865599999
29,1706865600000,17.877,17.947,17.813,17.904,242866.25,1706865899999
30,1706865900000,17.903,17.974,17.87,17.873,155216.09,1706866199999
31,1706866200000,17.872,17.915,17.803,17.886,226445.28,1706866499999
32,1706866500000,17.887,17.932,17.871,17.923,123538.19,1706866799999
33,1706866800000,17.922,17.959,17.91,17.924,134755.0,1706867099999
34,1706867100000,17.924,17.938,17.84,17.852,163276.06,1706867399999
35,1706867400000,17.855,17.916,17.838,17.905,120914.28,1706867699999
36,1706867700000,17.906,17.96,17.906,17.934,145044.47,1706867999999
37,1706868000000,17.935,17.945,17.8,17.836,264735.55,1706868299999
38,1706868300000,17.835,17.936,17.831,17.85,259288.76,1706868599999
39,1706868600000,17.851,17.929,17.835,17.91,166905.51,1706868899999
40,1706868900000,17.911,17.953,17.892,17.94,141247.87,1706869199999
41,1706869200000,17.94,18.037,17.937,18.031,269508.61,1706869499999
42,1706869500000,18.031,18.04,17.983,18.035,119887.7,1706869799999
43,1706869800000,18.035,18.091,18.0,18.014,262990.45,1706870099999
44,1706870100000,18.014,18.018,17.942,17.972,218084.44,1706870399999
45,1706870400000,17.972,17.995,17.948,17.973,131775.72,1706870699999
46,1706870700000,17.973,18.007,17.926,17.935,129894.43,1706870999999
47,1706871000000,17.936,17.959,17.897,17.906,139288.22,1706871299999
48,1706871300000,17.905,17.96,17.883,17.935,161098.47,1706871599999
