,open_time,open,high,low,close,VOLUME,close_time
0,1706813100000,20.18,20.2,20.15,20.18,2842.0,1706813999999
1,1706814000000,20.18,20.34,20.17,20.3,12219.8,1706814899999
2,1706814900000,20.3,20.3,20.24,20.26,2954.0,1706815799999
3,1706815800000,20.25,20.36,20.25,20.33,2285.4,1706816699999
4,1706816700000,20.33,20.46,20.32,20.41,4475.5,1706817599999
5,1706817600000,20.4,20.43,20.3,20.34,5889.8,1706818499999
6,1706818500000,20.34,20.4,20.32,20.33,2627.4,1706819399999
7,1706819400000,20.33,20.34,20.23,20.29,4792.9,1706820299999
8,1706820300000,20.29,20.31,20.2,20.27,3194.7,1706821199999
9,1706821200000,20.28,20.45,20.28,20.44,4797.0,1706822099999
10,1706822100000,20.44,20.45,20.39,20.41,1990.0,1706822999999
11,1706823000000,20.41,20.49,20.39,20.49,1886.0,1706823899999
12,1706823900000,20.49,20.68,20.47,20.6,15277.8,1706824799999
13,1706824800000,20.59,20.69,20.58,20.65,8665.2,1706825699999
14,1706825700000,20.65,20.77,20.64,20.67,9482.6,1706826599999
15,1706826600000,20.66,20.67,20.51,20.55,6705.2,1706827499999
16,1706827500000,20.56,20.6,20.55,20.56,2215.4,1706828399999
17,1706828400000,20.56,20.57,20.52,20.54,2854.5,1706829299999
18,1706829300000,20.55,20.64,20.53,20.64,2234.6,1706830199999
19,1706830200000,20.64,20.7,20.53,20.53,4460.0,1706831099999
20,1706831100000,20.54,20.61,20.53,20.59,3774.9,1706831999999
21,1706832000000,20.59,20.66,20.52,20.61,4531.1,1706832899999
22,1706832900000,20.61,20.68,20.57,20.66,5840.3,1706833799999
23,1706833800000,20.66,20.69,20.52,20.56,6940.8,1706834699999
24,1706834700000,20.56,20.68,20.54,20.61,4984.6,1706835599999
25,1706835600000,20.61,20.7,20.58,20.7,4789.9,1706836499999
26,1706836500000,20.69,20.88,20.65,20.73,10203.8,1706837399999
27,1706837400000,20.73,20.73,20.63,20.71,2580.0,1706838299999
28,1706838300000,20.71,20.86,20.71,20.8,3561.8,1706839199999
29,1706839200000,20.8,20.92,20.77,20.92,5950.0,1706840099999
30,1706840100000,20.92,21.09,20.91,20.96,19546.2,1706840999999
31,1706841000000,20.96,21.19,20.96,21.13,22609.9,1706841899999
32,1706841900000,21.13,21.49,21.12,21.42,31728.6,1706842799999
33,1706842800000,21.42,21.62,21.29,21.31,21650.2,1706843699999
34,1706843700000,21.32,21.67,21.25,21.42,48782.9,1706844599999
35,1706844600000,21.42,21.43,21.27,21.37,16364.1,1706845499999
36,1706845500000,21.36,21.87,21.36,21.75,39935.2,1706846399999
37,1706846400000,21.75,21.84,21.33,21.61,47095.0,1706847299999
38,1706847300000,21.61,21.78,21.54,21.74,12856.2,1706848199999
39,1706848200000,21.74,21.98,21.7,21.8,29911.8,1706849099999
40,1706849100000,21.79,21.92,21.65,21.85,24432.8,1706849999999
41,1706850000000,21.85,21.98,21.7,21.76,20820.9,1706850899999
42,1706850900000,21.77,21.78,21.56,21.75,20523.0,1706851799999
43,1706851800000,21.76,21.95,21.73,21.94,22384.9,1706852699999
44,1706852700000,21.94,22.21,21.9,22.05,28878.0,1706853599999
45,1706853600000,22.06,22.24,21.98,22.06,20291.2,1706854499999
46,1706854500000,22.06,22.23,22.0,22.2,15748.1,1706855399999
47,1706855400000,22.2,22.23,22.13,22.15,2343.4,1706856299999
