,open_time,open,high,low,close,VOLUME,close_time
0,1706850900000,2.7228,2.77,2.7209,2.7689,759086.0,1706851799999
1,1706851800000,2.7689,2.782,2.7564,2.7616,669993.0,1706852699999
2,1706852700000,2.7609,2.83,2.7603,2.8222,1428423.0,1706853599999
3,1706853600000,2.8224,2.88,2.8091,2.8162,2145033.0,1706854499999
4,1706854500000,2.8158,2.8271,2.7947,2.8153,891445.0,1706855399999
5,1706855400000,2.8148,2.8352,2.8103,2.823,405725.0,1706856299999
6,1706856300000,2.8229,2.85,2.8125,2.8288,581284.0,1706857199999
7,1706857200000,2.8283,2.8546,2.8155,2.8479,532828.0,1706858099999
8,1706858100000,2.8472,2.852,2.8311,2.8338,332419.0,1706858999999
9,1706859000000,2.8336,2.856,2.83,2.8462,289595.0,1706859899999
10,1706859900000,2.8461,2.8625,2.8408,2.8513,463444.0,1706860799999
11,1706860800000,2.8517,2.865,2.8233,2.8341,584656.0,1706861699999
12,1706861700000,2.8341,2.8606,2.8202,2.8571,492314.0,1706862599999
13,1706862600000,2.857,2.87,2.8511,2.8608,517415.0,1706863499999
14,1706863500000,2.8612,2.8686,2.8468,2.8638,370892.0,1706864399999
15,1706864400000,2.8636,2.875,2.8303,2.8378,759841.0,1706865299999
16,1706865300000,2.8374,2.8692,2.8333,2.8639,436938.0,1706866199999
17,1706866200000,2.8636,2.8743,2.8514,2.8544,381249.0,1706867099999
18,1706867100000,2.8547,2.8729,2.845,2.8594,476604.0,1706867999999
19,1706868000000,2.8599,2.867,2.837,2.8642,609105.0,1706868899999
20,1706868900000,2.8642,2.875,2.8611,2.87,547480.0,1706869799999
21,1706869800000,2.87,2.8895,2.8551,2.8754,1093608.0,1706870699999
22,1706870700000,2.8754,2.8996,2.8748,2.8985,852617.0,1706871599999
23,1706871600000,2.8983,2.9016,2.8712,2.8823,586409.0,1706872499999
24,1706872500000,2.8825,2.8938,2.862,2.888,592339.0,1706873399999
25,1706873400000,2.8883,2.893,2.8626,2.8681,461209.0,1706874299999
26,1706874300000,2.8681,2.8836,2.8641,2.8783,333073.0,1706875199999
27,1706875200000,2.8783,2.8907,2.861,2.8844,539612.0,1706876099999
28,1706876100000,2.8844,2.8896,2.8692,2.8777,428296.0,1706876999999
29,1706877000000,2.8776,2.8829,2.8574,2.8607,552817.0,1706877899999
30,1706877900000,2.8607,2.8781,2.8522,2.8762,484762.0,1706878799999
31,1706878800000,2.8765,2.885,2.8705,2.8709,261596.0,1706879699999
32,1706879700000,2.8709,2.89,2.8636,2.8823,470396.0,1706880599999
33,1706880600000,2.8823,2.8888,2.8545,2.8757,1012244.0,1706881499999
34,1706881500000,2.876,2.8805,2.8406,2.8534,1137592.0,1706882399999
35,1706882400000,2.8535,2.894,2.84,2.884,1179586.0,1706883299999
36,1706883300000,2.8848,2.8897,2.863,2.8745,529698.0,1706884199999
37,1706884200000,2.8745,2.892,2.8733,2.8819,422364.0,1706885099999
38,1706885100000,2.8822,2.91,2.857,2.8724,1254017.0,1706885999999
39,1706886000000,2.8718,2.9017,2.856,2.8973,653773.0,1706886899999
40,1706886900000,2.8971,2.936,2.8831,2.9077,1152096.0,1706887799999
41,1706887800000,2.9078,2.9475,2.9067,2.9409,934014.0,1706888699999
42,1706888700000,2.9409,2.95,2.9235,2.9379,744816.0,1706889599999
43,1706889600000,2.9377,2.9686,2.936,2.9539,975824.0,1706890499999
44,1706890500000,2.9539,2.9569,2.922,2.9403,605585.0,1706891399999
45,1706891400000,2.9403,2.9474,2.9243,2.9243,367747.0,1706892299999
46,1706892300000,2.9251,2.9566,2.9251,2.9509,515017.0,1706893199999
47,1706893200000,2.9509,2.9512,2.941,2.9494,78934.0,1706894099999
