,open_time,open,high,low,close,volume,close_time
0,1705532400000,0.03403,0.03404,0.03372,0.03395,64911479.0,1705535999999
1,1705536000000,0.03395,0.03435,0.03384,0.03413,111617901.0,1705539599999
2,1705539600000,0.03414,0.03446,0.03366,0.03384,169050829.0,1705543199999
3,1705543200000,0.03385,0.03391,0.03346,0.03358,95220738.0,1705546799999
4,1705546800000,0.03358,0.0337,0.03336,0.03362,84869585.0,1705550399999
5,1705550400000,0.03361,0.0339,0.03357,0.03378,81450105.0,1705553999999
6,1705554000000,0.03378,0.03451,0.03377,0.03424,199524422.0,1705557599999
7,1705557600000,0.03423,0.0347,0.03389,0.03394,153052332.0,1705561199999
8,1705561200000,0.03393,0.03423,0.03383,0.034,87406848.0,1705564799999
9,1705564800000,0.03399,0.03473,0.0339,0.03406,185804731.0,1705568399999
10,1705568400000,0.03406,0.03451,0.03404,0.03441,120397820.0,1705571999999
11,1705572000000,0.0344,0.03511,0.03438,0.0347,316306966.0,1705575599999
12,1705575600000,0.03471,0.03539,0.03364,0.03384,518294776.0,1705579199999
13,1705579200000,0.03385,0.03386,0.03311,0.03335,314665251.0,1705582799999
14,1705582800000,0.03335,0.03336,0.03242,0.03265,388563019.0,1705586399999
15,1705586400000,0.03263,0.0329,0.03252,0.03275,151128158.0,1705589999999
16,1705590000000,0.03274,0.03309,0.03231,0.03302,236658136.0,1705593599999
17,1705593600000,0.03301,0.03449,0.03294,0.03422,740192153.0,1705597199999
18,1705597200000,0.03422,0.03423,0.03216,0.03267,572083906.0,1705600799999
19,1705600800000,0.03267,0.03322,0.03228,0.0328,388959473.0,1705604399999
20,1705604400000,0.03281,0.03294,0.03176,0.03208,252168673.0,1705607999999
21,1705608000000,0.03208,0.03256,0.03189,0.03235,163663353.0,1705611599999
22,1705611600000,0.03234,0.03271,0.03222,0.03254,91113547.0,1705615199999
23,1705615200000,0.03254,0.03262,0.0321,0.03251,83081145.0,1705618799999
24,1705618800000,0.03251,0.03252,0.03195,0.03199,98002245.0,1705622399999
25,1705622400000,0.032,0.03212,0.03127,0.03195,232301591.0,1705625999999
26,1705626000000,0.03195,0.03218,0.03111,0.03139,219774475.0,1705629599999
27,1705629600000,0.03139,0.03174,0.03116,0.03146,143318170.0,1705633199999
28,1705633200000,0.03146,0.03167,0.03083,0.03136,188630192.0,1705636799999
29,1705636800000,0.03137,0.03142,0.03104,0.03119,86005263.0,1705640399999
30,1705640400000,0.0312,0.03151,0.03105,0.03128,87920748.0,1705643999999
31,1705644000000,0.03129,0.03188,0.03123,0.03163,160772099.0,1705647599999
32,1705647600000,0.03164,0.03178,0.03146,0.03153,90399541.0,1705651199999
33,1705651200000,0.03153,0.03157,0.03127,0.03138,67689517.0,1705654799999
34,1705654800000,0.03139,0.03155,0.03103,0.03124,89662706.0,1705658399999
35,1705658400000,0.03124,0.03184,0.03119,0.0317,146049503.0,1705661999999
36,1705662000000,0.03169,0.03222,0.03152,0.032,265869950.0,1705665599999
37,1705665600000,0.032,0.03248,0.03175,0.03199,270972693.0,1705669199999
38,1705669200000,0.03199,0.03298,0.03188,0.03246,295921599.0,1705672799999
39,1705672800000,0.03246,0.03266,0.03179,0.03193,225567696.0,1705676399999
40,1705676400000,0.03194,0.03199,0.0311,0.03121,229496586.0,1705679999999
41,1705680000000,0.03122,0.03142,0.02975,0.03005,648336873.0,1705683599999
42,1705683600000,0.03005,0.03104,0.02995,0.03098,263603425.0,1705687199999
43,1705687200000,0.03099,0.03164,0.03086,0.03155,130726863.0,1705690799999
44,1705690800000,0.03155,0.03198,0.03138,0.0319,89135900.0,1705694399999
45,1705694400000,0.0319,0.0321,0.03163,0.03172,91655439.0,1705697999999
46,1705698000000,0.03172,0.03248,0.03166,0.03239,94823725.0,1705701599999
47,1705701600000,0.03238,0.03243,0.03187,0.03203,59950083.0,1705705199999
48,1705705200000,0.03202,0.03219,0.03192,0.03212,62313223.0,1705708799999
49,1705708800000,0.03212,0.03216,0.03165,0.03175,70483630.0,1705712399999
50,1705712400000,0.03175,0.03292,0.0317,0.03228,297773043.0,1705715999999
51,1705716000000,0.03227,0.03243,0.03194,0.03228,100582411.0,1705719599999
52,1705719600000,0.03227,0.03246,0.03217,0.03235,100418455.0,1705723199999
53,1705723200000,0.03235,0.0325,0.03199,0.03246,75468250.0,1705726799999
54,1705726800000,0.03245,0.0326,0.03221,0.03227,103519464.0,1705730399999
55,1705730400000,0.03227,0.03234,0.03195,0.03212,85359720.0,1705733999999
56,1705734000000,0.03211,0.03218,0.03162,0.03177,98592634.0,1705737599999
57,1705737600000,0.03176,0.03214,0.03175,0.0319,91853791.0,1705741199999
58,1705741200000,0.03189,0.03206,0.03139,0.03153,116221187.0,1705744799999
59,1705744800000,0.03153,0.03234,0.0315,0.03204,120481628.0,1705748399999
60,1705748400000,0.03203,0.03295,0.03192,0.03283,199911572.0,1705751999999
61,1705752000000,0.03283,0.03293,0.03245,0.03266,115135652.0,1705755599999
62,1705755600000,0.03266,0.0345,0.0326,0.03348,748424573.0,1705759199999
63,1705759200000,0.03348,0.03386,0.03268,0.03357,334552037.0,1705762799999
64,1705762800000,0.03357,0.03367,0.03284,0.03295,212312949.0,1705766399999
65,1705766400000,0.03296,0.03453,0.03286,0.03392,562985190.0,1705769999999
66,1705770000000,0.03392,0.03428,0.03366,0.03416,213814408.0,1705773599999
67,1705773600000,0.03415,0.03478,0.03398,0.0344,351393047.0,1705777199999
68,1705777200000,0.03439,0.03554,0.03424,0.03492,515149999.0,1705780799999
69,1705780800000,0.03492,0.03549,0.03474,0.03504,254707171.0,1705784399999
70,1705784400000,0.03504,0.03542,0.0348,0.03507,186473561.0,1705787999999
71,1705788000000,0.03507,0.03537,0.03478,0.03495,131946872.0,1705791599999
72,1705791600000,0.03494,0.03523,0.03468,0.03522,126597910.0,1705795199999
73,1705795200000,0.03522,0.03523,0.03414,0.03425,191470484.0,1705798799999
74,1705798800000,0.03424,0.03482,0.0341,0.03436,136340208.0,1705802399999
75,1705802400000,0.03436,0.03529,0.03432,0.03514,125000783.0,1705805999999
76,1705806000000,0.03514,0.03591,0.0351,0.03543,275076761.0,1705809599999
77,1705809600000,0.03543,0.03599,0.0351,0.03548,238264150.0,1705813199999
78,1705813200000,0.03547,0.03571,0.03451,0.03464,224048744.0,1705816799999
79,1705816800000,0.03463,0.03463,0.0339,0.03406,207788700.0,1705820399999
80,1705820400000,0.03406,0.03431,0.03398,0.03422,121264380.0,1705823999999
81,1705824000000,0.03422,0.03433,0.03357,0.03374,165451761.0,1705827599999
82,1705827600000,0.03373,0.03391,0.03365,0.03389,104850561.0,1705831199999
83,1705831200000,0.03389,0.03398,0.03367,0.03374,97089034.0,1705834799999
84,1705834800000,0.03374,0.03387,0.03333,0.03357,208462838.0,1705838399999
85,1705838400000,0.03356,0.03372,0.03329,0.03335,97460669.0,1705841999999
86,1705842000000,0.03334,0.03364,0.03325,0.03362,125227352.0,1705845599999
87,1705845600000,0.03361,0.03362,0.03332,0.03335,79190374.0,1705849199999
88,1705849200000,0.03334,0.03349,0.03286,0.03303,197965838.0,1705852799999
89,1705852800000,0.03303,0.03316,0.03243,0.03282,198624692.0,1705856399999
90,1705856400000,0.03282,0.03314,0.03276,0.03305,94031294.0,1705859999999
91,1705860000000,0.03304,0.03316,0.03286,0.03294,91142623.0,1705863599999
92,1705863600000,0.03295,0.03298,0.0328,0.0329,55830917.0,1705867199999
93,1705867200000,0.0329,0.03293,0.03265,0.03271,68713662.0,1705870799999
94,1705870800000,0.03271,0.03282,0.03254,0.03277,70493736.0,1705874399999
95,1705874400000,0.03278,0.03286,0.03239,0.03271,96883334.0,1705877999999
96,1705878000000,0.03271,0.03279,0.03236,0.0325,111386677.0,1705881599999
97,1705881600000,0.03249,0.03271,0.03211,0.03222,152294338.0,1705885199999
98,1705885200000,0.03223,0.03234,0.03157,0.03166,208119070.0,1705888799999
99,1705888800000,0.03167,0.032,0.03121,0.03146,137099946.0,1705892399999
100,1705892400000,0.03146,0.03205,0.03141,0.03194,129305710.0,1705895999999
101,1705896000000,0.03195,0.03235,0.03165,0.03174,201655912.0,1705899599999
102,1705899600000,0.03174,0.0321,0.03154,0.03185,133188747.0,1705903199999
103,1705903200000,0.03187,0.03208,0.03165,0.03176,100961862.0,1705906799999
104,1705906800000,0.03177,0.03206,0.03172,0.03197,92822393.0,1705910399999
105,1705910400000,0.03197,0.03231,0.03131,0.03153,238471162.0,1705913999999
106,1705914000000,0.03153,0.03178,0.03103,0.03121,165672199.0,1705917599999
107,1705917600000,0.03121,0.03143,0.03071,0.03119,203827512.0,1705921199999
108,1705921200000,0.03118,0.03128,0.03077,0.03093,117622849.0,1705924799999
109,1705924800000,0.03094,0.03106,0.03071,0.03104,100326315.0,1705928399999
110,1705928400000,0.03105,0.03168,0.03103,0.03157,151267306.0,1705931999999
111,1705932000000,0.03157,0.03177,0.03103,0.03124,196574037.0,1705935599999
