,open_time,open,high,low,close,VOLUME,close_time
0,1711375200000,0.43579,0.4896,0.43401,0.4854,184901881.0,1711378799999
1,1711378800000,0.48529,0.55985,0.4842,0.54373,471236018.0,1711382399999
2,1711382400000,0.54364,0.566,0.53411,0.55732,326918037.0,1711385999999
3,1711386000000,0.55739,0.56358,0.54622,0.55555,145857259.0,1711389599999
4,1711389600000,0.55556,0.585,0.55552,0.57844,198519804.0,1711393199999
5,1711393200000,0.57844,0.59627,0.57832,0.58517,159753975.0,1711396799999
6,1711396800000,0.58522,0.59416,0.57597,0.58817,107229673.0,1711400399999
7,1711400400000,0.58816,0.60566,0.58228,0.59142,132075729.0,1711403999999
8,1711404000000,0.59142,0.61495,0.59142,0.61295,131095583.0,1711407599999
9,1711407600000,0.61294,0.61799,0.58193,0.59739,176489028.0,1711411199999
10,1711411200000,0.59729,0.625,0.585,0.59813,238675287.0,1711414799999
11,1711414800000,0.59812,0.60471,0.5928,0.59301,28046095.0,1711418399999
