,open_time,open,high,low,close,VOLUME,close_time
0,1706813100000,0.4468,0.4488,0.4443,0.4466,5967181.0,1706813999999
1,1706814000000,0.4466,0.4499,0.4464,0.4486,3823166.0,1706814899999
2,1706814900000,0.4486,0.45,0.4458,0.4485,3253815.0,1706815799999
3,1706815800000,0.4486,0.4515,0.4469,0.4496,3659256.0,1706816699999
4,1706816700000,0.4496,0.454,0.4494,0.4504,5318454.0,1706817599999
5,1706817600000,0.4503,0.4524,0.4471,0.45,4863523.0,1706818499999
6,1706818500000,0.4501,0.4538,0.4479,0.4515,4669881.0,1706819399999
7,1706819400000,0.4515,0.4533,0.4482,0.4509,4237050.0,1706820299999
8,1706820300000,0.4509,0.4518,0.4488,0.4517,2744104.0,1706821199999
9,1706821200000,0.4516,0.4588,0.4495,0.4565,8359592.0,1706822099999
10,1706822100000,0.4565,0.4583,0.4549,0.4563,4378839.0,1706822999999
11,1706823000000,0.4564,0.4573,0.4529,0.4557,3868833.0,1706823899999
12,1706823900000,0.4556,0.459,0.4545,0.4586,4091736.0,1706824799999
13,1706824800000,0.4585,0.4666,0.4577,0.4631,11606680.0,1706825699999
14,1706825700000,0.4631,0.4638,0.4588,0.4598,4625089.0,1706826599999
15,1706826600000,0.4598,0.4613,0.4573,0.4584,4593715.0,1706827499999
16,1706827500000,0.4585,0.4621,0.4576,0.4611,3661396.0,1706828399999
17,1706828400000,0.4611,0.4615,0.458,0.4596,3560924.0,1706829299999
18,1706829300000,0.4596,0.46,0.457,0.46,2847079.0,1706830199999
19,1706830200000,0.46,0.4652,0.4596,0.4645,4060353.0,1706831099999
20,1706831100000,0.4645,0.4647,0.4624,0.463,3333383.0,1706831999999
21,1706832000000,0.463,0.4745,0.4617,0.4734,17218180.0,1706832899999
22,1706832900000,0.4734,0.4833,0.4711,0.4826,14598582.0,1706833799999
23,1706833800000,0.4826,0.4835,0.4749,0.4803,11724158.0,1706834699999
24,1706834700000,0.4802,0.4965,0.48,0.4906,19325725.0,1706835599999
25,1706835600000,0.4906,0.4996,0.4903,0.4937,16387829.0,1706836499999
26,1706836500000,0.4937,0.4949,0.4871,0.4927,10182715.0,1706837399999
27,1706837400000,0.4927,0.4939,0.4851,0.4855,8558899.0,1706838299999
28,1706838300000,0.4855,0.4924,0.4853,0.4872,7659890.0,1706839199999
29,1706839200000,0.4873,0.4954,0.487,0.4909,8100193.0,1706840099999
30,1706840100000,0.491,0.493,0.484,0.4858,6740887.0,1706840999999
31,1706841000000,0.4857,0.4905,0.4812,0.4893,9286605.0,1706841899999
32,1706841900000,0.4894,0.4895,0.4841,0.4862,4914522.0,1706842799999
33,1706842800000,0.4862,0.4907,0.4859,0.4872,6115957.0,1706843699999
34,1706843700000,0.4871,0.4875,0.4832,0.4865,5127123.0,1706844599999
35,1706844600000,0.4864,0.4877,0.4843,0.4852,4037283.0,1706845499999
36,1706845500000,0.4852,0.4922,0.4824,0.4893,7951266.0,1706846399999
37,1706846400000,0.4894,0.492,0.4846,0.4877,7461980.0,1706847299999
38,1706847300000,0.4878,0.4949,0.4869,0.4913,6530227.0,1706848199999
39,1706848200000,0.4913,0.4946,0.4892,0.4923,6516267.0,1706849099999
40,1706849100000,0.4923,0.493,0.4862,0.4918,9170757.0,1706849999999
41,1706850000000,0.4918,0.499,0.4909,0.4936,11556601.0,1706850899999
42,1706850900000,0.4937,0.4979,0.4935,0.4959,7107773.0,1706851799999
43,1706851800000,0.4959,0.499,0.4922,0.4959,6820440.0,1706852699999
44,1706852700000,0.4958,0.5075,0.4958,0.5024,16247192.0,1706853599999
45,1706853600000,0.5023,0.5097,0.5022,0.5044,15317429.0,1706854499999
46,1706854500000,0.5043,0.5079,0.5008,0.5062,10349979.0,1706855399999
47,1706855400000,0.5063,0.5079,0.505,0.5052,1193662.0,1706856299999
