,open_time,open,high,low,close,VOLUME,close_time
0,1714953600000,2.8235,2.8454,2.8183,2.8383,113790.2,1714955399999
1,1714955400000,2.8372,2.8764,2.8371,2.8687,106956.9,1714957199999
2,1714957200000,2.8687,2.8828,2.8541,2.855,101324.3,1714958999999
3,1714959000000,2.854,2.8643,2.8341,2.8385,55596.4,1714960799999
4,1714960800000,2.8382,2.85,2.83,2.8373,57247.7,1714962599999
5,1714962600000,2.8372,2.8616,2.8306,2.8359,122701.0,1714964399999
6,1714964400000,2.8362,2.8858,2.8357,2.8795,131220.4,1714966199999
7,1714966200000,2.879,2.8943,2.8647,2.8702,179630.0,1714967999999
8,1714968000000,2.8706,2.8706,2.7991,2.8163,401435.7,1714969799999
9,1714969800000,2.8169,2.83,2.8013,2.8253,126280.9,1714971599999
10,1714971600000,2.8259,2.9154,2.8193,2.9068,366229.7,1714973399999
11,1714973400000,2.9065,2.9631,2.9,2.9348,410311.3,1714975199999
12,1714975200000,2.9345,2.965,2.9217,2.9396,303481.2,1714976999999
13,1714977000000,2.9399,2.9999,2.9207,2.9958,356652.0,1714978799999
14,1714978800000,2.9955,3.2165,2.9852,3.106,2182898.6,1714980599999
15,1714980600000,3.1048,3.1974,3.0579,3.1334,1722357.9,1714982399999
16,1714982400000,3.1338,3.2324,3.1181,3.144,1430295.7,1714984199999
17,1714984200000,3.1437,3.1825,3.0905,3.0905,653920.7,1714985999999
18,1714986000000,3.0933,3.1195,3.0625,3.0792,466346.9,1714987799999
19,1714987800000,3.0796,3.0992,3.0512,3.0934,308290.5,1714989599999
20,1714989600000,3.0938,3.165,3.0861,3.1097,570760.2,1714991399999
21,1714991400000,3.1091,3.1162,3.0532,3.0678,525837.8,1714993199999
22,1714993200000,3.0669,3.1103,3.0637,3.1042,323628.4,1714994999999
23,1714995000000,3.1042,3.22,3.0973,3.2081,842128.6,1714996799999
