,open_time,open,high,low,close,VOLUME,close_time
0,1714925940000,0.9921,0.9937,0.9837,0.9927,635496.0,1714925999999
1,1714926000000,0.993,1.0149,0.993,1.0092,1249081.0,1714926059999
2,1714926060000,1.0093,1.015,1.0042,1.0094,947318.0,1714926119999
3,1714926120000,1.0095,1.0117,0.9955,1.0003,933647.0,1714926179999
4,1714926180000,1.0003,1.008,0.9996,1.0054,541954.0,1714926239999
5,1714926240000,1.0049,1.0067,0.9935,0.9948,505342.0,1714926299999
6,1714926300000,0.9947,0.9983,0.9874,0.9877,721984.0,1714926359999
7,1714926360000,0.9881,0.9888,0.9825,0.9864,591207.0,1714926419999
8,1714926420000,0.9861,0.9986,0.9851,0.9943,403863.0,1714926479999
9,1714926480000,0.9943,0.995,0.9834,0.9876,439910.0,1714926539999
10,1714926540000,0.9872,0.9986,0.9871,0.9967,363076.0,1714926599999
11,1714926600000,0.9963,1.0086,0.9937,1.0062,839270.0,1714926659999
12,1714926660000,1.006,1.0068,0.9808,0.9908,1055014.0,1714926719999
13,1714926720000,0.9907,0.9986,0.9875,0.9973,637109.0,1714926779999
14,1714926780000,0.9973,1.0079,0.9954,1.0028,651301.0,1714926839999
15,1714926840000,1.0028,1.0234,1.002,1.0156,1744586.0,1714926899999
16,1714926900000,1.0156,1.0177,1.003,1.0094,1261955.0,1714926959999
17,1714926960000,1.0094,1.0099,1.0045,1.0063,348679.0,1714927019999
18,1714927020000,1.0063,1.015,1.0051,1.0108,454762.0,1714927079999
19,1714927080000,1.0106,1.0187,1.0092,1.0168,605518.0,1714927139999
20,1714927140000,1.0169,1.0174,1.0044,1.0073,466063.0,1714927199999
21,1714927200000,1.0072,1.018,1.0057,1.0149,509688.0,1714927259999
22,1714927260000,1.0147,1.016,1.0067,1.0105,372674.0,1714927319999
23,1714927320000,1.0107,1.0284,1.0101,1.025,813166.0,1714927379999
24,1714927380000,1.0248,1.0409,1.0238,1.0341,1663560.0,1714927439999
25,1714927440000,1.0341,1.0383,1.0282,1.0316,1075625.0,1714927499999
26,1714927500000,1.0318,1.0564,1.0318,1.0502,1942498.0,1714927559999
27,1714927560000,1.0503,1.0506,1.038,1.0445,1575043.0,1714927619999
28,1714927620000,1.0436,1.0436,1.0379,1.0398,444026.0,1714927679999
29,1714927680000,1.04,1.0558,1.0397,1.0539,1406404.0,1714927739999
30,1714927740000,1.0537,1.0561,1.044,1.0499,1088058.0,1714927799999
31,1714927800000,1.0498,1.0528,1.0445,1.0448,756378.0,1714927859999
32,1714927860000,1.0451,1.0454,1.0244,1.0265,1932501.0,1714927919999
33,1714927920000,1.0266,1.0395,1.0258,1.036,603599.0,1714927979999
34,1714927980000,1.036,1.0378,1.032,1.0373,349391.0,1714928039999
35,1714928040000,1.0374,1.045,1.0324,1.035,580528.0,1714928099999
36,1714928100000,1.035,1.0488,1.0347,1.0416,627072.0,1714928159999
37,1714928160000,1.0417,1.0464,1.0394,1.0407,370877.0,1714928219999
38,1714928220000,1.0408,1.0494,1.0408,1.0489,470092.0,1714928279999
39,1714928280000,1.0489,1.0539,1.0394,1.0394,795645.0,1714928339999
