,open_time,open,high,low,close,VOLUME,close_time
0,1714942800000,2.0147,2.0163,1.9892,2.0006,148820.0,1714943099999
1,1714943100000,2.0,2.0289,1.9986,2.0156,120056.0,1714943399999
2,1714943400000,2.0156,2.0216,2.0117,2.017,121888.0,1714943699999
3,1714943700000,2.0173,2.0202,2.0043,2.0111,104285.0,1714943999999
4,1714944000000,2.0111,2.0206,1.9938,2.0165,153534.0,1714944299999
5,1714944300000,2.0165,2.0174,2.0056,2.0059,58779.0,1714944599999
6,1714944600000,2.0059,2.0098,1.9934,1.9971,87510.0,1714944899999
7,1714944900000,1.9967,2.0025,1.995,1.9989,51144.0,1714945199999
8,1714945200000,1.9987,1.9987,1.9869,1.9902,61875.0,1714945499999
9,1714945500000,1.9902,2.0014,1.9861,1.9887,56669.0,1714945799999
10,1714945800000,1.9889,1.9892,1.981,1.9861,98518.0,1714946099999
11,1714946100000,1.9862,2.0134,1.9862,2.0051,391022.0,1714946399999
12,1714946400000,2.0055,2.0077,1.99,2.0009,109747.0,1714946699999
13,1714946700000,2.0009,2.0078,1.9984,2.0057,70904.0,1714946999999
14,1714947000000,2.0059,2.0108,1.9979,2.0103,60954.0,1714947299999
15,1714947300000,2.0102,2.0127,2.0008,2.0109,72952.0,1714947599999
16,1714947600000,2.0109,2.0185,2.0002,2.0053,121787.0,1714947899999
17,1714947900000,2.0056,2.0067,1.9979,1.9982,53022.0,1714948199999
18,1714948200000,1.9979,2.0022,1.9908,1.9962,61254.0,1714948499999
19,1714948500000,1.9955,1.9962,1.9878,1.9933,52836.0,1714948799999
20,1714948800000,1.993,2.0027,1.9902,1.9983,62797.0,1714949099999
21,1714949100000,1.9983,1.9994,1.9864,1.9909,59770.0,1714949399999
22,1714949400000,1.9901,1.996,1.9886,1.9921,26562.0,1714949699999
23,1714949700000,1.992,1.9938,1.987,1.9879,22716.0,1714949999999
24,1714950000000,1.9878,1.9949,1.9865,1.9927,52176.0,1714950299999
25,1714950300000,1.9925,1.9967,1.9899,1.9936,47435.0,1714950599999
26,1714950600000,1.9937,1.9986,1.9926,1.9968,30875.0,1714950899999
27,1714950900000,1.9965,2.0054,1.9927,2.0042,74942.0,1714951199999
28,1714951200000,2.0051,2.0253,2.0051,2.024,122859.0,1714951499999
29,1714951500000,2.0238,2.0238,2.0103,2.0195,152832.0,1714951799999
30,1714951800000,2.0193,2.0209,2.0116,2.0162,56272.0,1714952099999
31,1714952100000,2.0165,2.0171,2.006,2.0081,70755.0,1714952399999
32,1714952400000,2.0079,2.0194,2.0072,2.0156,53490.0,1714952699999
33,1714952700000,2.0154,2.0175,2.0052,2.0105,84559.0,1714952999999
34,1714953000000,2.0092,2.0135,2.0061,2.0126,44072.0,1714953299999
35,1714953300000,2.0125,2.0154,2.0105,2.0125,31821.0,1714953599999
36,1714953600000,2.0124,2.023,2.0082,2.0221,102362.0,1714953899999
37,1714953900000,2.0224,2.03,2.0204,2.0238,253712.0,1714954199999
38,1714954200000,2.0237,2.0283,2.0117,2.0255,130295.0,1714954499999
39,1714954500000,2.0262,2.0464,2.0246,2.043,234795.0,1714954799999
40,1714954800000,2.0425,2.0598,2.0416,2.0501,222502.0,1714955099999
41,1714955100000,2.0501,2.0501,2.0368,2.0403,124454.0,1714955399999
42,1714955400000,2.0406,2.0544,2.0401,2.05,184498.0,1714955699999
43,1714955700000,2.0496,2.0595,2.0457,2.059,89298.0,1714955999999
44,1714956000000,2.0588,2.0797,2.0528,2.0792,286283.0,1714956299999
45,1714956300000,2.0785,2.081,2.055,2.0644,211749.0,1714956599999
