,open_time,open,high,low,close,VOLUME,close_time
0,1714948320000,0.8043,0.8044,0.8034,0.804,4007.0,1714948379999
1,1714948380000,0.8041,0.8041,0.8032,0.8032,1004.0,1714948439999
2,1714948440000,0.8036,0.8041,0.8036,0.8037,1511.0,1714948499999
3,1714948500000,0.8037,0.8037,0.8037,0.8037,0.0,1714948559999
4,1714948560000,0.8037,0.8037,0.8037,0.8037,0.0,1714948619999
5,1714948620000,0.8035,0.8035,0.8028,0.8028,909.0,1714948679999
6,1714948680000,0.8028,0.8028,0.8028,0.8028,0.0,1714948739999
7,1714948740000,0.8026,0.8034,0.8024,0.8034,1744.0,1714948799999
8,1714948800000,0.8035,0.8057,0.8035,0.8057,3960.0,1714948859999
9,1714948860000,0.8059,0.8067,0.8059,0.806,6791.0,1714948919999
10,1714948920000,0.8065,0.8075,0.8062,0.8067,7959.0,1714948979999
11,1714948980000,0.8065,0.8065,0.8048,0.8056,9695.0,1714949039999
12,1714949040000,0.8055,0.8058,0.8054,0.8054,1655.0,1714949099999
13,1714949100000,0.8052,0.8053,0.8049,0.8053,1879.0,1714949159999
14,1714949160000,0.8051,0.8053,0.8046,0.8048,1365.0,1714949219999
15,1714949220000,0.8048,0.8048,0.8045,0.8045,148.0,1714949279999
16,1714949280000,0.8045,0.8062,0.8045,0.8057,1464.0,1714949339999
17,1714949340000,0.8054,0.806,0.8054,0.8055,2647.0,1714949399999
18,1714949400000,0.8055,0.8065,0.8053,0.8065,1050.0,1714949459999
19,1714949460000,0.8066,0.8066,0.8052,0.8052,1511.0,1714949519999
20,1714949520000,0.8061,0.8063,0.8056,0.806,3573.0,1714949579999
21,1714949580000,0.8063,0.8065,0.8062,0.8065,103.0,1714949639999
22,1714949640000,0.8067,0.808,0.8067,0.8079,4185.0,1714949699999
23,1714949700000,0.808,0.808,0.8074,0.8074,668.0,1714949759999
24,1714949760000,0.808,0.8088,0.808,0.8088,1508.0,1714949819999
25,1714949820000,0.8087,0.8087,0.8087,0.8087,37.0,1714949879999
26,1714949880000,0.8087,0.8093,0.8086,0.8087,1826.0,1714949939999
27,1714949940000,0.8086,0.8086,0.8073,0.8085,4357.0,1714949999999
28,1714950000000,0.808,0.8083,0.807,0.8083,6811.0,1714950059999
29,1714950060000,0.8084,0.8093,0.808,0.808,4830.0,1714950119999
30,1714950120000,0.8084,0.8089,0.8084,0.8085,1468.0,1714950179999
31,1714950180000,0.8079,0.8083,0.8076,0.8081,6804.0,1714950239999
32,1714950240000,0.8081,0.8081,0.8075,0.8078,1660.0,1714950299999
33,1714950300000,0.8076,0.8082,0.8075,0.8079,7144.0,1714950359999
34,1714950360000,0.8082,0.8087,0.8082,0.8087,1449.0,1714950419999
35,1714950420000,0.8088,0.8088,0.808,0.808,1457.0,1714950479999
36,1714950480000,0.8088,0.8095,0.8088,0.8095,2053.0,1714950539999
37,1714950540000,0.8096,0.8097,0.8096,0.8097,122.0,1714950599999
38,1714950600000,0.8096,0.8108,0.8096,0.8099,3759.0,1714950659999
39,1714950660000,0.8101,0.8105,0.8101,0.8104,1360.0,1714950719999
40,1714950720000,0.8106,0.8106,0.8095,0.8095,2410.0,1714950779999
