,open_time,open,high,low,close,VOLUME,close_time
0,1714948500000,0.803,0.804,0.802,0.803,350943.0,1714948799999
1,1714948800000,0.803,0.808,0.803,0.805,1155567.0,1714949099999
2,1714949100000,0.805,0.807,0.804,0.805,531200.0,1714949399999
3,1714949400000,0.806,0.809,0.805,0.809,713254.0,1714949699999
4,1714949700000,0.808,0.809,0.807,0.808,403711.0,1714949999999
5,1714950000000,0.808,0.81,0.807,0.807,1503607.0,1714950299999
6,1714950300000,0.807,0.81,0.807,0.81,855050.0,1714950599999
7,1714950600000,0.809,0.811,0.809,0.81,446168.0,1714950899999
8,1714950900000,0.809,0.81,0.808,0.809,314135.0,1714951199999
9,1714951200000,0.81,0.813,0.809,0.812,710804.0,1714951499999
10,1714951500000,0.813,0.815,0.812,0.814,1397530.0,1714951799999
11,1714951800000,0.813,0.814,0.81,0.814,960571.0,1714952099999
12,1714952100000,0.813,0.814,0.812,0.812,490381.0,1714952399999
13,1714952400000,0.812,0.813,0.811,0.812,424470.0,1714952699999
14,1714952700000,0.811,0.812,0.809,0.809,397358.0,1714952999999
15,1714953000000,0.809,0.813,0.809,0.811,634532.0,1714953299999
16,1714953300000,0.811,0.814,0.811,0.813,596131.0,1714953599999
17,1714953600000,0.812,0.813,0.81,0.812,809029.0,1714953899999
18,1714953900000,0.811,0.816,0.811,0.816,1011225.0,1714954199999
19,1714954200000,0.816,0.817,0.813,0.815,841552.0,1714954499999
20,1714954500000,0.815,0.819,0.814,0.819,944886.0,1714954799999
21,1714954800000,0.819,0.821,0.818,0.82,1028192.0,1714955099999
22,1714955100000,0.82,0.821,0.817,0.821,1399235.0,1714955399999
23,1714955400000,0.82,0.826,0.82,0.825,1370651.0,1714955699999
24,1714955700000,0.825,0.828,0.825,0.826,1468186.0,1714955999999
25,1714956000000,0.826,0.828,0.824,0.825,894956.0,1714956299999
26,1714956300000,0.826,0.826,0.822,0.825,1329806.0,1714956599999
27,1714956600000,0.825,0.832,0.824,0.832,2168619.0,1714956899999
28,1714956900000,0.831,0.832,0.828,0.829,1107826.0,1714957199999
29,1714957200000,0.829,0.835,0.829,0.833,1438617.0,1714957499999
30,1714957500000,0.832,0.835,0.832,0.833,753171.0,1714957799999
31,1714957800000,0.834,0.835,0.828,0.83,1157026.0,1714958099999
32,1714958100000,0.83,0.835,0.83,0.834,1579255.0,1714958399999
33,1714958400000,0.834,0.836,0.831,0.833,1381662.0,1714958699999
34,1714958700000,0.833,0.833,0.83,0.831,1074377.0,1714958999999
35,1714959000000,0.831,0.831,0.824,0.825,1214895.0,1714959299999
36,1714959300000,0.826,0.826,0.822,0.824,2277037.0,1714959599999
37,1714959600000,0.824,0.826,0.823,0.825,1193552.0,1714959899999
38,1714959900000,0.824,0.825,0.821,0.824,859769.0,1714960199999
39,1714960200000,0.824,0.83,0.821,0.828,1672374.0,1714960499999
40,1714960500000,0.827,0.828,0.825,0.826,967249.0,1714960799999
41,1714960800000,0.826,0.829,0.825,0.828,1724759.0,1714961099999
42,1714961100000,0.827,0.832,0.827,0.83,1122494.0,1714961399999
43,1714961400000,0.83,0.831,0.827,0.831,1463778.0,1714961699999
44,1714961700000,0.831,0.854,0.83,0.854,12206029.0,1714961999999
45,1714962000000,0.854,0.859,0.852,0.857,6189171.0,1714962299999
46,1714962300000,0.858,0.858,0.847,0.85,4105658.0,1714962599999
47,1714962600000,0.851,0.851,0.844,0.847,1762628.0,1714962899999
48,1714962900000,0.847,0.847,0.842,0.843,2093193.0,1714963199999
49,1714963200000,0.843,0.848,0.842,0.846,1890354.0,1714963499999
50,1714963500000,0.845,0.846,0.842,0.844,1255635.0,1714963799999
51,1714963800000,0.844,0.844,0.838,0.839,1467207.0,1714964099999
52,1714964100000,0.84,0.842,0.836,0.839,2582411.0,1714964399999
53,1714964400000,0.839,0.851,0.839,0.85,2528519.0,1714964699999
54,1714964700000,0.85,0.853,0.847,0.85,2196697.0,1714964999999
55,1714965000000,0.85,0.85,0.843,0.846,2436513.0,1714965299999
56,1714965300000,0.846,0.86,0.845,0.858,3189807.0,1714965599999
57,1714965600000,0.859,0.859,0.852,0.854,2840127.0,1714965899999
58,1714965900000,0.853,0.854,0.85,0.854,1472019.0,1714966199999
59,1714966200000,0.854,0.862,0.853,0.86,2922907.0,1714966499999
60,1714966500000,0.86,0.867,0.858,0.867,4042339.0,1714966799999
61,1714966800000,0.867,0.87,0.863,0.869,3637170.0,1714967099999
62,1714967100000,0.869,0.87,0.863,0.865,2853715.0,1714967399999
63,1714967400000,0.865,0.873,0.864,0.869,3209363.0,1714967699999
64,1714967700000,0.868,0.872,0.864,0.867,3116923.0,1714967999999
65,1714968000000,0.867,0.878,0.866,0.875,4019421.0,1714968299999
66,1714968300000,0.875,0.875,0.864,0.866,3047113.0,1714968599999
67,1714968600000,0.865,0.87,0.863,0.87,2553702.0,1714968899999
68,1714968900000,0.87,0.884,0.869,0.881,6598890.0,1714969199999
69,1714969200000,0.88,0.888,0.876,0.887,5665551.0,1714969499999
70,1714969500000,0.888,0.888,0.881,0.883,4014015.0,1714969799999
71,1714969800000,0.884,0.888,0.881,0.883,3321209.0,1714970099999
72,1714970100000,0.882,0.887,0.881,0.884,2650819.0,1714970399999
73,1714970400000,0.885,0.885,0.878,0.882,2070283.0,1714970699999
74,1714970700000,0.881,0.884,0.876,0.879,3162951.0,1714970999999
75,1714971000000,0.879,0.883,0.877,0.88,2205379.0,1714971299999
76,1714971300000,0.879,0.88,0.876,0.878,2179261.0,1714971599999
77,1714971600000,0.879,0.884,0.878,0.883,2286898.0,1714971899999
78,1714971900000,0.883,0.891,0.881,0.889,5442625.0,1714972199999
79,1714972200000,0.89,0.891,0.885,0.889,2558516.0,1714972499999
80,1714972500000,0.888,0.893,0.882,0.885,6640630.0,1714972799999
81,1714972800000,0.885,0.898,0.883,0.897,3493533.0,1714973099999
82,1714973100000,0.898,0.907,0.895,0.903,8288450.0,1714973399999
83,1714973400000,0.903,0.907,0.9,0.902,3205158.0,1714973699999
84,1714973700000,0.901,0.902,0.897,0.902,3341451.0,1714973999999
85,1714974000000,0.902,0.902,0.893,0.896,4200949.0,1714974299999
86,1714974300000,0.897,0.903,0.895,0.9,3280765.0,1714974599999
87,1714974600000,0.9,0.904,0.898,0.903,2227406.0,1714974899999
88,1714974900000,0.903,0.904,0.898,0.901,1940997.0,1714975199999
89,1714975200000,0.901,0.907,0.899,0.901,3187894.0,1714975499999
90,1714975500000,0.902,0.914,0.902,0.908,6348771.0,1714975799999
91,1714975800000,0.908,0.911,0.905,0.907,3940688.0,1714976099999
92,1714976100000,0.907,0.907,0.897,0.897,6924350.0,1714976399999
93,1714976400000,0.897,0.899,0.891,0.894,4704531.0,1714976699999
94,1714976700000,0.894,0.896,0.89,0.893,3150853.0,1714976999999
95,1714977000000,0.893,0.894,0.888,0.89,4122710.0,1714977299999
96,1714977300000,0.89,0.893,0.889,0.891,1607000.0,1714977599999
97,1714977600000,0.891,0.896,0.891,0.896,2295383.0,1714977899999
98,1714977900000,0.896,0.901,0.893,0.897,3168123.0,1714978199999
99,1714978200000,0.896,0.902,0.895,0.899,1862273.0,1714978499999
100,1714978500000,0.899,0.903,0.898,0.902,1706348.0,1714978799999
101,1714978800000,0.901,0.901,0.898,0.899,1755729.0,1714979099999
102,1714979100000,0.899,0.904,0.898,0.901,1584456.0,1714979399999
103,1714979400000,0.9,0.903,0.899,0.901,1554750.0,1714979699999
104,1714979700000,0.902,0.903,0.898,0.903,2056918.0,1714979999999
105,1714980000000,0.904,0.907,0.902,0.903,1906261.0,1714980299999
106,1714980300000,0.903,0.903,0.9,0.903,977530.0,1714980599999
107,1714980600000,0.902,0.907,0.901,0.905,2356073.0,1714980899999
108,1714980900000,0.905,0.909,0.901,0.902,4163436.0,1714981199999
109,1714981200000,0.901,0.904,0.899,0.899,1714629.0,1714981499999
110,1714981500000,0.9,0.908,0.899,0.908,3790840.0,1714981799999
111,1714981800000,0.907,0.915,0.906,0.91,5012949.0,1714982099999
112,1714982100000,0.91,0.913,0.909,0.911,2072712.0,1714982399999
113,1714982400000,0.911,0.917,0.909,0.91,3930892.0,1714982699999
114,1714982700000,0.91,0.915,0.91,0.914,2351766.0,1714982999999
115,1714983000000,0.914,0.918,0.912,0.916,2195132.0,1714983299999
116,1714983300000,0.915,0.927,0.914,0.925,8354220.0,1714983599999
117,1714983600000,0.925,0.935,0.924,0.933,7522295.0,1714983899999
118,1714983900000,0.933,0.934,0.925,0.927,5913235.0,1714984199999
119,1714984200000,0.927,0.931,0.924,0.926,4434789.0,1714984499999
120,1714984500000,0.925,0.929,0.921,0.922,4278884.0,1714984799999
121,1714984800000,0.922,0.926,0.919,0.921,2970177.0,1714985099999
122,1714985100000,0.92,0.922,0.909,0.91,8245125.0,1714985399999
123,1714985400000,0.91,0.91,0.902,0.907,5509499.0,1714985699999
124,1714985700000,0.908,0.91,0.905,0.909,3336942.0,1714985999999
