
TRBUSDT,13,long,92.4,91.03,15.96,114.0
ENAUSDC,15,short,0.82,0.836,18.19,129.96
WLDUSDT,22,long,5.9,5.807,-17.47,109.17
RLCUSDT,27,long,2.87,2.823,17.42,124.45
PHBUSDT,40,short,2.1,2.135,-16.73,104.54
TRBUSDT,46,long,92.52,91.145,-14.05,87.81
RLCUSDT,73,short,2.92,2.962,-11.8,73.76
WLDUSDC,75,long,6.13,6.039,-9.91,61.96
PHBUSDT,78,long,2.25,2.216,-8.33,52.05
TRBUSDT,82,short,90.14,91.507,8.31,59.34
WLDUSDC,99,short,6.24,6.331,-7.98,49.85
TRBUSDT,103,short,90.68,92.055,-6.7,41.87
RLCUSDT,105,long,3.14,3.097,-5.63,35.17
