,open_time,open,high,low,close,VOLUME,close_time
0,1714928460000,1.7404,1.7404,1.7248,1.73,106949.0,1714928519999
1,1714928520000,1.7299,1.7391,1.7279,1.7342,95025.0,1714928579999
2,1714928580000,1.7342,1.7362,1.727,1.7294,73668.0,1714928639999
3,1714928640000,1.7296,1.7354,1.7296,1.7352,56297.0,1714928699999
4,1714928700000,1.7353,1.7399,1.7327,1.733,78207.0,1714928759999
5,1714928760000,1.7333,1.7371,1.7299,1.737,68071.0,1714928819999
6,1714928820000,1.7372,1.7396,1.7307,1.7371,137345.0,1714928879999
7,1714928880000,1.7372,1.7445,1.7366,1.743,96917.0,1714928939999
8,1714928940000,1.743,1.743,1.7376,1.7387,48193.0,1714928999999
9,1714929000000,1.7392,1.7451,1.7369,1.7422,70588.0,1714929059999
10,1714929060000,1.7421,1.7461,1.7392,1.745,53333.0,1714929119999
11,1714929120000,1.7451,1.7484,1.744,1.7448,75976.0,1714929179999
12,1714929180000,1.745,1.7475,1.7429,1.7472,30814.0,1714929239999
13,1714929240000,1.7475,1.7475,1.7372,1.7379,82546.0,1714929299999
14,1714929300000,1.7379,1.7471,1.7379,1.7411,96151.0,1714929359999
15,1714929360000,1.7413,1.7452,1.741,1.7446,26005.0,1714929419999
16,1714929420000,1.7448,1.7448,1.7375,1.7401,38954.0,1714929479999
17,1714929480000,1.7402,1.7413,1.7338,1.7345,49929.0,1714929539999
18,1714929540000,1.7345,1.737,1.7314,1.7349,40064.0,1714929599999
19,1714929600000,1.735,1.7406,1.7337,1.7337,52601.0,1714929659999
20,1714929660000,1.7337,1.7359,1.7326,1.7359,22408.0,1714929719999
21,1714929720000,1.7359,1.7387,1.7347,1.7348,26409.0,1714929779999
22,1714929780000,1.7347,1.7388,1.7346,1.7373,26694.0,1714929839999
23,1714929840000,1.7374,1.7374,1.7332,1.7344,36674.0,1714929899999
24,1714929900000,1.7344,1.7361,1.733,1.7338,33111.0,1714929959999
25,1714929960000,1.7338,1.7346,1.7306,1.7327,47492.0,1714930019999
26,1714930020000,1.7326,1.7332,1.7295,1.7323,53782.0,1714930079999
27,1714930080000,1.7324,1.7357,1.7324,1.733,27693.0,1714930139999
28,1714930140000,1.7327,1.7332,1.73,1.7318,16333.0,1714930199999
29,1714930200000,1.7322,1.7336,1.7272,1.7326,74921.0,1714930259999
30,1714930260000,1.7327,1.7345,1.7291,1.7296,34676.0,1714930319999
31,1714930320000,1.7297,1.7302,1.7258,1.7277,35234.0,1714930379999
32,1714930380000,1.7277,1.7277,1.7222,1.7231,46144.0,1714930439999
33,1714930440000,1.7225,1.7242,1.7197,1.7224,118083.0,1714930499999
