,open_time,open,high,low,close,VOLUME,close_time
0,1714929300000,1.7379,1.7471,1.7295,1.7318,594300.0,1714930199999
1,1714930200000,1.7322,1.7345,1.7162,1.7225,691975.0,1714931099999
2,1714931100000,1.7225,1.7254,1.7105,1.7155,627254.0,1714931999999
3,1714932000000,1.7156,1.7201,1.702,1.716,785865.0,1714932899999
4,1714932900000,1.7158,1.7194,1.7044,1.7071,450109.0,1714933799999
5,1714933800000,1.707,1.7183,1.7066,1.7099,381971.0,1714934699999
6,1714934700000,1.71,1.7122,1.7047,1.7087,282072.0,1714935599999
7,1714935600000,1.7087,1.7155,1.7021,1.7044,466936.0,1714936499999
8,1714936500000,1.7041,1.7122,1.7004,1.7028,342840.0,1714937399999
9,1714937400000,1.7024,1.7031,1.6924,1.6961,532548.0,1714938299999
10,1714938300000,1.6962,1.6962,1.685,1.686,316321.0,1714939199999
11,1714939200000,1.6862,1.6973,1.6817,1.6889,548054.0,1714940099999
12,1714940100000,1.6888,1.6888,1.6803,1.6846,402699.0,1714940999999
13,1714941000000,1.6846,1.6872,1.6768,1.6819,523431.0,1714941899999
14,1714941900000,1.6817,1.6883,1.6797,1.682,282690.0,1714942799999
15,1714942800000,1.6819,1.6918,1.6779,1.6873,472759.0,1714943699999
16,1714943700000,1.6871,1.7253,1.6829,1.7104,1599534.0,1714944599999
17,1714944600000,1.7106,1.716,1.7013,1.702,371622.0,1714945499999
18,1714945500000,1.7019,1.7259,1.6928,1.7151,1018945.0,1714946399999
19,1714946400000,1.7155,1.7331,1.7055,1.7201,1189844.0,1714947299999
20,1714947300000,1.72,1.7213,1.7129,1.715,303230.0,1714948199999
21,1714948200000,1.715,1.718,1.6991,1.7019,407958.0,1714949099999
22,1714949100000,1.7017,1.7225,1.7016,1.7098,843120.0,1714949999999
23,1714950000000,1.7105,1.7396,1.7105,1.7319,840420.0,1714950899999
24,1714950900000,1.732,1.7352,1.7252,1.7272,329734.0,1714951799999
25,1714951800000,1.7272,1.7371,1.7256,1.7367,378317.0,1714952699999
26,1714952700000,1.7369,1.7378,1.7219,1.7243,272838.0,1714953599999
27,1714953600000,1.7244,1.755,1.7244,1.74,1842582.0,1714954499999
28,1714954500000,1.7398,1.7508,1.7188,1.7446,1293486.0,1714955399999
29,1714955400000,1.7447,1.7493,1.7302,1.7403,863993.0,1714956299999
30,1714956300000,1.7404,1.7595,1.7358,1.7564,741706.0,1714957199999
31,1714957200000,1.7565,1.7574,1.7319,1.7429,754480.0,1714958099999
32,1714958100000,1.7429,1.7723,1.7369,1.769,1172486.0,1714958999999
33,1714959000000,1.769,1.7854,1.7583,1.7598,1301126.0,1714959899999
34,1714959900000,1.7598,1.7757,1.7509,1.7729,877064.0,1714960799999
35,1714960800000,1.773,1.785,1.7711,1.7751,1095512.0,1714961699999
36,1714961700000,1.7752,1.82,1.7752,1.8148,1946050.0,1714962599999
37,1714962600000,1.8147,1.8378,1.7943,1.8361,2655281.0,1714963499999
38,1714963500000,1.8361,1.8777,1.8282,1.853,5938403.0,1714964399999
39,1714964400000,1.853,1.8619,1.7601,1.7819,7551034.0,1714965299999
40,1714965300000,1.7819,1.8131,1.7782,1.8057,2050406.0,1714966199999
41,1714966200000,1.8059,1.8177,1.8039,1.8108,1051454.0,1714967099999
42,1714967100000,1.8107,1.8113,1.793,1.8089,937463.0,1714967999999
43,1714968000000,1.8088,1.8149,1.7991,1.805,745714.0,1714968899999
44,1714968900000,1.805,1.8422,1.805,1.8417,1308925.0,1714969799999
45,1714969800000,1.8411,1.8554,1.8312,1.8414,1917569.0,1714970699999
46,1714970700000,1.8408,1.8504,1.8295,1.8474,1455815.0,1714971599999
47,1714971600000,1.847,1.8546,1.8462,1.8529,99702.0,1714972499999
