,open_time,open,high,low,close,VOLUME,close_time
0,1714956300000,2.0785,2.0924,2.055,2.0831,483606.0,1714957199999
1,1714957200000,2.0821,2.0969,2.0633,2.0839,473970.0,1714958099999
2,1714958100000,2.0838,2.1282,2.0809,2.1087,497068.0,1714958999999
3,1714959000000,2.109,2.1106,2.0677,2.0953,467215.0,1714959899999
4,1714959900000,2.0945,2.1056,2.0765,2.0961,357775.0,1714960799999
5,1714960800000,2.0955,2.1321,2.0892,2.1098,632027.0,1714961699999
6,1714961700000,2.1098,2.1103,2.0699,2.084,481620.0,1714962599999
7,1714962600000,2.0838,2.1362,2.0794,2.1145,655031.0,1714963499999
8,1714963500000,2.1143,2.1198,2.0864,2.1036,423753.0,1714964399999
9,1714964400000,2.1033,2.1378,2.1011,2.1022,676529.0,1714965299999
10,1714965300000,2.102,2.13,2.0983,2.1225,395941.0,1714966199999
11,1714966200000,2.1228,2.1544,2.1193,2.127,637751.0,1714967099999
12,1714967100000,2.1277,2.1398,2.1094,2.1391,543814.0,1714967999999
13,1714968000000,2.1397,2.2039,2.1244,2.1967,1629008.0,1714968899999
14,1714968900000,2.1963,2.228,2.1488,2.1787,2359556.0,1714969799999
15,1714969800000,2.1784,2.225,2.1676,2.2134,1188340.0,1714970699999
16,1714970700000,2.2142,2.24,2.193,2.2126,1458013.0,1714971599999
17,1714971600000,2.2126,2.2596,2.21,2.2554,1716448.0,1714972499999
18,1714972500000,2.2558,2.2955,2.2441,2.2901,2521697.0,1714973399999
19,1714973400000,2.2907,2.2968,2.247,2.2802,1593119.0,1714974299999
20,1714974300000,2.2803,2.2868,2.204,2.2475,2464518.0,1714975199999
21,1714975200000,2.2471,2.2645,2.2185,2.2196,1553482.0,1714976099999
22,1714976100000,2.2195,2.2473,2.2129,2.245,879328.0,1714976999999
23,1714977000000,2.2449,2.2457,2.1772,2.1851,1207897.0,1714977899999
24,1714977900000,2.1853,2.2136,2.1823,2.1967,862850.0,1714978799999
25,1714978800000,2.1966,2.2222,2.1821,2.208,660508.0,1714979699999
26,1714979700000,2.2084,2.2117,2.1657,2.1769,852308.0,1714980599999
27,1714980600000,2.1771,2.1999,2.1725,2.1949,463691.0,1714981499999
28,1714981500000,2.194,2.1964,2.179,2.1872,430568.0,1714982399999
29,1714982400000,2.1873,2.1883,2.1403,2.1548,1186136.0,1714983299999
30,1714983300000,2.1548,2.1777,2.1215,2.1432,1217816.0,1714984199999
31,1714984200000,2.1433,2.1465,2.1066,2.1118,1201248.0,1714985099999
32,1714985100000,2.112,2.1149,2.09,2.0992,791871.0,1714985999999
33,1714986000000,2.0993,2.1134,2.0802,2.1131,888975.0,1714986899999
34,1714986900000,2.1136,2.1381,2.0996,2.1054,868692.0,1714987799999
35,1714987800000,2.1055,2.1055,2.0857,2.0933,475719.0,1714988699999
36,1714988700000,2.0923,2.0971,2.0876,2.093,277909.0,1714989599999
37,1714989600000,2.0927,2.1288,2.0868,2.1144,754093.0,1714990499999
38,1714990500000,2.1143,2.1446,2.1128,2.116,712284.0,1714991399999
39,1714991400000,2.1161,2.144,2.1042,2.1421,708077.0,1714992299999
40,1714992300000,2.1418,2.1474,2.1136,2.1155,810100.0,1714993199999
41,1714993200000,2.1157,2.1254,2.1034,2.124,547668.0,1714994099999
42,1714994100000,2.124,2.1246,2.0888,2.102,428630.0,1714994999999
43,1714995000000,2.1021,2.1174,2.1001,2.1099,293918.0,1714995899999
44,1714995900000,2.1102,2.1353,2.0933,2.1351,572279.0,1714996799999
45,1714996800000,2.1344,2.1536,2.126,2.1485,643116.0,1714997699999
46,1714997700000,2.148,2.1544,2.1233,2.1316,611833.0,1714998599999
47,1714998600000,2.132,2.1376,2.1111,2.1231,512897.0,1714999499999
