,open_time,open,high,low,close,VOLUME,close_time
0,1714939200000,0.02001,0.02086,0.02,0.02042,120373116.0,1714940999999
1,1714941000000,0.02043,0.02135,0.0204,0.02066,122065513.0,1714942799999
2,1714942800000,0.02067,0.022,0.02057,0.02168,176341568.0,1714944599999
3,1714944600000,0.02168,0.02278,0.02151,0.02207,243648432.0,1714946399999
4,1714946400000,0.02206,0.02241,0.0216,0.0223,174232675.0,1714948199999
5,1714948200000,0.0223,0.0231,0.02198,0.02256,228153692.0,1714949999999
6,1714950000000,0.02256,0.02309,0.0223,0.02246,194168420.0,1714951799999
7,1714951800000,0.02245,0.0226,0.02193,0.02218,132631706.0,1714953599999
8,1714953600000,0.02219,0.02284,0.02182,0.02281,142358659.0,1714955399999
9,1714955400000,0.0228,0.02539,0.02264,0.02535,435408863.0,1714957199999
10,1714957200000,0.02533,0.02572,0.02489,0.02493,400698622.0,1714958999999
11,1714959000000,0.02492,0.02694,0.02479,0.02641,528839245.0,1714960799999
12,1714960800000,0.02641,0.02665,0.02563,0.02585,396226619.0,1714962599999
13,1714962600000,0.02584,0.02598,0.02481,0.02496,336976495.0,1714964399999
14,1714964400000,0.02495,0.02515,0.02419,0.02434,333873419.0,1714966199999
15,1714966200000,0.02433,0.02458,0.02401,0.02421,223951343.0,1714967999999
16,1714968000000,0.02421,0.02421,0.02324,0.02333,290315541.0,1714969799999
17,1714969800000,0.02331,0.02356,0.023,0.02343,235021921.0,1714971599999
18,1714971600000,0.02342,0.02354,0.02282,0.02322,225636197.0,1714973399999
19,1714973400000,0.02322,0.02351,0.02305,0.02343,139738098.0,1714975199999
20,1714975200000,0.02342,0.02388,0.02322,0.0236,190174984.0,1714976999999
21,1714977000000,0.02359,0.02359,0.02263,0.02282,178545683.0,1714978799999
22,1714978800000,0.02282,0.02331,0.02271,0.02317,120709847.0,1714980599999
23,1714980600000,0.02317,0.02339,0.02309,0.02318,40699152.0,1714982399999
