,open_time,open,high,low,close,VOLUME,close_time
0,1714939200000,5.69211,5.6974,5.6443,5.6707,39093.3,1714940999999
1,1714941000000,5.6697,5.7384,5.65348,5.70337,88716.1,1714942799999
2,1714942800000,5.70061,5.703,5.65661,5.68629,75376.3,1714944599999
3,1714944600000,5.68773,5.68989,5.65841,5.67418,39585.3,1714946399999
4,1714946400000,5.67262,5.67262,5.62284,5.64445,48619.5,1714948199999
5,1714948200000,5.64475,5.66395,5.6143,5.65519,51968.7,1714949999999
6,1714950000000,5.65434,5.76524,5.64835,5.74534,75042.0,1714951799999
7,1714951800000,5.74323,5.75406,5.70712,5.74484,51602.0,1714953599999
8,1714953600000,5.74487,5.79876,5.71882,5.7729,85078.0,1714955399999
9,1714955400000,5.77369,5.87744,5.76792,5.82948,132832.8,1714957199999
10,1714957200000,5.82872,5.9789,5.81282,5.89597,155543.2,1714958999999
11,1714959000000,5.89592,5.8994,5.7833,5.78616,151329.6,1714960799999
12,1714960800000,5.78604,5.80179,5.71742,5.75334,111136.8,1714962599999
13,1714962600000,5.75418,5.79671,5.7342,5.75444,84231.2,1714964399999
14,1714964400000,5.75308,5.86047,5.74892,5.8425,115432.3,1714966199999
15,1714966200000,5.84358,5.885,5.83078,5.85434,73800.9,1714967999999
16,1714968000000,5.8549,5.87839,5.8028,5.86137,105771.8,1714969799999
17,1714969800000,5.86052,5.89223,5.81283,5.86574,115130.5,1714971599999
18,1714971600000,5.86487,5.9687,5.8453,5.93792,154455.3,1714973399999
19,1714973400000,5.93796,5.99115,5.92031,5.95411,150255.1,1714975199999
20,1714975200000,5.95294,6.09052,5.93474,5.99879,224754.2,1714976999999
21,1714977000000,5.99992,6.04935,5.9473,6.0277,171076.4,1714978799999
22,1714978800000,6.02946,6.1599,6.02515,6.15048,209541.3,1714980599999
23,1714980600000,6.15254,6.27757,6.11908,6.22698,154743.6,1714982399999
