,open_time,open,high,low,close,VOLUME,close_time
0,1714946400000,0.808,0.809,0.802,0.805,4616992.0,1714948199999
1,1714948200000,0.805,0.809,0.802,0.808,3839651.0,1714949999999
2,1714950000000,0.808,0.815,0.807,0.814,5227294.0,1714951799999
3,1714951800000,0.813,0.814,0.809,0.813,3503443.0,1714953599999
4,1714953600000,0.812,0.821,0.81,0.821,6034119.0,1714955399999
5,1714955400000,0.82,0.832,0.82,0.829,8340044.0,1714957199999
6,1714957200000,0.829,0.836,0.828,0.831,7384108.0,1714958999999
7,1714959000000,0.831,0.831,0.821,0.826,8184876.0,1714960799999
8,1714960800000,0.826,0.859,0.825,0.85,26811889.0,1714962599999
9,1714962600000,0.851,0.851,0.836,0.839,11051428.0,1714964399999
10,1714964400000,0.839,0.86,0.839,0.854,14663682.0,1714966199999
11,1714966200000,0.854,0.873,0.853,0.867,19782417.0,1714967999999
12,1714968000000,0.867,0.888,0.863,0.883,25898692.0,1714969799999
13,1714969800000,0.884,0.888,0.876,0.878,15589902.0,1714971599999
14,1714971600000,0.879,0.907,0.878,0.903,28710652.0,1714973399999
15,1714973400000,0.903,0.907,0.893,0.901,18196726.0,1714975199999
16,1714975200000,0.901,0.914,0.89,0.893,28257087.0,1714976999999
17,1714977000000,0.893,0.903,0.888,0.902,14761837.0,1714978799999
18,1714978800000,0.901,0.907,0.898,0.903,9835644.0,1714980599999
19,1714980600000,0.902,0.915,0.899,0.911,19110639.0,1714982399999
20,1714982400000,0.911,0.935,0.909,0.927,30267540.0,1714984199999
21,1714984200000,0.927,0.931,0.902,0.909,28775416.0,1714985999999
22,1714986000000,0.909,0.918,0.906,0.916,15724966.0,1714987799999
23,1714987800000,0.916,0.927,0.91,0.919,10663080.0,1714989599999
