,open_time,open,high,low,close,VOLUME,close_time
0,1714953600000,0.8121,0.8206,0.8107,0.8199,103141.0,1714955399999
1,1714955400000,0.8199,0.8316,0.8199,0.8295,114457.0,1714957199999
2,1714957200000,0.8294,0.8356,0.8284,0.8306,118299.0,1714958999999
3,1714959000000,0.8303,0.8303,0.8214,0.8265,214778.0,1714960799999
4,1714960800000,0.8262,0.8577,0.8259,0.8499,627492.0,1714962599999
5,1714962600000,0.8499,0.8507,0.8365,0.8404,324669.0,1714964399999
6,1714964400000,0.8399,0.859,0.8399,0.8536,388456.0,1714966199999
7,1714966200000,0.8534,0.8724,0.8534,0.866,677601.0,1714967999999
8,1714968000000,0.8662,0.8882,0.864,0.8837,609442.0,1714969799999
9,1714969800000,0.8836,0.8868,0.8771,0.8789,303469.0,1714971599999
10,1714971600000,0.8791,0.9067,0.8791,0.903,596094.0,1714973399999
11,1714973400000,0.9024,0.9064,0.8937,0.9004,444881.0,1714975199999
12,1714975200000,0.9008,0.9135,0.89,0.8929,656063.0,1714976999999
13,1714977000000,0.8929,0.9023,0.8882,0.9016,296675.0,1714978799999
14,1714978800000,0.9017,0.906,0.8963,0.903,261576.0,1714980599999
15,1714980600000,0.9028,0.915,0.8989,0.9104,349109.0,1714982399999
16,1714982400000,0.91,0.9337,0.9096,0.9268,377215.0,1714984199999
17,1714984200000,0.9266,0.93,0.9031,0.9086,521825.0,1714985999999
18,1714986000000,0.9081,0.917,0.9063,0.9156,341540.0,1714987799999
19,1714987800000,0.9157,0.9257,0.9105,0.9215,374003.0,1714989599999
20,1714989600000,0.9215,0.9278,0.917,0.9246,267532.0,1714991399999
21,1714991400000,0.9242,0.9244,0.8875,0.8973,804333.0,1714993199999
22,1714993200000,0.8973,0.9165,0.8973,0.914,480271.0,1714994999999
23,1714995000000,0.9136,0.9233,0.9091,0.9149,331507.0,1714996799999
