,open_time,open,high,low,close,VOLUME,close_time
0,1714933080000,1.1264,1.1314,1.1228,1.1243,578179.0,1714933139999
1,1714933140000,1.1243,1.1262,1.1205,1.1238,319621.0,1714933199999
2,1714933200000,1.1239,1.1291,1.1238,1.1251,327911.0,1714933259999
3,1714933260000,1.1252,1.1284,1.1244,1.1244,327429.0,1714933319999
4,1714933320000,1.1247,1.1286,1.1244,1.1272,231732.0,1714933379999
5,1714933380000,1.1274,1.129,1.1255,1.1286,252003.0,1714933439999
6,1714933440000,1.1285,1.1291,1.1261,1.1274,284574.0,1714933499999
7,1714933500000,1.1273,1.1323,1.1266,1.1308,660302.0,1714933559999
8,1714933560000,1.1308,1.1323,1.1235,1.1281,585779.0,1714933619999
9,1714933620000,1.1281,1.1284,1.1224,1.1273,396062.0,1714933679999
10,1714933680000,1.1271,1.132,1.119,1.119,697220.0,1714933739999
11,1714933740000,1.119,1.1192,1.1041,1.1132,1736749.0,1714933799999
12,1714933800000,1.1126,1.1245,1.1119,1.1162,918337.0,1714933859999
13,1714933860000,1.1161,1.1191,1.1133,1.1142,631190.0,1714933919999
14,1714933920000,1.1143,1.1194,1.1136,1.1155,361575.0,1714933979999
15,1714933980000,1.1153,1.1194,1.1148,1.1172,403198.0,1714934039999
16,1714934040000,1.1173,1.1195,1.1157,1.118,254733.0,1714934099999
17,1714934100000,1.118,1.1279,1.1168,1.1255,823028.0,1714934159999
18,1714934160000,1.1255,1.1459,1.1231,1.1359,1896852.0,1714934219999
19,1714934220000,1.1361,1.1415,1.1328,1.1378,928255.0,1714934279999
20,1714934280000,1.1378,1.148,1.1318,1.1448,1581208.0,1714934339999
21,1714934340000,1.1448,1.1449,1.1388,1.1421,754586.0,1714934399999
22,1714934400000,1.1422,1.1428,1.1363,1.1387,644475.0,1714934459999
23,1714934460000,1.1388,1.145,1.1369,1.143,695840.0,1714934519999
24,1714934520000,1.143,1.1448,1.1395,1.1421,505521.0,1714934579999
25,1714934580000,1.1422,1.1472,1.1421,1.1466,530382.0,1714934639999
26,1714934640000,1.1463,1.1548,1.1436,1.1501,1757343.0,1714934699999
27,1714934700000,1.1501,1.154,1.1494,1.1521,763245.0,1714934759999
28,1714934760000,1.1521,1.1521,1.1408,1.143,879722.0,1714934819999
29,1714934820000,1.1428,1.1535,1.1419,1.151,651635.0,1714934879999
30,1714934880000,1.1507,1.1511,1.142,1.1468,395532.0,1714934939999
31,1714934940000,1.147,1.1486,1.1413,1.1416,402502.0,1714934999999
32,1714935000000,1.1418,1.1448,1.138,1.1385,751442.0,1714935059999
33,1714935060000,1.1382,1.1448,1.1371,1.1401,533363.0,1714935119999
34,1714935120000,1.1399,1.1421,1.132,1.1347,710155.0,1714935179999
35,1714935180000,1.1347,1.1378,1.1343,1.1352,484380.0,1714935239999
36,1714935240000,1.1354,1.1463,1.1351,1.1409,548919.0,1714935299999
37,1714935300000,1.1408,1.1426,1.1357,1.1362,464833.0,1714935359999
38,1714935360000,1.136,1.1395,1.1356,1.1375,283252.0,1714935419999
39,1714935420000,1.1375,1.1431,1.1375,1.1394,208675.0,1714935479999
40,1714935480000,1.1392,1.142,1.1382,1.1418,316663.0,1714935539999
41,1714935540000,1.1418,1.1461,1.1418,1.1432,382741.0,1714935599999
42,1714935600000,1.1431,1.1461,1.1417,1.146,492707.0,1714935659999
43,1714935660000,1.1461,1.15,1.14,1.1431,970555.0,1714935719999
44,1714935720000,1.1433,1.1489,1.1424,1.1475,384680.0,1714935779999
45,1714935780000,1.1474,1.1499,1.1447,1.1466,341133.0,1714935839999
46,1714935840000,1.1464,1.1519,1.1464,1.1497,505655.0,1714935899999
47,1714935900000,1.1499,1.1553,1.1487,1.1548,754742.0,1714935959999
48,1714935960000,1.1548,1.175,1.1546,1.167,3212803.0,1714936019999
49,1714936020000,1.167,1.1732,1.165,1.1705,1266435.0,1714936079999
50,1714936080000,1.1705,1.1705,1.1616,1.1656,851775.0,1714936139999
51,1714936140000,1.1657,1.1679,1.1616,1.1643,516750.0,1714936199999
52,1714936200000,1.1639,1.1683,1.1627,1.1668,486543.0,1714936259999
