
PHBUSDT,12,long,2.04,2.005,-14.76,82.0
TRBUSDT,14,short,89.91,91.268,-12.1,67.24
TRBUSDT,19,long,91.9,90.535,-9.93,55.14
NFPUSDT,23,long,0.5,0.496,7.41,61.76
AIUSDT,37,long,1.17,1.149,8.3,69.17
FRONTUSDT,43,long,1.16,1.144,9.3,77.47
PHBUSDT,45,long,2.02,1.994,-11.44,63.53
WLDUSDC,51,long,5.68,5.598,8.54,71.15
PHBUSDT,59,long,2.02,1.992,9.56,79.69
FRONTUSDT,64,short,1.14,1.159,-11.76,65.35
WLDUSDT,69,long,5.81,5.724,8.78,73.19
AIUSDT,79,short,1.18,1.194,-10.8,60.02
TRBUSDT,81,long,92.31,90.938,8.07,67.22
WLDUSDT,90,long,5.89,5.802,-9.92,55.12
WLDUSDT,96,long,5.8,5.711,7.41,61.73
TRBUSDT,106,long,92.4,91.025,-9.11,50.62
ARKMUSDT,139,long,2.68,2.64,-7.47,41.51
