,open_time,open,high,low,close,VOLUME,close_time
0,1714942800000,2.7837,2.7848,2.7772,2.7801,14738.4,1714943099999
1,1714943100000,2.7798,2.7909,2.778,2.7903,11516.6,1714943399999
2,1714943400000,2.7903,2.7954,2.7825,2.7848,29378.3,1714943699999
3,1714943700000,2.7848,2.7858,2.778,2.7802,6018.3,1714943999999
4,1714944000000,2.7795,2.7831,2.7713,2.7791,8481.6,1714944299999
5,1714944300000,2.779,2.7857,2.779,2.7814,5294.3,1714944599999
6,1714944600000,2.7814,2.7815,2.7715,2.7755,6874.0,1714944899999
7,1714944900000,2.7745,2.7818,2.774,2.7817,4479.2,1714945199999
8,1714945200000,2.7825,2.7825,2.7747,2.7753,2659.0,1714945499999
9,1714945500000,2.7756,2.7756,2.7695,2.7713,9060.2,1714945799999
10,1714945800000,2.7713,2.7736,2.7657,2.7721,10974.2,1714946099999
11,1714946100000,2.7719,2.7798,2.7697,2.7794,4092.5,1714946399999
12,1714946400000,2.7777,2.7786,2.7667,2.7739,8228.8,1714946699999
13,1714946700000,2.774,2.7808,2.7703,2.7785,14807.5,1714946999999
14,1714947000000,2.7786,2.7819,2.7744,2.7766,12101.0,1714947299999
15,1714947300000,2.7766,2.7793,2.7702,2.778,3222.7,1714947599999
16,1714947600000,2.7782,2.7871,2.7774,2.7855,7771.9,1714947899999
17,1714947900000,2.7848,2.785,2.7788,2.7795,9283.3,1714948199999
18,1714948200000,2.7795,2.7863,2.7788,2.7817,6673.7,1714948499999
19,1714948500000,2.7821,2.7887,2.7739,2.7818,11101.6,1714948799999
20,1714948800000,2.7818,2.7879,2.78,2.7822,6634.6,1714949099999
21,1714949100000,2.7822,2.7857,2.779,2.7823,3764.0,1714949399999
22,1714949400000,2.7821,2.7844,2.7806,2.7836,1140.3,1714949699999
23,1714949700000,2.7835,2.7866,2.7828,2.7829,2753.9,1714949999999
24,1714950000000,2.7835,2.8229,2.7823,2.8184,211296.7,1714950299999
25,1714950300000,2.8184,2.8334,2.8017,2.8287,186044.4,1714950599999
26,1714950600000,2.8294,2.848,2.8294,2.8399,92289.6,1714950899999
27,1714950900000,2.8395,2.8584,2.8387,2.8539,74567.3,1714951199999
28,1714951200000,2.8539,2.869,2.8516,2.867,66476.9,1714951499999
29,1714951500000,2.867,2.8822,2.8602,2.8714,65768.3,1714951799999
30,1714951800000,2.8711,2.8758,2.855,2.855,57668.9,1714952099999
31,1714952100000,2.8551,2.8551,2.8356,2.8396,37178.0,1714952399999
32,1714952400000,2.8396,2.8401,2.8226,2.8307,36645.7,1714952699999
33,1714952700000,2.8319,2.8319,2.8211,2.822,18762.1,1714952999999
34,1714953000000,2.8219,2.8281,2.8168,2.8248,35126.6,1714953299999
35,1714953300000,2.825,2.8339,2.8202,2.8241,24097.7,1714953599999
36,1714953600000,2.8235,2.8313,2.8214,2.8302,18294.8,1714953899999
37,1714953900000,2.8311,2.8378,2.8251,2.8361,14146.8,1714954199999
38,1714954200000,2.8367,2.8369,2.8193,2.8352,21644.8,1714954499999
39,1714954500000,2.8352,2.8363,2.8183,2.832,21676.3,1714954799999
40,1714954800000,2.8318,2.8454,2.8317,2.8364,25985.6,1714955099999
41,1714955100000,2.8363,2.8436,2.8325,2.8383,12041.9,1714955399999
42,1714955400000,2.8372,2.8479,2.8371,2.8475,11808.3,1714955699999
43,1714955700000,2.8479,2.8664,2.8471,2.8646,28255.3,1714955999999
44,1714956000000,2.8628,2.8672,2.8581,2.8624,23015.3,1714956299999
45,1714956300000,2.861,2.8634,2.8534,2.8588,8418.3,1714956599999
46,1714956600000,2.8579,2.8759,2.8562,2.8758,11978.3,1714956899999
47,1714956900000,2.8748,2.8764,2.866,2.8687,23481.4,1714957199999
48,1714957200000,2.8687,2.8687,2.8541,2.8628,40359.8,1714957499999
49,1714957500000,2.8623,2.8828,2.8623,2.8827,20741.2,1714957799999
50,1714957800000,2.8822,2.8827,2.8652,2.8735,15187.8,1714958099999
51,1714958100000,2.8734,2.8778,2.866,2.8761,11659.5,1714958399999
52,1714958400000,2.8748,2.8774,2.8605,2.8624,6633.4,1714958699999
53,1714958700000,2.8628,2.8671,2.8542,2.855,6742.6,1714958999999
54,1714959000000,2.854,2.854,2.8354,2.8402,8252.5,1714959299999
55,1714959300000,2.8398,2.8496,2.8377,2.8494,16648.0,1714959599999
56,1714959600000,2.8497,2.8643,2.8491,2.8637,7380.9,1714959899999
57,1714959900000,2.863,2.863,2.842,2.8434,11776.3,1714960199999
58,1714960200000,2.8433,2.8433,2.8341,2.8368,2833.6,1714960499999
59,1714960500000,2.8378,2.8441,2.8348,2.8385,8705.1,1714960799999
60,1714960800000,2.8382,2.8425,2.83,2.8376,10121.0,1714961099999
61,1714961100000,2.8369,2.85,2.8356,2.8406,11990.5,1714961399999
62,1714961400000,2.8405,2.8486,2.8365,2.8436,10102.6,1714961699999
63,1714961700000,2.843,2.8484,2.8365,2.8373,16570.6,1714961999999
64,1714962000000,2.8375,2.8443,2.8333,2.8356,4660.3,1714962299999
65,1714962300000,2.8348,2.8388,2.8303,2.8373,3802.7,1714962599999
66,1714962600000,2.8372,2.8388,2.8306,2.8344,34344.0,1714962899999
67,1714962900000,2.8344,2.8463,2.8338,2.8436,8180.2,1714963199999
68,1714963200000,2.8438,2.8474,2.8402,2.8465,6592.5,1714963499999
69,1714963500000,2.8467,2.8467,2.8354,2.8354,5289.2,1714963799999
70,1714963800000,2.8353,2.8616,2.832,2.843,55161.2,1714964099999
71,1714964100000,2.8434,2.8442,2.8342,2.8359,13133.9,1714964399999
72,1714964400000,2.8362,2.8591,2.8357,2.8536,21096.2,1714964699999
73,1714964700000,2.8529,2.8647,2.8512,2.8626,9132.8,1714964999999
74,1714965000000,2.863,2.8643,2.8461,2.8508,26139.9,1714965299999
75,1714965300000,2.8509,2.8639,2.8504,2.8627,26369.4,1714965599999
76,1714965600000,2.861,2.8818,2.8606,2.8765,23742.3,1714965899999
77,1714965900000,2.8765,2.8858,2.8734,2.8795,24739.8,1714966199999
78,1714966200000,2.879,2.8918,2.8764,2.8848,30483.0,1714966499999
79,1714966500000,2.8848,2.8943,2.8831,2.8831,32105.6,1714966799999
80,1714966800000,2.8834,2.8938,2.8773,2.8815,35426.8,1714967099999
81,1714967100000,2.8815,2.8857,2.8751,2.8838,12662.5,1714967399999
82,1714967400000,2.883,2.8837,2.8695,2.8731,33995.9,1714967699999
83,1714967700000,2.8732,2.8873,2.8647,2.8702,34956.2,1714967999999
84,1714968000000,2.8706,2.8706,2.8528,2.8594,46151.0,1714968299999
85,1714968300000,2.8593,2.8607,2.8336,2.8401,84711.8,1714968599999
86,1714968600000,2.8405,2.8561,2.8312,2.8344,61515.8,1714968899999
87,1714968900000,2.8348,2.839,2.7991,2.8173,164096.2,1714969199999
88,1714969200000,2.8173,2.8241,2.8155,2.8167,25000.9,1714969499999
89,1714969500000,2.8172,2.8206,2.8114,2.8163,19960.0,1714969799999
90,1714969800000,2.8169,2.8191,2.8077,2.8092,28003.9,1714970099999
91,1714970100000,2.8098,2.819,2.8013,2.8013,23529.1,1714970399999
92,1714970400000,2.8017,2.8175,2.8017,2.8135,25932.3,1714970699999
93,1714970700000,2.8132,2.8295,2.8125,2.8237,25912.8,1714970999999
94,1714971000000,2.8236,2.83,2.8142,2.8194,13002.8,1714971299999
95,1714971300000,2.8194,2.826,2.8184,2.8253,9900.0,1714971599999
96,1714971600000,2.8259,2.8273,2.8193,2.8248,14966.2,1714971899999
97,1714971900000,2.824,2.855,2.8199,2.8543,44009.6,1714972199999
98,1714972200000,2.8543,2.8651,2.8449,2.8518,46487.3,1714972499999
99,1714972500000,2.8513,2.8717,2.8488,2.8674,28370.2,1714972799999
100,1714972800000,2.8673,2.91,2.8655,2.8964,148183.7,1714973099999
101,1714973100000,2.8964,2.9154,2.8835,2.9068,84212.7,1714973399999
102,1714973400000,2.9065,2.9152,2.9,2.9023,45701.1,1714973699999
103,1714973700000,2.9023,2.912,2.9,2.9055,25798.8,1714973999999
104,1714974000000,2.9052,2.952,2.9024,2.9476,126907.8,1714974299999
105,1714974300000,2.9476,2.9588,2.9336,2.9527,94725.9,1714974599999
106,1714974600000,2.9527,2.9631,2.9441,2.9441,55321.1,1714974899999
107,1714974900000,2.9447,2.9546,2.923,2.9348,61856.6,1714975199999
108,1714975200000,2.9345,2.9531,2.9217,2.9434,63879.6,1714975499999
109,1714975500000,2.9434,2.9481,2.934,2.9474,40119.2,1714975799999
110,1714975800000,2.9477,2.9648,2.9428,2.9638,59209.8,1714976099999
111,1714976100000,2.9637,2.965,2.9317,2.9511,78569.4,1714976399999
112,1714976400000,2.9513,2.9575,2.9427,2.9562,27253.0,1714976699999
113,1714976700000,2.9567,2.9597,2.935,2.9396,34450.2,1714976999999
114,1714977000000,2.9399,2.9428,2.9207,2.9267,31348.3,1714977299999
115,1714977300000,2.927,2.9403,2.924,2.927,25940.9,1714977599999
116,1714977600000,2.9273,2.9532,2.9249,2.9493,26502.5,1714977899999
117,1714977900000,2.9482,2.9763,2.9378,2.9708,100739.9,1714978199999
118,1714978200000,2.9707,2.9895,2.9674,2.9893,82381.9,1714978499999
119,1714978500000,2.9882,2.9999,2.9768,2.9958,89738.5,1714978799999
120,1714978800000,2.9955,3.0266,2.9852,3.0207,132458.6,1714979099999
121,1714979100000,3.0209,3.0408,3.0124,3.0164,126146.3,1714979399999
122,1714979400000,3.0165,3.0876,3.0108,3.0856,224834.3,1714979699999
123,1714979700000,3.0856,3.2165,3.0793,3.1994,675929.5,1714979999999
124,1714980000000,3.2004,3.2113,3.1411,3.1517,591818.0,1714980299999
125,1714980300000,3.1512,3.1582,3.0883,3.106,431711.9,1714980599999
126,1714980600000,3.1048,3.1142,3.0579,3.0813,381718.9,1714980899999
127,1714980900000,3.0812,3.1026,3.0633,3.0914,180289.6,1714981199999
128,1714981200000,3.091,3.1212,3.0871,3.1207,228234.7,1714981499999
129,1714981500000,3.1201,3.1974,3.1079,3.1861,264157.8,1714981799999
130,1714981800000,3.1856,3.1937,3.0818,3.0967,459277.5,1714982099999
131,1714982100000,3.0966,3.1432,3.0962,3.1334,208679.4,1714982399999
132,1714982400000,3.1338,3.1765,3.1181,3.1725,230419.9,1714982699999
133,1714982700000,3.1721,3.2095,3.1444,3.2013,272896.5,1714982999999
134,1714983000000,3.2001,3.2324,3.1567,3.1695,433643.8,1714983299999
135,1714983300000,3.1693,3.1949,3.1468,3.1602,180891.4,1714983599999
136,1714983600000,3.1586,3.2084,3.1564,3.1765,197823.9,1714983899999
137,1714983900000,3.177,3.1879,3.1404,3.144,114620.2,1714984199999
138,1714984200000,3.1437,3.1825,3.1394,3.169,115709.3,1714984499999
139,1714984500000,3.1677,3.1799,3.1479,3.1761,93847.2,1714984799999
140,1714984800000,3.1764,3.1806,3.102,3.1273,169506.5,1714985099999
