,open_time,open,high,low,close,VOLUME,close_time
0,1714967880000,2.876,2.876,2.87,2.8721,5993.0,1714967939999
1,1714967940000,2.8719,2.8727,2.8647,2.8702,8222.5,1714967999999
2,1714968000000,2.8706,2.8706,2.8528,2.8551,15319.6,1714968059999
3,1714968060000,2.8552,2.861,2.855,2.8583,8874.1,1714968119999
4,1714968120000,2.8592,2.8656,2.8592,2.8624,6116.7,1714968179999
5,1714968180000,2.8623,2.8654,2.8606,2.8606,4710.6,1714968239999
6,1714968240000,2.8608,2.8635,2.8554,2.8594,11130.0,1714968299999
7,1714968300000,2.8593,2.8607,2.855,2.8577,5627.4,1714968359999
8,1714968360000,2.8576,2.8593,2.8506,2.8546,13376.8,1714968419999
9,1714968420000,2.8552,2.8583,2.8478,2.8515,13445.1,1714968479999
10,1714968480000,2.8511,2.8518,2.8471,2.849,5503.2,1714968539999
11,1714968540000,2.8492,2.8517,2.8336,2.8401,46759.3,1714968599999
12,1714968600000,2.8405,2.8502,2.8405,2.8501,7768.2,1714968659999
13,1714968660000,2.85,2.8515,2.8474,2.8474,1781.7,1714968719999
14,1714968720000,2.8474,2.8561,2.8474,2.852,5904.4,1714968779999
15,1714968780000,2.852,2.8541,2.8422,2.8455,34338.9,1714968839999
16,1714968840000,2.8453,2.8458,2.8312,2.8344,11722.6,1714968899999
17,1714968900000,2.8348,2.839,2.8223,2.8263,18775.9,1714968959999
18,1714968960000,2.8261,2.8323,2.7997,2.8048,98643.7,1714969019999
19,1714969020000,2.8048,2.8119,2.7991,2.8079,28970.2,1714969079999
20,1714969080000,2.808,2.8168,2.8079,2.8157,13880.7,1714969139999
21,1714969140000,2.8156,2.8181,2.8151,2.8173,3825.7,1714969199999
22,1714969200000,2.8173,2.8209,2.8155,2.8209,5414.0,1714969259999
23,1714969260000,2.8211,2.8241,2.8208,2.8211,5776.2,1714969319999
24,1714969320000,2.821,2.8213,2.8177,2.8186,3462.3,1714969379999
25,1714969380000,2.8184,2.8226,2.8176,2.8197,6811.3,1714969439999
26,1714969440000,2.8209,2.8222,2.8163,2.8167,3537.1,1714969499999
