,open_time,open,high,low,close,VOLUME,close_time
0,1714968000000,3.487,3.5038,3.4843,3.5005,259908.0,1714968899999
1,1714968900000,3.5006,3.5192,3.4887,3.511,234650.0,1714969799999
2,1714969800000,3.5112,3.542,3.5021,3.5243,273184.0,1714970699999
3,1714970700000,3.5243,3.5388,3.5173,3.5289,282711.0,1714971599999
4,1714971600000,3.5288,3.5557,3.5236,3.5463,322069.0,1714972499999
5,1714972500000,3.5464,3.5864,3.5464,3.5848,492200.0,1714973399999
6,1714973400000,3.5847,3.5904,3.5398,3.547,385295.0,1714974299999
7,1714974300000,3.5476,3.56,3.539,3.5476,233284.0,1714975199999
8,1714975200000,3.5478,3.5531,3.5285,3.537,304384.0,1714976099999
9,1714976100000,3.537,3.5453,3.5255,3.5256,291922.0,1714976999999
10,1714977000000,3.5258,3.5609,3.5255,3.5507,300211.0,1714977899999
11,1714977900000,3.5503,3.5568,3.5281,3.533,198134.0,1714978799999
12,1714978800000,3.5328,3.5446,3.5163,3.5208,217632.0,1714979699999
13,1714979700000,3.5212,3.5243,3.5071,3.5228,235673.0,1714980599999
14,1714980600000,3.5225,3.526,3.5175,3.5249,160967.0,1714981499999
15,1714981500000,3.5247,3.527,3.5123,3.5171,167462.0,1714982399999
16,1714982400000,3.5171,3.54,3.5083,3.5169,334670.0,1714983299999
17,1714983300000,3.5169,3.616,3.511,3.5791,1297611.0,1714984199999
18,1714984200000,3.5791,3.5839,3.5603,3.5705,711438.0,1714985099999
19,1714985100000,3.5702,3.5819,3.5462,3.5804,499665.0,1714985999999
20,1714986000000,3.5804,3.6446,3.5776,3.6238,930839.0,1714986899999
21,1714986900000,3.6241,3.6418,3.5954,3.6087,594802.0,1714987799999
22,1714987800000,3.6084,3.6096,3.5654,3.5743,445040.0,1714988699999
23,1714988700000,3.5746,3.6319,3.5746,3.6213,408861.0,1714989599999
24,1714989600000,3.6214,3.64,3.6177,3.6312,358488.0,1714990499999
25,1714990500000,3.6312,3.6368,3.602,3.6311,500514.0,1714991399999
26,1714991400000,3.6311,3.6419,3.5786,3.5821,1109276.0,1714992299999
27,1714992300000,3.5826,3.6175,3.5654,3.5717,993308.0,1714993199999
28,1714993200000,3.5718,3.6098,3.5683,3.5941,473822.0,1714994099999
29,1714994100000,3.5939,3.5954,3.5716,3.5791,296526.0,1714994999999
30,1714995000000,3.5792,3.5855,3.55,3.5537,338466.0,1714995899999
31,1714995900000,3.5538,3.585,3.5509,3.5764,208102.0,1714996799999
