
RLCUSDT,30,short,3.0,3.033,-12.04,86.0
JTOUSDT,48,short,3.55,3.588,5.47,91.16
RLCUSDT,67,short,3.13,3.165,5.8,96.63
RLCUSDT,82,short,3.06,3.095,-11.63,83.1
JTOUSDT,105,short,3.62,3.659,5.29,88.09
YGGUSDT,110,short,0.88,0.891,-10.61,75.76
POWRUSDT,118,long,0.31,0.304,-9.12,65.15
YGGUSDT,135,short,0.88,0.89,-7.84,56.03
POWRUSDT,153,short,0.31,0.314,3.56,59.39
RLCUSDT,163,short,2.98,3.012,3.78,62.95
YGGUSDT,165,short,0.89,0.896,-7.58,54.14
JTOUSDT,171,short,3.54,3.579,3.44,57.39
YGGUSDT,186,short,0.89,0.896,-6.91,49.36
POWRUSDT,194,short,0.32,0.319,-5.94,42.45
YGGUSDT,237,short,0.88,0.885,-5.11,36.51
