
PHBUSDT,21,long,2.03,1.989,29.76,124.0
ARKMUSDT,28,short,2.58,2.631,36.9,153.76
NFPUSDT,51,long,0.51,0.501,-18.51,132.23
PHBUSDT,60,long,2.04,1.997,-15.92,113.72
FRONTUSDT,62,short,1.13,1.15,-13.69,97.8
WLDUSDT,69,long,5.8,5.692,29.1,121.27
NFPUSDT,87,long,0.52,0.508,-14.6,104.29
ARKMUSDT,92,long,2.68,2.63,31.04,129.32
WLDUSDT,94,short,5.79,5.9,-15.57,111.22
NFPUSDT,96,long,0.53,0.516,-13.39,95.65
FRONTUSDT,101,short,1.14,1.166,28.47,118.61
PHBUSDT,106,long,2.14,2.101,-14.28,102.0
PHBUSDT,110,short,2.08,2.119,-12.28,87.72
FRONTUSDT,113,long,1.18,1.153,-10.56,75.44
FRONTUSDT,117,short,1.14,1.165,-9.08,64.88
NFPUSDT,126,long,0.5,0.492,-7.81,55.8
WLDUSDT,128,short,5.78,5.892,-6.72,47.99
