
JTOUSDT,48,long,3.6,3.531,11.0,110.0
RLCUSDT,67,long,3.18,3.114,-23.1,77.0
YGGUSDT,82,long,0.9,0.882,8.47,84.7
JTOUSDT,105,long,3.67,3.601,-17.79,59.29
POWRUSDT,108,long,0.31,0.3,-12.45,41.5
YGGUSDT,135,long,0.89,0.876,4.57,45.65
POWRUSDT,152,long,0.32,0.309,5.02,50.22
RLCUSDT,163,long,3.02,2.964,5.52,55.24
POWRUSDT,194,long,0.32,0.314,6.08,60.76
POWRUSDT,203,long,0.32,0.317,-12.76,42.53
YGGUSDT,237,long,0.89,0.871,4.68,46.78
JTOUSDT,254,long,3.71,3.639,5.15,51.46
JTOUSDT,283,long,3.82,3.743,5.66,56.61
