,open_time,open,high,low,close,VOLUME,close_time
0,1714969800000,0.3054,0.3054,0.305,0.3052,25296.0,1714970099999
1,1714970100000,0.3053,0.3056,0.3053,0.3055,12983.0,1714970399999
2,1714970400000,0.3055,0.3059,0.3055,0.3058,32805.0,1714970699999
3,1714970700000,0.3057,0.3063,0.3052,0.3061,25131.0,1714970999999
4,1714971000000,0.3062,0.3063,0.3054,0.3058,88680.0,1714971299999
5,1714971300000,0.3059,0.306,0.3058,0.3059,14177.0,1714971599999
6,1714971600000,0.306,0.306,0.3053,0.3054,55132.0,1714971899999
7,1714971900000,0.3054,0.3054,0.3046,0.3047,136313.0,1714972199999
8,1714972200000,0.3047,0.3047,0.3037,0.3039,153777.0,1714972499999
9,1714972500000,0.3039,0.3048,0.3038,0.3046,77335.0,1714972799999
10,1714972800000,0.3046,0.3052,0.3045,0.3048,87623.0,1714973099999
11,1714973100000,0.3049,0.306,0.3046,0.3056,63630.0,1714973399999
12,1714973400000,0.3056,0.3059,0.3054,0.3057,47995.0,1714973699999
13,1714973700000,0.3057,0.3062,0.3057,0.3061,40665.0,1714973999999
14,1714974000000,0.3061,0.3066,0.3057,0.3065,105940.0,1714974299999
15,1714974300000,0.3065,0.3068,0.3058,0.3066,54525.0,1714974599999
16,1714974600000,0.3067,0.3074,0.3064,0.3068,102405.0,1714974899999
17,1714974900000,0.3068,0.3068,0.3063,0.3067,41204.0,1714975199999
18,1714975200000,0.3067,0.3069,0.3064,0.3069,41110.0,1714975499999
19,1714975500000,0.3068,0.3068,0.3059,0.3065,88769.0,1714975799999
20,1714975800000,0.3066,0.3073,0.3066,0.3071,133931.0,1714976099999
21,1714976100000,0.307,0.3075,0.3065,0.3073,124896.0,1714976399999
22,1714976400000,0.3072,0.3073,0.3067,0.3069,57469.0,1714976699999
23,1714976700000,0.3069,0.3071,0.3061,0.3061,78544.0,1714976999999
24,1714977000000,0.3062,0.3062,0.3053,0.3059,128621.0,1714977299999
25,1714977300000,0.3059,0.3065,0.3057,0.306,266455.0,1714977599999
26,1714977600000,0.306,0.3062,0.3058,0.3058,42855.0,1714977899999
27,1714977900000,0.3058,0.3062,0.3056,0.3061,96694.0,1714978199999
28,1714978200000,0.3061,0.3065,0.3061,0.3063,53942.0,1714978499999
29,1714978500000,0.3065,0.3066,0.3062,0.3063,42972.0,1714978799999
30,1714978800000,0.3063,0.3075,0.3061,0.3073,96509.0,1714979099999
31,1714979100000,0.3073,0.3079,0.3073,0.3075,84729.0,1714979399999
32,1714979400000,0.3075,0.3075,0.3065,0.3068,111418.0,1714979699999
33,1714979700000,0.3068,0.3075,0.3067,0.3075,122058.0,1714979999999
34,1714980000000,0.3075,0.3084,0.3075,0.3083,147605.0,1714980299999
35,1714980300000,0.3082,0.3087,0.3078,0.3087,119573.0,1714980599999
36,1714980600000,0.3087,0.3095,0.3087,0.3089,218074.0,1714980899999
37,1714980900000,0.3088,0.31,0.3086,0.3094,496282.0,1714981199999
38,1714981200000,0.3095,0.3101,0.3093,0.3095,138256.0,1714981499999
39,1714981500000,0.3095,0.3095,0.3088,0.3091,79319.0,1714981799999
40,1714981800000,0.3091,0.3095,0.3087,0.3088,99597.0,1714982099999
41,1714982100000,0.3089,0.3102,0.3089,0.3099,65914.0,1714982399999
42,1714982400000,0.3098,0.3106,0.3097,0.3102,92106.0,1714982699999
43,1714982700000,0.3102,0.3104,0.3096,0.3101,156678.0,1714982999999
44,1714983000000,0.3102,0.3104,0.3098,0.3104,122717.0,1714983299999
45,1714983300000,0.3105,0.3115,0.3104,0.3113,209781.0,1714983599999
46,1714983600000,0.3113,0.3125,0.3111,0.3115,283583.0,1714983899999
47,1714983900000,0.3116,0.3133,0.3116,0.3129,386909.0,1714984199999
48,1714984200000,0.3129,0.3144,0.3127,0.3144,301536.0,1714984499999
49,1714984500000,0.3143,0.3151,0.3136,0.3145,809188.0,1714984799999
50,1714984800000,0.3145,0.3146,0.3139,0.3143,229258.0,1714985099999
51,1714985100000,0.3143,0.3144,0.3133,0.3136,172767.0,1714985399999
52,1714985400000,0.3136,0.3137,0.3115,0.3121,400926.0,1714985699999
53,1714985700000,0.3122,0.3137,0.3122,0.3134,536366.0,1714985999999
54,1714986000000,0.3134,0.3138,0.3125,0.3127,197019.0,1714986299999
55,1714986300000,0.3126,0.3133,0.3125,0.3133,182292.0,1714986599999
56,1714986600000,0.3132,0.3132,0.3122,0.3127,123837.0,1714986899999
57,1714986900000,0.3127,0.313,0.3123,0.3127,202960.0,1714987199999
58,1714987200000,0.3128,0.3131,0.3126,0.3129,84968.0,1714987499999
59,1714987500000,0.3129,0.313,0.3123,0.3126,66179.0,1714987799999
