,open_time,open,high,low,close,VOLUME,close_time
0,1708776000000,0.514,0.5189,0.4907,0.4915,49209864.0,1708790399999
1,1708790400000,0.4916,0.5052,0.4914,0.5007,22975822.0,1708804799999
2,1708804800000,0.5006,0.5022,0.494,0.4951,11343768.0,1708819199999
3,1708819200000,0.4951,0.5027,0.4813,0.4841,24726830.0,1708833599999
4,1708833600000,0.484,0.4967,0.4772,0.4933,18143708.0,1708847999999
5,1708848000000,0.4932,0.4998,0.4845,0.4918,19312042.0,1708862399999
6,1708862400000,0.4917,0.4922,0.4842,0.4881,10302652.0,1708876799999
7,1708876800000,0.4881,0.4999,0.4845,0.4996,9921349.0,1708891199999
8,1708891200000,0.4996,0.5054,0.4945,0.4972,11737437.0,1708905599999
9,1708905600000,0.4972,0.5024,0.488,0.5007,12162230.0,1708919999999
10,1708920000000,0.5008,0.5023,0.4853,0.4859,10201550.0,1708934399999
11,1708934400000,0.4859,0.4895,0.4761,0.486,14569059.0,1708948799999
12,1708948800000,0.4861,0.4989,0.4807,0.4975,11081489.0,1708963199999
13,1708963200000,0.4975,0.5006,0.4885,0.4963,11819533.0,1708977599999
14,1708977600000,0.4962,0.4993,0.493,0.4958,6967979.0,1708991999999
15,1708992000000,0.4958,0.4962,0.4826,0.4841,13751987.0,1709006399999
16,1709006400000,0.4841,0.4926,0.4838,0.4871,8601497.0,1709020799999
17,1709020800000,0.4871,0.4923,0.487,0.489,7284149.0,1709035199999
18,1709035200000,0.489,0.4899,0.4783,0.4811,13528732.0,1709049599999
19,1709049600000,0.481,0.4893,0.4749,0.487,12157148.0,1709063999999
20,1709064000000,0.487,0.4917,0.4861,0.4885,5780418.0,1709078399999
21,1709078400000,0.4887,0.4961,0.488,0.4917,7600457.0,1709092799999
22,1709092800000,0.4916,0.4998,0.4906,0.4996,8183222.0,1709107199999
23,1709107200000,0.4995,0.5146,0.4902,0.4982,29372271.0,1709121599999
24,1709121600000,0.4982,0.5093,0.498,0.5069,17478464.0,1709135999999
25,1709136000000,0.5067,0.5173,0.4523,0.49,58121071.0,1709150399999
26,1709150400000,0.4899,0.5054,0.4852,0.5016,16185443.0,1709164799999
27,1709164800000,0.5016,0.5231,0.5016,0.5151,33713376.0,1709179199999
28,1709179200000,0.5152,0.529,0.5058,0.5277,16425459.0,1709193599999
29,1709193600000,0.5277,0.539,0.5239,0.5265,17592501.0,1709207999999
30,1709208000000,0.5264,0.5384,0.5208,0.5349,12358250.0,1709222399999
31,1709222400000,0.535,0.5359,0.5102,0.5236,26903107.0,1709236799999
32,1709236800000,0.5236,0.5251,0.4922,0.5105,14088668.0,1709251199999
33,1709251200000,0.5106,0.5322,0.5106,0.5239,20663103.0,1709265599999
34,1709265600000,0.524,0.5335,0.5223,0.5319,7782115.0,1709279999999
35,1709280000000,0.5319,0.5511,0.5285,0.5344,16418472.0,1709294399999
36,1709294400000,0.5344,0.5474,0.5317,0.5347,21848447.0,1709308799999
37,1709308800000,0.5346,0.5459,0.5336,0.544,8197969.0,1709323199999
38,1709323200000,0.544,0.5543,0.5419,0.5521,7045868.0,1709337599999
39,1709337600000,0.5521,0.5702,0.5401,0.5679,14493743.0,1709351999999
40,1709352000000,0.5679,0.5839,0.5581,0.583,21396926.0,1709366399999
41,1709366400000,0.5829,0.5837,0.5651,0.5713,12595409.0,1709380799999
42,1709380800000,0.5713,0.5843,0.5636,0.5697,11665046.0,1709395199999
43,1709395200000,0.5699,0.5756,0.5656,0.5727,6414693.0,1709409599999
44,1709409600000,0.5728,0.5833,0.5658,0.5826,7062129.0,1709423999999
45,1709424000000,0.5825,0.5836,0.5673,0.5782,9875192.0,1709438399999
46,1709438400000,0.5782,0.5953,0.5085,0.5508,27257570.0,1709452799999
47,1709452800000,0.551,0.5735,0.5409,0.5691,17040346.0,1709467199999
48,1709467200000,0.5691,0.5748,0.5587,0.569,10851896.0,1709481599999
49,1709481600000,0.5691,0.5823,0.566,0.5738,10976643.0,1709495999999
50,1709496000000,0.5738,0.5914,0.5712,0.5914,7190572.0,1709510399999
51,1709510400000,0.5915,0.6147,0.5633,0.5691,31845647.0,1709524799999
52,1709524800000,0.5691,0.5804,0.5666,0.5748,9611567.0,1709539199999
53,1709539200000,0.5749,0.5936,0.5745,0.5881,16603414.0,1709553599999
54,1709553600000,0.5881,0.602,0.585,0.5951,16074123.0,1709567999999
55,1709568000000,0.5949,0.597,0.5662,0.587,17865868.0,1709582399999
56,1709582400000,0.5871,0.5929,0.5795,0.5907,6921305.0,1709596799999
57,1709596800000,0.5909,0.5918,0.5691,0.5772,9921386.0,1709611199999
58,1709611200000,0.5771,0.6006,0.5599,0.5958,22520345.0,1709625599999
59,1709625600000,0.5958,0.6101,0.5868,0.6031,14245477.0,1709639999999
60,1709640000000,0.6031,0.6125,0.585,0.5949,21315816.0,1709654399999
61,1709654400000,0.5948,0.6001,0.4585,0.5113,48218597.0,1709668799999
62,1709668800000,0.5114,0.5448,0.5023,0.5409,36756902.0,1709683199999
63,1709683200000,0.5411,0.547,0.5155,0.5305,13113794.0,1709697599999
64,1709697600000,0.5305,0.6411,0.5305,0.6046,58854217.0,1709711999999
65,1709712000000,0.6046,0.6201,0.588,0.6152,40373689.0,1709726399999
66,1709726400000,0.6153,0.6345,0.596,0.6131,48724751.0,1709740799999
67,1709740800000,0.6132,0.619,0.5968,0.6132,18509790.0,1709755199999
68,1709755200000,0.613,0.6364,0.609,0.6358,14354716.0,1709769599999
69,1709769600000,0.6358,0.6365,0.6128,0.6144,17738324.0,1709783999999
70,1709784000000,0.6142,0.6232,0.5988,0.6197,15435984.0,1709798399999
71,1709798400000,0.6196,0.6329,0.6177,0.629,12117539.0,1709812799999
72,1709812800000,0.6291,0.6505,0.6235,0.6319,22046551.0,1709827199999
73,1709827200000,0.6319,0.6364,0.6255,0.6353,7489321.0,1709841599999
74,1709841600000,0.6353,0.6406,0.6308,0.6328,8225897.0,1709855999999
75,1709856000000,0.6328,0.6357,0.616,0.6204,8201192.0,1709870399999
76,1709870400000,0.6204,0.6229,0.6132,0.6168,5937335.0,1709884799999
77,1709884800000,0.6167,0.6201,0.6111,0.6167,5089487.0,1709899199999
