,open_time,open,high,low,close,VOLUME,close_time
0,1708776000000,1.8409,1.8444,1.8214,1.8223,17757992.4,1708790399999
1,1708790400000,1.8223,1.855,1.8206,1.848,16770181.8,1708804799999
2,1708804800000,1.8482,1.8531,1.8384,1.846,10696659.4,1708819199999
3,1708819200000,1.846,1.8798,1.8293,1.8708,25726856.2,1708833599999
4,1708833600000,1.8708,1.8856,1.8532,1.8635,16431991.5,1708847999999
5,1708848000000,1.8634,1.8766,1.8466,1.8738,17699169.5,1708862399999
6,1708862400000,1.8737,1.8923,1.8554,1.8703,25397560.2,1708876799999
7,1708876800000,1.8704,1.8895,1.8565,1.8835,23973608.3,1708891199999
8,1708891200000,1.8834,1.907,1.8791,1.9067,21739119.1,1708905599999
9,1708905600000,1.9066,1.919,1.873,1.8975,18794541.6,1708919999999
10,1708920000000,1.8975,1.8998,1.8471,1.8519,20876090.3,1708934399999
11,1708934400000,1.852,1.8645,1.8086,1.8237,32756780.9,1708948799999
12,1708948800000,1.8237,1.8887,1.8141,1.888,34006763.5,1708963199999
13,1708963200000,1.888,1.918,1.8802,1.9153,45822970.5,1708977599999
14,1708977600000,1.9152,1.9578,1.912,1.9302,35701433.1,1708991999999
15,1708992000000,1.9301,1.9583,1.905,1.9137,38851332.8,1709006399999
16,1709006400000,1.9137,1.9367,1.9055,1.9114,25007320.2,1709020799999
17,1709020800000,1.9113,1.949,1.9103,1.9436,23826853.4,1709035199999
18,1709035200000,1.9436,1.9572,1.8765,1.8888,44144840.6,1709049599999
19,1709049600000,1.8888,1.9032,1.8651,1.8883,32754360.1,1709063999999
20,1709064000000,1.8883,1.9131,1.8741,1.8983,17165253.1,1709078399999
21,1709078400000,1.8983,1.907,1.8572,1.8608,19762968.3,1709092799999
22,1709092800000,1.8608,1.8979,1.8554,1.8925,22048350.5,1709107199999
23,1709107200000,1.8927,1.9491,1.8642,1.8933,67173405.8,1709121599999
24,1709121600000,1.8934,1.937,1.892,1.915,54023040.6,1709135999999
25,1709136000000,1.9149,1.9885,1.7871,1.8727,141271288.4,1709150399999
26,1709150400000,1.8727,1.9121,1.8523,1.9018,29367650.4,1709164799999
27,1709164800000,1.9018,1.994,1.8844,1.9628,61513504.8,1709179199999
28,1709179200000,1.9629,2.0435,1.952,2.0147,54131609.8,1709193599999
29,1709193600000,2.0146,2.0419,1.9881,2.0072,49542583.0,1709207999999
30,1709208000000,2.0071,2.0117,1.9805,1.9999,35646041.3,1709222399999
31,1709222400000,2.0003,2.0999,1.9366,2.0406,132602663.8,1709236799999
32,1709236800000,2.0406,2.0585,1.91,1.9463,54848637.5,1709251199999
33,1709251200000,1.9464,2.0015,1.9449,1.9794,30089867.9,1709265599999
34,1709265600000,1.9794,1.994,1.9654,1.9731,20835733.7,1709279999999
35,1709280000000,1.9732,2.0162,1.964,1.9818,28467117.2,1709294399999
36,1709294400000,1.9817,2.0023,1.9407,1.9516,34782452.3,1709308799999
37,1709308800000,1.9517,1.9853,1.944,1.9798,28208154.4,1709323199999
38,1709323200000,1.9799,1.9977,1.9713,1.9904,21533988.1,1709337599999
39,1709337600000,1.9905,2.0015,1.9522,1.9979,32987630.4,1709351999999
40,1709352000000,1.998,2.0047,1.9633,1.9913,32139352.7,1709366399999
41,1709366400000,1.9914,1.9932,1.9572,1.9638,34326377.5,1709380799999
42,1709380800000,1.9637,1.9965,1.9604,1.971,41983992.5,1709395199999
43,1709395200000,1.9711,2.0124,1.97,2.0115,31827003.7,1709409599999
44,1709409600000,2.0116,2.0288,1.9877,2.0286,21936532.5,1709423999999
45,1709424000000,2.0285,2.1378,2.0139,2.128,76261653.2,1709438399999
46,1709438400000,2.1281,2.2,1.8239,2.0371,130432488.3,1709452799999
47,1709452800000,2.0373,2.0934,2.0123,2.0863,61422917.1,1709467199999
48,1709467200000,2.0864,2.1135,2.0495,2.0659,46933577.0,1709481599999
49,1709481600000,2.0659,2.0992,2.0506,2.0731,28925749.1,1709495999999
50,1709496000000,2.0731,2.078,2.0331,2.0468,21945923.6,1709510399999
51,1709510400000,2.0469,2.075,1.9846,1.9934,58875249.1,1709524799999
52,1709524800000,1.9934,2.0324,1.9764,2.0274,28814641.6,1709539199999
53,1709539200000,2.0275,2.0476,2.0002,2.0116,45045668.7,1709553599999
54,1709553600000,2.0118,2.0178,1.9572,2.0101,49863143.6,1709567999999
55,1709568000000,2.0102,2.014,1.9209,1.9822,67474233.1,1709582399999
56,1709582400000,1.9822,1.9951,1.9624,1.9844,24327064.1,1709596799999
57,1709596800000,1.9844,2.0076,1.925,2.0071,50187980.8,1709611199999
58,1709611200000,2.007,2.1845,2.0066,2.0799,176023840.2,1709625599999
59,1709625600000,2.0803,2.1554,2.0637,2.1383,58787765.7,1709639999999
60,1709640000000,2.1383,2.179,2.0513,2.1163,112746451.6,1709654399999
61,1709654400000,2.1163,2.1314,1.7,1.8822,182455125.2,1709668799999
62,1709668800000,1.8819,1.9785,1.83,1.9669,118097937.0,1709683199999
63,1709683200000,1.9672,2.0126,1.9245,1.9465,46613120.4,1709697599999
64,1709697600000,1.9466,2.0868,1.9463,2.0849,64167777.6,1709711999999
65,1709712000000,2.0849,2.1512,2.0526,2.0824,73522623.8,1709726399999
66,1709726400000,2.0823,2.0873,1.9805,2.0224,63944720.1,1709740799999
67,1709740800000,2.0224,2.0699,2.007,2.0497,39222845.1,1709755199999
68,1709755200000,2.0496,2.0702,2.032,2.0563,28980583.9,1709769599999
69,1709769600000,2.0563,2.104,2.035,2.0593,46631126.6,1709783999999
70,1709784000000,2.0594,2.0845,2.0181,2.071,36680556.5,1709798399999
71,1709798400000,2.0711,2.1058,2.0668,2.0893,35005316.8,1709812799999
72,1709812800000,2.0893,2.1788,2.0679,2.1695,70970299.3,1709827199999
73,1709827200000,2.1698,2.1788,2.1235,2.1405,34569325.2,1709841599999
74,1709841600000,2.1405,2.1894,2.1354,2.1672,35687103.7,1709855999999
75,1709856000000,2.1673,2.2465,2.162,2.1678,57104870.9,1709870399999
76,1709870400000,2.1679,2.1893,2.1402,2.165,27740080.7,1709884799999
77,1709884800000,2.165,2.2241,2.1612,2.2155,30582076.4,1709899199999
78,1709899200000,2.2156,2.2792,1.9946,2.139,108385556.1,1709913599999
79,1709913600000,2.1389,2.1962,2.085,2.1569,57019682.9,1709927999999
80,1709928000000,2.157,2.1691,2.1248,2.1359,19921242.9,1709942399999
81,1709942400000,2.136,2.1504,2.1152,2.1475,18808105.4,1709956799999
82,1709956800000,2.1476,2.1675,2.1403,2.1556,15268600.2,1709971199999
