,open_time,open,high,low,close,VOLUME,close_time
0,1708776000000,0.1279,0.1292,0.1263,0.128,12539913.0,1708790399999
1,1708790400000,0.128,0.1445,0.1278,0.1426,129058773.0,1708804799999
2,1708804800000,0.1426,0.1493,0.1416,0.1458,103895665.0,1708819199999
3,1708819200000,0.1457,0.1515,0.1385,0.1386,73658991.0,1708833599999
4,1708833600000,0.1387,0.1419,0.1381,0.1389,33858786.0,1708847999999
5,1708848000000,0.139,0.1408,0.1367,0.1379,22667164.0,1708862399999
6,1708862400000,0.1378,0.1392,0.1362,0.1371,23135454.0,1708876799999
7,1708876800000,0.1372,0.1427,0.1363,0.142,40954879.0,1708891199999
8,1708891200000,0.142,0.1423,0.1387,0.1396,16651224.0,1708905599999
9,1708905600000,0.1397,0.1416,0.139,0.14,11462891.0,1708919999999
10,1708920000000,0.1399,0.1433,0.1377,0.1406,20763686.0,1708934399999
11,1708934400000,0.1407,0.1413,0.1368,0.141,21116064.0,1708948799999
12,1708948800000,0.141,0.1482,0.1395,0.147,33335113.0,1708963199999
13,1708963200000,0.1469,0.1579,0.1456,0.1464,80357652.0,1708977599999
14,1708977600000,0.1464,0.1559,0.1446,0.1496,46227596.0,1708991999999
15,1708992000000,0.1497,0.1527,0.1465,0.147,21559991.0,1709006399999
16,1709006400000,0.147,0.1488,0.1449,0.1478,18323638.0,1709020799999
17,1709020800000,0.1478,0.1657,0.1459,0.1578,106252846.0,1709035199999
18,1709035200000,0.1577,0.1581,0.1493,0.1503,37154903.0,1709049599999
19,1709049600000,0.1503,0.1614,0.1484,0.1554,74106415.0,1709063999999
20,1709064000000,0.1554,0.1577,0.1512,0.1523,23365536.0,1709078399999
21,1709078400000,0.1523,0.1582,0.1512,0.1542,13246715.0,1709092799999
22,1709092800000,0.1541,0.1558,0.1526,0.1545,13107892.0,1709107199999
23,1709107200000,0.1546,0.1618,0.1531,0.1563,96131061.0,1709121599999
24,1709121600000,0.1563,0.1608,0.1535,0.1561,40402534.0,1709135999999
25,1709136000000,0.1562,0.1586,0.1265,0.1501,83591190.0,1709150399999
26,1709150400000,0.1501,0.1667,0.1482,0.1617,47493566.0,1709164799999
27,1709164800000,0.1617,0.1636,0.1563,0.1576,18262631.0,1709179199999
28,1709179200000,0.1576,0.1589,0.1519,0.1565,27267090.0,1709193599999
29,1709193600000,0.1564,0.1616,0.1552,0.1569,32740904.0,1709207999999
30,1709208000000,0.1568,0.1632,0.1558,0.1592,29631628.0,1709222399999
31,1709222400000,0.1591,0.1611,0.1522,0.1565,42902777.0,1709236799999
32,1709236800000,0.1566,0.1582,0.1465,0.1551,60184362.0,1709251199999
33,1709251200000,0.1551,0.1565,0.1532,0.1549,11338008.0,1709265599999
34,1709265600000,0.1549,0.159,0.1542,0.1546,13813497.0,1709279999999
35,1709280000000,0.1547,0.1619,0.154,0.157,31737964.0,1709294399999
36,1709294400000,0.1569,0.1584,0.1557,0.157,15710939.0,1709308799999
37,1709308800000,0.1571,0.1614,0.1566,0.1604,18603969.0,1709323199999
38,1709323200000,0.1604,0.1637,0.1583,0.1592,21974388.0,1709337599999
39,1709337600000,0.1593,0.1605,0.1572,0.1595,12693401.0,1709351999999
40,1709352000000,0.1595,0.1609,0.1574,0.1599,11064266.0,1709366399999
41,1709366400000,0.1599,0.1603,0.1545,0.1556,14831703.0,1709380799999
42,1709380800000,0.1556,0.1586,0.1541,0.155,23153147.0,1709395199999
43,1709395200000,0.1549,0.1626,0.1543,0.1614,49036265.0,1709409599999
44,1709409600000,0.1615,0.1693,0.16,0.1665,30140949.0,1709423999999
45,1709424000000,0.1664,0.1728,0.1604,0.1614,28608068.0,1709438399999
46,1709438400000,0.1615,0.1633,0.14,0.1553,33505816.0,1709452799999
47,1709452800000,0.1553,0.1644,0.1532,0.1603,44216545.0,1709467199999
48,1709467200000,0.1604,0.1627,0.157,0.1592,31274013.0,1709481599999
49,1709481600000,0.1591,0.1641,0.1576,0.1607,34429109.0,1709495999999
50,1709496000000,0.1606,0.1623,0.1589,0.1599,16919790.0,1709510399999
51,1709510400000,0.1599,0.1625,0.1555,0.1568,19250153.0,1709524799999
52,1709524800000,0.1568,0.161,0.1556,0.1591,18446044.0,1709539199999
53,1709539200000,0.1591,0.1602,0.1549,0.1572,19641846.0,1709553599999
54,1709553600000,0.1572,0.1603,0.1543,0.1597,27617881.0,1709567999999
55,1709568000000,0.1597,0.1626,0.1512,0.1585,52511453.0,1709582399999
56,1709582400000,0.1585,0.1607,0.1563,0.1577,18614880.0,1709596799999
57,1709596800000,0.1577,0.1589,0.1543,0.1571,13558997.0,1709611199999
58,1709611200000,0.1572,0.1644,0.1559,0.1626,36200976.0,1709625599999
59,1709625600000,0.1626,0.1736,0.1604,0.1665,50498045.0,1709639999999
60,1709640000000,0.1665,0.1676,0.1559,0.1578,44735582.0,1709654399999
61,1709654400000,0.1578,0.1591,0.1205,0.1326,95890714.0,1709668799999
62,1709668800000,0.1328,0.1417,0.1308,0.1411,46442522.0,1709683199999
63,1709683200000,0.1411,0.143,0.1372,0.1398,20222375.0,1709697599999
64,1709697600000,0.1399,0.15,0.1398,0.1497,15009928.0,1709711999999
65,1709712000000,0.1498,0.1518,0.1463,0.1504,24167721.0,1709726399999
66,1709726400000,0.1504,0.151,0.1435,0.1479,31244046.0,1709740799999
67,1709740800000,0.1479,0.1559,0.1475,0.1495,52569371.0,1709755199999
68,1709755200000,0.1494,0.1531,0.1485,0.152,12905665.0,1709769599999
69,1709769600000,0.1521,0.1539,0.1498,0.1504,11884482.0,1709783999999
70,1709784000000,0.1504,0.1546,0.1492,0.1538,18241861.0,1709798399999
71,1709798400000,0.1537,0.1572,0.1531,0.1563,13501540.0,1709812799999
72,1709812800000,0.1563,0.1579,0.1529,0.1558,18974229.0,1709827199999
73,1709827200000,0.1558,0.1569,0.1544,0.1563,14410041.0,1709841599999
74,1709841600000,0.1562,0.1581,0.1555,0.1571,10435924.0,1709855999999
75,1709856000000,0.1571,0.1595,0.1552,0.1564,9649832.0,1709870399999
76,1709870400000,0.1564,0.1574,0.154,0.1568,10401593.0,1709884799999
77,1709884800000,0.1569,0.1608,0.1566,0.1579,37051129.0,1709899199999
