,open_time,open,high,low,close,VOLUME,close_time
0,1709294400000,2.0523,2.091,1.9524,2.0184,1442109.7,1709308799999
1,1709308800000,2.0187,2.064,1.9278,1.9524,4585109.0,1709323199999
2,1709323200000,1.9536,2.0034,1.88,1.9751,4836755.6,1709337599999
3,1709337600000,1.975,1.9753,1.8917,1.9091,2955790.0,1709351999999
4,1709352000000,1.9081,1.9637,1.84,1.9347,4088802.1,1709366399999
5,1709366400000,1.9347,2.0367,1.9151,2.0125,4603369.9,1709380799999
6,1709380800000,2.0125,2.0608,1.92,1.9313,4384101.0,1709395199999
7,1709395200000,1.9314,1.9739,1.9268,1.9724,1249561.4,1709409599999
8,1709409600000,1.9724,1.9762,1.9417,1.9671,783246.9,1709423999999
9,1709424000000,1.9673,2.0434,1.9302,2.0426,1629013.7,1709438399999
10,1709438400000,2.0421,2.69,2.0116,2.5139,33975367.7,1709452799999
11,1709452800000,2.5138,2.6125,2.2518,2.3295,17119095.2,1709467199999
12,1709467200000,2.3297,2.559,2.2833,2.4777,11785077.7,1709481599999
13,1709481600000,2.4777,2.6292,2.4,2.5141,9911889.5,1709495999999
14,1709496000000,2.514,2.5149,2.3552,2.3708,4180896.2,1709510399999
15,1709510400000,2.371,2.4889,2.3192,2.412,5707400.5,1709524799999
16,1709524800000,2.412,2.5278,2.3681,2.371,5708487.4,1709539199999
17,1709539200000,2.371,2.376,2.2824,2.3186,4546460.4,1709553599999
18,1709553600000,2.3189,2.3258,2.2241,2.2568,3367705.0,1709567999999
19,1709568000000,2.2567,2.2568,2.1097,2.233,4157877.1,1709582399999
20,1709582400000,2.2323,2.2838,2.1901,2.1974,1814611.9,1709596799999
21,1709596800000,2.1971,2.201,2.11,2.176,2577344.0,1709611199999
22,1709611200000,2.175,2.2775,2.1353,2.1892,4306001.8,1709625599999
23,1709625600000,2.1889,2.2633,2.174,2.2238,2102826.7,1709639999999
24,1709640000000,2.2238,2.2869,2.1564,2.1612,2478770.0,1709654399999
25,1709654400000,2.1611,2.1715,1.811,1.9379,5102670.8,1709668799999
26,1709668800000,1.9411,2.082,1.9239,2.0728,2763658.9,1709683199999
27,1709683200000,2.0732,2.0938,2.0208,2.066,1204933.0,1709697599999
28,1709697600000,2.0657,2.1668,2.0524,2.1581,1780584.7,1709711999999
29,1709712000000,2.1577,2.159,2.0749,2.0866,1429759.9,1709726399999
30,1709726400000,2.0866,2.0955,2.002,2.0674,2038855.0,1709740799999
31,1709740800000,2.0688,2.1559,2.0662,2.1292,1256846.7,1709755199999
32,1709755200000,2.1283,2.208,2.0744,2.203,1556645.6,1709769599999
33,1709769600000,2.2023,2.2542,2.105,2.1258,2197138.1,1709783999999
34,1709784000000,2.1255,2.1922,2.1091,2.1469,1720455.7,1709798399999
35,1709798400000,2.1462,2.2348,2.1377,2.2039,1960068.7,1709812799999
36,1709812800000,2.2046,2.2624,2.1781,2.2535,3281808.2,1709827199999
37,1709827200000,2.2532,2.2605,2.196,2.2318,1098625.0,1709841599999
38,1709841600000,2.2326,2.2473,2.2162,2.2175,753782.8,1709855999999
39,1709856000000,2.2178,2.2765,2.1958,2.2318,1533395.7,1709870399999
40,1709870400000,2.2318,2.253,2.1962,2.2212,1096166.7,1709884799999
41,1709884800000,2.2219,2.2301,2.1455,2.1706,1495817.8,1709899199999
42,1709899200000,2.1706,2.1706,2.0434,2.1116,2211984.9,1709913599999
43,1709913600000,2.1115,2.1485,2.0568,2.13,2023392.2,1709927999999
44,1709928000000,2.1299,2.1378,2.1112,2.1315,604828.1,1709942399999
45,1709942400000,2.1313,2.1824,2.1188,2.1799,1013320.2,1709956799999
46,1709956800000,2.1797,2.2062,2.1655,2.2019,1687860.6,1709971199999
47,1709971200000,2.202,2.2624,2.1505,2.2474,2977553.5,1709985599999
48,1709985600000,2.2478,2.2937,2.2182,2.236,3011135.2,1709999999999
49,1710000000000,2.236,2.2647,2.1688,2.194,1717940.2,1710014399999
50,1710014400000,2.1945,2.2943,2.1924,2.2785,1397366.8,1710028799999
51,1710028800000,2.2777,2.2958,2.207,2.2826,2129744.5,1710043199999
52,1710043200000,2.2828,2.3383,2.214,2.2606,2658086.2,1710057599999
53,1710057600000,2.2608,2.265,2.1744,2.2098,2719638.3,1710071999999
54,1710072000000,2.2103,2.2112,2.121,2.166,2472777.1,1710086399999
55,1710086400000,2.1662,2.1988,2.15,2.1843,1014690.2,1710100799999
56,1710100800000,2.1856,2.2055,2.133,2.1987,1107897.9,1710115199999
57,1710115200000,2.1987,2.28,2.1177,2.2532,4051330.7,1710129599999
58,1710129600000,2.2531,2.3089,2.219,2.2786,2490478.4,1710143999999
