,open_time,open,high,low,close,VOLUME,close_time
0,1708776000000,4.081,4.091,4.04,4.063,370324.0,1708790399999
1,1708790400000,4.064,4.123,4.053,4.064,352830.0,1708804799999
2,1708804800000,4.065,4.086,4.045,4.063,145080.0,1708819199999
3,1708819200000,4.062,4.124,4.022,4.083,301712.0,1708833599999
4,1708833600000,4.083,4.105,4.032,4.073,213656.0,1708847999999
5,1708848000000,4.074,4.118,4.026,4.111,226079.0,1708862399999
6,1708862400000,4.111,4.126,4.062,4.085,362112.0,1708876799999
7,1708876800000,4.083,4.162,4.069,4.154,370333.0,1708891199999
8,1708891200000,4.153,4.208,4.119,4.139,343105.0,1708905599999
9,1708905600000,4.14,4.189,4.076,4.139,323102.0,1708919999999
10,1708920000000,4.14,4.229,4.111,4.159,320508.0,1708934399999
11,1708934400000,4.158,4.18,4.035,4.095,383112.0,1708948799999
12,1708948800000,4.096,4.216,4.054,4.195,318998.0,1708963199999
13,1708963200000,4.194,4.324,4.182,4.305,967230.0,1708977599999
14,1708977600000,4.305,4.311,4.254,4.303,224084.0,1708991999999
15,1708992000000,4.304,4.78,4.258,4.511,4599064.0,1709006399999
16,1709006400000,4.512,4.548,4.452,4.473,946299.0,1709020799999
17,1709020800000,4.475,4.599,4.471,4.557,691668.0,1709035199999
18,1709035200000,4.556,4.642,4.418,4.462,986923.0,1709049599999
19,1709049600000,4.463,4.59,4.404,4.531,614648.0,1709063999999
20,1709064000000,4.534,4.556,4.475,4.537,229434.0,1709078399999
21,1709078400000,4.536,4.596,4.47,4.478,381598.0,1709092799999
22,1709092800000,4.477,4.659,4.432,4.651,393311.0,1709107199999
23,1709107200000,4.652,4.851,4.538,4.6,2182285.0,1709121599999
24,1709121600000,4.599,4.742,4.585,4.712,1068021.0,1709135999999
25,1709136000000,4.71,4.823,3.95,4.433,2418355.0,1709150399999
26,1709150400000,4.433,4.567,4.384,4.541,513532.0,1709164799999
27,1709164800000,4.541,4.578,4.456,4.517,403599.0,1709179199999
28,1709179200000,4.518,4.626,4.495,4.598,528936.0,1709193599999
29,1709193600000,4.597,4.698,4.544,4.56,566895.0,1709207999999
30,1709208000000,4.559,4.657,4.5,4.589,468560.0,1709222399999
31,1709222400000,4.589,4.599,4.393,4.542,688100.0,1709236799999
32,1709236800000,4.541,4.602,4.359,4.545,862261.0,1709251199999
33,1709251200000,4.545,4.686,4.541,4.585,487717.0,1709265599999
