,open_time,open,high,low,close,VOLUME,close_time
0,1708776000000,0.3834,0.3883,0.3827,0.3849,2443074.0,1708790399999
1,1708790400000,0.385,0.3894,0.3831,0.3859,2919578.0,1708804799999
2,1708804800000,0.3858,0.3875,0.3834,0.3869,1378920.0,1708819199999
3,1708819200000,0.387,0.3984,0.3778,0.3808,5630217.0,1708833599999
4,1708833600000,0.3809,0.3815,0.369,0.3726,6695216.0,1708847999999
5,1708848000000,0.3725,0.3765,0.369,0.3745,3759096.0,1708862399999
6,1708862400000,0.3744,0.3793,0.3724,0.3734,3087418.0,1708876799999
7,1708876800000,0.3737,0.3776,0.3721,0.3752,2913331.0,1708891199999
8,1708891200000,0.3754,0.3784,0.372,0.3759,1996773.0,1708905599999
9,1708905600000,0.3759,0.3762,0.3585,0.3723,6349964.0,1708919999999
10,1708920000000,0.3721,0.3771,0.366,0.3673,4290880.0,1708934399999
11,1708934400000,0.3673,0.3704,0.36,0.3664,4048861.0,1708948799999
12,1708948800000,0.3665,0.3759,0.3625,0.375,3868361.0,1708963199999
13,1708963200000,0.375,0.3812,0.3728,0.3808,4694932.0,1708977599999
14,1708977600000,0.3808,0.385,0.3784,0.3818,2897851.0,1708991999999
15,1708992000000,0.382,0.3954,0.377,0.386,6899616.0,1709006399999
16,1709006400000,0.3863,0.391,0.3849,0.3873,3688262.0,1709020799999
17,1709020800000,0.3873,0.3961,0.387,0.394,2820806.0,1709035199999
18,1709035200000,0.394,0.3967,0.3858,0.3872,6854101.0,1709049599999
19,1709049600000,0.3872,0.3953,0.3807,0.3922,5449626.0,1709063999999
20,1709064000000,0.3921,0.3961,0.3884,0.3946,2331612.0,1709078399999
21,1709078400000,0.3946,0.4052,0.3919,0.3972,3902629.0,1709092799999
22,1709092800000,0.3972,0.4079,0.3919,0.3988,5002639.0,1709107199999
23,1709107200000,0.3987,0.4016,0.3827,0.392,7248167.0,1709121599999
24,1709121600000,0.392,0.4015,0.3897,0.4005,4176903.0,1709135999999
25,1709136000000,0.4006,0.4123,0.3447,0.3719,14136255.0,1709150399999
26,1709150400000,0.3721,0.3917,0.3701,0.391,3135718.0,1709164799999
27,1709164800000,0.391,0.405,0.3869,0.4021,3961563.0,1709179199999
28,1709179200000,0.4021,0.4216,0.3999,0.4191,6637584.0,1709193599999
29,1709193600000,0.4191,0.4239,0.415,0.4159,4892351.0,1709207999999
30,1709208000000,0.4158,0.5053,0.413,0.4285,54087667.0,1709222399999
31,1709222400000,0.4286,0.4288,0.4081,0.4226,13813608.0,1709236799999
32,1709236800000,0.4227,0.4256,0.3901,0.409,8587905.0,1709251199999
33,1709251200000,0.4091,0.4223,0.4087,0.415,4970742.0,1709265599999
34,1709265600000,0.415,0.4236,0.4121,0.4144,4429255.0,1709279999999
35,1709280000000,0.4144,0.5079,0.4118,0.4899,73667172.0,1709294399999
36,1709294400000,0.4897,0.5282,0.4778,0.502,82554261.0,1709308799999
37,1709308800000,0.5021,0.5173,0.485,0.4881,24580596.0,1709323199999
38,1709323200000,0.4882,0.5125,0.4846,0.5028,14939202.0,1709337599999
39,1709337600000,0.5028,0.5466,0.487,0.5075,32466491.0,1709351999999
40,1709352000000,0.5075,0.54,0.4976,0.5146,21015430.0,1709366399999
41,1709366400000,0.5147,0.517,0.4987,0.5054,14226911.0,1709380799999
42,1709380800000,0.5054,0.5961,0.5015,0.5269,64034847.0,1709395199999
43,1709395200000,0.5269,0.5512,0.5195,0.5424,12800566.0,1709409599999
44,1709409600000,0.5422,0.5654,0.5361,0.5435,13649637.0,1709423999999
45,1709424000000,0.5436,0.5457,0.5309,0.5376,5784100.0,1709438399999
46,1709438400000,0.5376,0.5474,0.4502,0.5049,16124313.0,1709452799999
47,1709452800000,0.5049,0.5311,0.5005,0.5184,11075661.0,1709467199999
48,1709467200000,0.5183,0.5281,0.5112,0.5171,5899626.0,1709481599999
49,1709481600000,0.5171,0.5232,0.4988,0.5194,5977715.0,1709495999999
50,1709496000000,0.5195,0.5251,0.513,0.5222,3726598.0,1709510399999
51,1709510400000,0.5222,0.5302,0.453,0.5153,9576270.0,1709524799999
52,1709524800000,0.5152,0.5312,0.47,0.5096,7217253.0,1709539199999
53,1709539200000,0.5095,0.52,0.4988,0.5083,6972937.0,1709553599999
54,1709553600000,0.5083,0.5134,0.4963,0.5048,5525749.0,1709567999999
55,1709568000000,0.5048,0.5077,0.4792,0.5058,8238879.0,1709582399999
56,1709582400000,0.5058,0.5074,0.4947,0.5015,4566507.0,1709596799999
57,1709596800000,0.5016,0.5112,0.4962,0.5073,5612346.0,1709611199999
58,1709611200000,0.5072,0.5258,0.4842,0.522,8966724.0,1709625599999
59,1709625600000,0.5219,0.5298,0.5153,0.5261,5545783.0,1709639999999
60,1709640000000,0.5261,0.5337,0.4967,0.5069,9474927.0,1709654399999
61,1709654400000,0.5069,0.5253,0.3939,0.45,20142471.0,1709668799999
62,1709668800000,0.4499,0.5034,0.4467,0.4984,12969005.0,1709683199999
63,1709683200000,0.4983,0.5512,0.4981,0.5044,20936314.0,1709697599999
64,1709697600000,0.5043,0.551,0.5043,0.5406,16273903.0,1709711999999
65,1709712000000,0.5403,0.5431,0.517,0.5218,8454192.0,1709726399999
66,1709726400000,0.5218,0.5271,0.5,0.5143,8048864.0,1709740799999
67,1709740800000,0.5143,0.5193,0.5109,0.5158,3751097.0,1709755199999
68,1709755200000,0.5159,0.527,0.5147,0.5245,2634537.0,1709769599999
69,1709769600000,0.5244,0.5619,0.5231,0.5345,8892179.0,1709783999999
70,1709784000000,0.5345,0.5484,0.5172,0.5338,6516506.0,1709798399999
71,1709798400000,0.5337,0.556,0.5325,0.5463,6331061.0,1709812799999
72,1709812800000,0.5463,0.5528,0.535,0.5465,4854780.0,1709827199999
73,1709827200000,0.5464,0.5734,0.5447,0.5734,4689486.0,1709841599999
74,1709841600000,0.5731,0.5752,0.5594,0.5694,4779335.0,1709855999999
75,1709856000000,0.5695,0.5759,0.5521,0.5578,3283506.0,1709870399999
76,1709870400000,0.5577,0.564,0.5507,0.5525,2778344.0,1709884799999
77,1709884800000,0.5523,0.555,0.5381,0.5408,2975937.0,1709899199999
78,1709899200000,0.5408,0.5486,0.5102,0.5263,6687120.0,1709913599999
79,1709913600000,0.5262,0.5416,0.5162,0.5352,4688085.0,1709927999999
80,1709928000000,0.5353,0.5436,0.5318,0.5406,1905236.0,1709942399999
81,1709942400000,0.5404,0.5595,0.5377,0.5563,3037762.0,1709956799999
82,1709956800000,0.5564,0.6086,0.5477,0.584,9803509.0,1709971199999
83,1709971200000,0.5839,0.5866,0.5609,0.5749,6306287.0,1709985599999
84,1709985600000,0.575,0.588,0.5715,0.5744,3675887.0,1709999999999
85,1710000000000,0.5743,0.5787,0.5684,0.5728,2493341.0,1710014399999
86,1710014400000,0.5728,0.5811,0.5705,0.5793,1451046.0,1710028799999
87,1710028800000,0.5792,0.5802,0.5664,0.5713,2703445.0,1710043199999
88,1710043200000,0.5715,0.5923,0.5686,0.5916,2860731.0,1710057599999
89,1710057600000,0.5916,0.6301,0.5762,0.6188,8353200.0,1710071999999
90,1710072000000,0.6189,0.657,0.605,0.6114,22323032.0,1710086399999
91,1710086400000,0.6113,0.6363,0.6098,0.615,5651795.0,1710100799999
92,1710100800000,0.6151,0.6242,0.5972,0.6173,4243052.0,1710115199999
93,1710115200000,0.6174,0.629,0.58,0.6252,6736396.0,1710129599999
94,1710129600000,0.6252,0.6359,0.6111,0.6142,7204032.0,1710143999999
95,1710144000000,0.6142,0.6244,0.6111,0.6175,4453341.0,1710158399999
96,1710158400000,0.6178,0.6455,0.6146,0.6348,6181930.0,1710172799999
97,1710172800000,0.6349,0.6716,0.6215,0.6515,12006024.0,1710187199999
98,1710187200000,0.6514,0.6599,0.6486,0.6576,2680171.0,1710201599999
99,1710201600000,0.6573,0.6782,0.6501,0.6569,5516101.0,1710215999999
100,1710216000000,0.6569,0.6681,0.6272,0.6329,6233257.0,1710230399999
101,1710230400000,0.6329,0.6582,0.616,0.6378,6056963.0,1710244799999
102,1710244800000,0.6378,0.6689,0.6256,0.6626,7114258.0,1710259199999
103,1710259200000,0.6627,0.6748,0.62,0.6566,8663627.0,1710273599999
104,1710273600000,0.6566,0.664,0.6492,0.6621,2670178.0,1710287999999
105,1710288000000,0.6621,0.6814,0.6515,0.6658,3192682.0,1710302399999
106,1710302400000,0.6658,0.7053,0.6617,0.6799,6840618.0,1710316799999
107,1710316800000,0.6799,0.7109,0.6754,0.7032,9556600.0,1710331199999
108,1710331200000,0.7032,0.7341,0.6855,0.7109,16440622.0,1710345599999
109,1710345600000,0.7109,0.7555,0.7021,0.7188,13987669.0,1710359999999
110,1710360000000,0.7186,0.7192,0.7033,0.7123,4985001.0,1710374399999
111,1710374400000,0.7123,0.7297,0.7001,0.704,4989807.0,1710388799999
112,1710388800000,0.7039,0.7082,0.6876,0.6925,4670023.0,1710403199999
113,1710403200000,0.6923,0.6964,0.686,0.6896,3677073.0,1710417599999
114,1710417600000,0.6895,0.6998,0.6538,0.663,8020391.0,1710431999999
115,1710432000000,0.6628,0.6775,0.6318,0.6473,8761274.0,1710446399999
116,1710446400000,0.6476,0.706,0.6461,0.6968,5058965.0,1710460799999
117,1710460800000,0.6969,0.7147,0.6348,0.6796,8897481.0,1710475199999
118,1710475200000,0.6797,0.6818,0.6384,0.6569,12196160.0,1710489599999
119,1710489600000,0.6569,0.6586,0.5894,0.6253,9180530.0,1710503999999
120,1710504000000,0.6252,0.6391,0.6184,0.6212,3495767.0,1710518399999
121,1710518400000,0.6215,0.642,0.6135,0.62,3257776.0,1710532799999
122,1710532800000,0.6196,0.6337,0.6009,0.6333,2544003.0,1710547199999
123,1710547200000,0.6331,0.6486,0.6298,0.6414,2728635.0,1710561599999
124,1710561600000,0.6416,0.6451,0.6281,0.6412,2638183.0,1710575999999
125,1710576000000,0.6411,0.6466,0.6202,0.6265,2342033.0,1710590399999
126,1710590400000,0.6267,0.6274,0.5868,0.5999,3775354.0,1710604799999
127,1710604800000,0.5999,0.601,0.5531,0.5653,5143760.0,1710619199999
128,1710619200000,0.5652,0.5737,0.553,0.5664,3485369.0,1710633599999
129,1710633600000,0.5664,0.5842,0.5553,0.5825,2473455.0,1710647999999
130,1710648000000,0.5825,0.5829,0.5353,0.5506,3781630.0,1710662399999
131,1710662400000,0.5504,0.5848,0.547,0.5756,3076390.0,1710676799999
132,1710676800000,0.5758,0.5987,0.5618,0.5963,2736311.0,1710691199999
133,1710691200000,0.5963,0.603,0.5861,0.6026,4441949.0,1710705599999
134,1710705600000,0.6026,0.6041,0.5907,0.5934,1598448.0,1710719999999
135,1710720000000,0.5935,0.5971,0.5727,0.591,3188660.0,1710734399999
136,1710734400000,0.5909,0.6007,0.5845,0.5909,2828921.0,1710748799999
137,1710748800000,0.591,0.5913,0.5705,0.58,3014128.0,1710763199999
138,1710763200000,0.5802,0.581,0.5448,0.5554,3851117.0,1710777599999
139,1710777600000,0.5553,0.5628,0.5386,0.5455,3184699.0,1710791999999
140,1710792000000,0.5455,0.5576,0.5453,0.548,2187912.0,1710806399999
141,1710806400000,0.548,0.5492,0.4921,0.5026,14637610.0,1710820799999
142,1710820800000,0.5025,0.5082,0.4657,0.4979,8036045.0,1710835199999
143,1710835200000,0.498,0.4983,0.4697,0.4916,8015466.0,1710849599999
144,1710849600000,0.4916,0.5097,0.4843,0.5085,5450391.0,1710863999999
