,open_time,open,high,low,close,VOLUME,close_time
0,1708776000000,380.02,381.15,378.71,379.06,2932.44,1708790399999
1,1708790400000,379.09,382.5,378.85,382.25,2386.5,1708804799999
2,1708804800000,382.24,382.38,380.89,381.22,1099.05,1708819199999
3,1708819200000,381.25,381.73,378.14,379.16,2775.3,1708833599999
4,1708833600000,379.16,380.9,377.54,380.16,1830.2,1708847999999
5,1708848000000,380.24,388.23,377.87,384.03,5572.98,1708862399999
6,1708862400000,383.92,386.5,383.32,384.51,3470.18,1708876799999
7,1708876800000,384.74,390.0,382.86,388.82,3457.34,1708891199999
8,1708891200000,388.82,390.72,387.26,388.2,3269.35,1708905599999
9,1708905600000,388.21,389.54,381.76,383.64,3879.15,1708919999999
10,1708920000000,383.59,388.98,383.21,386.18,5008.45,1708934399999
11,1708934400000,386.11,392.87,383.98,389.59,7804.1,1708948799999
12,1708948800000,389.53,398.76,386.87,396.42,10567.09,1708963199999
13,1708963200000,396.35,398.78,395.06,397.97,5565.6,1708977599999
14,1708977600000,397.93,405.0,397.74,401.65,4472.0,1708991999999
15,1708992000000,401.65,403.74,397.62,398.91,6385.94,1709006399999
16,1709006400000,399.1,401.15,394.12,395.64,6836.32,1709020799999
17,1709020800000,395.83,399.63,395.67,398.15,4595.15,1709035199999
18,1709035200000,398.14,400.36,391.16,392.51,7766.69,1709049599999
19,1709049600000,392.47,395.51,389.3,395.14,3898.83,1709063999999
20,1709064000000,395.14,396.3,394.0,394.61,1989.03,1709078399999
21,1709078400000,394.53,397.21,394.03,395.67,1956.37,1709092799999
22,1709092800000,395.59,400.78,395.17,400.08,2112.22,1709107199999
23,1709107200000,400.27,417.31,398.46,406.61,13274.34,1709121599999
24,1709121600000,406.63,414.7,405.25,413.14,6844.82,1709135999999
25,1709136000000,413.14,427.2,400.13,408.33,14195.71,1709150399999
26,1709150400000,408.24,416.38,404.96,414.87,6033.69,1709164799999
27,1709164800000,414.9,420.05,411.1,414.46,5389.09,1709179199999
28,1709179200000,414.38,418.06,412.44,415.68,5081.13,1709193599999
29,1709193600000,415.67,418.53,410.2,410.77,6191.12,1709207999999
30,1709208000000,410.74,411.87,407.27,407.99,3909.72,1709222399999
31,1709222400000,408.08,409.41,402.66,406.46,4988.43,1709236799999
32,1709236800000,406.51,407.7,391.53,399.77,6371.68,1709251199999
33,1709251200000,399.81,407.18,399.48,406.13,2966.49,1709265599999
34,1709265600000,406.1,408.36,402.9,404.0,2944.68,1709279999999
35,1709280000000,404.1,409.04,403.01,406.74,3253.54,1709294399999
36,1709294400000,406.75,409.01,402.81,403.37,2451.6,1709308799999
37,1709308800000,403.32,407.5,402.9,406.88,1726.55,1709323199999
38,1709323200000,406.88,409.03,406.28,408.18,1387.9,1709337599999
39,1709337600000,408.05,414.67,406.67,414.67,2883.58,1709351999999
40,1709352000000,414.7,415.87,408.1,410.05,3512.38,1709366399999
41,1709366400000,410.14,410.99,406.75,408.82,2404.36,1709380799999
42,1709380800000,408.79,412.3,407.57,408.44,1784.34,1709395199999
43,1709395200000,408.57,410.48,407.37,410.48,1253.99,1709409599999
44,1709409600000,410.42,411.58,408.04,411.58,1398.81,1709423999999
45,1709424000000,411.55,412.31,409.18,411.04,1243.11,1709438399999
46,1709438400000,411.04,414.02,402.51,407.54,4921.76,1709452799999
