,open_time,open,high,low,close,VOLUME,close_time
0,1708776000000,0.8163,0.845,0.7863,0.7891,11289396.0,1708790399999
1,1708790400000,0.7888,0.793,0.7798,0.7875,3471485.0,1708804799999
2,1708804800000,0.7876,0.8013,0.7864,0.7953,1577881.0,1708819199999
3,1708819200000,0.795,0.8248,0.7946,0.8071,2913712.0,1708833599999
4,1708833600000,0.8069,0.8488,0.8049,0.8113,5014755.0,1708847999999
5,1708848000000,0.8112,0.832,0.8093,0.8221,2420000.0,1708862399999
6,1708862400000,0.8221,0.8286,0.8069,0.8088,2189959.0,1708876799999
7,1708876800000,0.8087,0.8164,0.8065,0.8159,1412741.0,1708891199999
8,1708891200000,0.8157,0.8224,0.8087,0.8129,864947.0,1708905599999
9,1708905600000,0.8132,0.8264,0.7965,0.8076,1402764.0,1708919999999
10,1708920000000,0.8076,0.8315,0.8068,0.8075,2362004.0,1708934399999
11,1708934400000,0.8073,0.8104,0.7622,0.7802,5733174.0,1708948799999
12,1708948800000,0.7805,0.822,0.7786,0.8089,2600583.0,1708963199999
13,1708963200000,0.8093,0.8141,0.7872,0.7995,1832189.0,1708977599999
14,1708977600000,0.7994,0.8012,0.7894,0.7947,1122994.0,1708991999999
15,1708992000000,0.7949,0.8207,0.7904,0.8032,2131063.0,1709006399999
16,1709006400000,0.8033,0.8105,0.7906,0.7935,1047203.0,1709020799999
17,1709020800000,0.7936,0.8084,0.7933,0.7974,1085141.0,1709035199999
18,1709035200000,0.7972,0.7974,0.7709,0.7735,1893958.0,1709049599999
19,1709049600000,0.7738,0.814,0.7659,0.7997,2157491.0,1709063999999
20,1709064000000,0.7995,0.8095,0.794,0.8037,710352.0,1709078399999
21,1709078400000,0.804,0.8182,0.8009,0.8014,1385520.0,1709092799999
22,1709092800000,0.8015,0.8162,0.8005,0.8147,718091.0,1709107199999
23,1709107200000,0.8147,0.8313,0.7956,0.8061,2267280.0,1709121599999
24,1709121600000,0.8063,0.8313,0.8018,0.8073,3580771.0,1709135999999
25,1709136000000,0.807,0.8267,0.7007,0.7604,5594918.0,1709150399999
26,1709150400000,0.7601,0.8021,0.755,0.7999,1467792.0,1709164799999
27,1709164800000,0.8,0.8186,0.7966,0.8126,1211827.0,1709179199999
