,open_time,open,high,low,close,VOLUME,close_time
0,1708776000000,4.667,4.784,4.629,4.78,451146.0,1708790399999
1,1708790400000,4.78,5.021,4.754,4.95,596521.0,1708804799999
2,1708804800000,4.951,5.019,4.874,4.907,478137.0,1708819199999
3,1708819200000,4.907,5.03,4.888,5.011,559427.0,1708833599999
4,1708833600000,5.009,5.093,4.971,5.025,384275.0,1708847999999
5,1708848000000,5.023,5.058,4.967,5.015,225159.0,1708862399999
6,1708862400000,5.016,5.064,4.951,4.965,353384.0,1708876799999
7,1708876800000,4.968,4.976,4.914,4.957,233279.0,1708891199999
8,1708891200000,4.958,5.007,4.927,4.964,155134.0,1708905599999
9,1708905600000,4.965,5.017,4.895,4.918,261015.0,1708919999999
10,1708920000000,4.918,4.931,4.819,4.829,262992.0,1708934399999
11,1708934400000,4.831,4.853,4.724,4.806,383453.0,1708948799999
12,1708948800000,4.808,4.922,4.775,4.888,407490.0,1708963199999
13,1708963200000,4.886,4.978,4.859,4.952,376918.0,1708977599999
14,1708977600000,4.952,4.981,4.893,4.947,153493.0,1708991999999
15,1708992000000,4.948,5.056,4.904,5.002,588593.0,1709006399999
16,1709006400000,5.002,5.687,4.987,5.627,2078403.0,1709020799999
17,1709020800000,5.627,5.769,5.372,5.446,1444399.0,1709035199999
18,1709035200000,5.446,5.563,5.355,5.4,815549.0,1709049599999
19,1709049600000,5.4,5.437,5.202,5.23,624051.0,1709063999999
20,1709064000000,5.23,5.265,5.005,5.045,718876.0,1709078399999
21,1709078400000,5.046,5.139,5.017,5.085,432802.0,1709092799999
22,1709092800000,5.085,5.146,5.046,5.139,376001.0,1709107199999
23,1709107200000,5.142,5.238,5.019,5.099,637694.0,1709121599999
24,1709121600000,5.099,5.239,5.055,5.21,580321.0,1709135999999
25,1709136000000,5.209,5.315,4.614,4.945,1298717.0,1709150399999
26,1709150400000,4.946,5.075,4.886,5.026,309887.0,1709164799999
27,1709164800000,5.028,5.163,4.975,5.12,321058.0,1709179199999
28,1709179200000,5.119,5.167,4.947,5.047,492043.0,1709193599999
29,1709193600000,5.047,5.201,5.024,5.066,562326.0,1709207999999
30,1709208000000,5.065,5.12,5.012,5.079,319330.0,1709222399999
31,1709222400000,5.078,5.106,4.922,5.069,617825.0,1709236799999
32,1709236800000,5.067,5.1,4.827,4.982,442984.0,1709251199999
33,1709251200000,4.983,5.102,4.974,5.092,277731.0,1709265599999
34,1709265600000,5.091,5.117,4.942,4.955,451241.0,1709279999999
35,1709280000000,4.954,5.049,4.933,5.024,210035.0,1709294399999
36,1709294400000,5.024,5.105,5.003,5.033,218154.0,1709308799999
37,1709308800000,5.033,5.11,5.019,5.094,222084.0,1709323199999
38,1709323200000,5.094,5.13,5.061,5.102,191126.0,1709337599999
39,1709337600000,5.101,5.161,5.058,5.14,267300.0,1709351999999
40,1709352000000,5.14,5.157,5.024,5.108,271548.0,1709366399999
41,1709366400000,5.108,5.109,4.93,4.948,397865.0,1709380799999
42,1709380800000,4.949,4.989,4.859,4.969,372776.0,1709395199999
43,1709395200000,4.969,5.056,4.968,4.996,469233.0,1709409599999
44,1709409600000,4.996,5.047,4.955,5.046,169904.0,1709423999999
45,1709424000000,5.046,5.086,4.989,5.052,220990.0,1709438399999
46,1709438400000,5.051,5.115,4.625,4.846,690037.0,1709452799999
47,1709452800000,4.845,4.973,4.778,4.953,519793.0,1709467199999
48,1709467200000,4.952,4.98,4.87,4.94,350037.0,1709481599999
49,1709481600000,4.941,4.999,4.791,4.851,521471.0,1709495999999
50,1709496000000,4.851,4.873,4.796,4.835,290002.0,1709510399999
51,1709510400000,4.835,4.92,4.766,4.884,362319.0,1709524799999
52,1709524800000,4.884,4.979,4.807,4.899,482153.0,1709539199999
53,1709539200000,4.9,5.185,4.89,5.153,1326717.0,1709553599999
54,1709553600000,5.153,5.364,5.093,5.267,1118641.0,1709567999999
55,1709568000000,5.267,5.3,5.013,5.163,1096697.0,1709582399999
56,1709582400000,5.163,5.227,5.109,5.187,441089.0,1709596799999
57,1709596800000,5.188,5.284,5.124,5.252,447245.0,1709611199999
58,1709611200000,5.252,5.304,5.055,5.185,746815.0,1709625599999
59,1709625600000,5.184,5.302,5.127,5.277,493787.0,1709639999999
60,1709640000000,5.278,5.479,5.26,5.354,1022620.0,1709654399999
61,1709654400000,5.354,5.419,4.5,4.66,2119242.0,1709668799999
