,open_time,open,high,low,close,VOLUME,close_time
0,1708776000000,8.754,8.764,8.592,8.751,301260.8,1708790399999
1,1708790400000,8.751,8.851,8.716,8.823,299753.4,1708804799999
2,1708804800000,8.825,8.852,8.75,8.783,157621.6,1708819199999
3,1708819200000,8.784,8.98,8.724,8.868,354676.5,1708833599999
4,1708833600000,8.868,8.875,8.672,8.692,297084.3,1708847999999
5,1708848000000,8.691,8.716,8.535,8.709,280351.0,1708862399999
6,1708862400000,8.708,8.856,8.698,8.791,318837.0,1708876799999
7,1708876800000,8.791,8.922,8.726,8.904,294475.4,1708891199999
8,1708891200000,8.903,8.949,8.758,8.809,216368.7,1708905599999
9,1708905600000,8.809,8.838,8.67,8.792,265286.5,1708919999999
10,1708920000000,8.793,8.963,8.715,8.741,291752.6,1708934399999
11,1708934400000,8.745,8.794,8.442,8.525,692114.3,1708948799999
12,1708948800000,8.525,8.886,8.465,8.88,537259.1,1708963199999
13,1708963200000,8.879,9.037,8.794,9.02,561931.1,1708977599999
14,1708977600000,9.021,9.038,8.91,9.014,245408.1,1708991999999
15,1708992000000,9.012,9.312,8.579,8.885,1814862.3,1709006399999
16,1709006400000,8.887,9.161,8.862,9.009,528992.5,1709020799999
17,1709020800000,9.01,9.322,8.949,9.01,869662.6,1709035199999
18,1709035200000,9.008,9.148,8.704,8.756,836790.9,1709049599999
19,1709049600000,8.758,8.922,8.65,8.816,607369.1,1709063999999
20,1709064000000,8.817,8.943,8.756,8.861,212258.4,1709078399999
21,1709078400000,8.861,8.987,8.823,8.906,301968.0,1709092799999
22,1709092800000,8.904,9.097,8.878,9.054,429462.7,1709107199999
23,1709107200000,9.055,9.103,8.735,8.86,811213.2,1709121599999
24,1709121600000,8.862,8.988,8.716,8.806,825069.7,1709135999999
25,1709136000000,8.803,8.96,7.412,8.175,2558382.4,1709150399999
26,1709150400000,8.177,8.482,8.093,8.475,644447.0,1709164799999
27,1709164800000,8.475,8.966,8.436,8.858,733060.7,1709179199999
28,1709179200000,8.855,8.936,8.721,8.93,635094.1,1709193599999
29,1709193600000,8.924,9.216,8.855,8.944,849613.1,1709207999999
30,1709208000000,8.944,9.041,8.815,9.02,657247.5,1709222399999
31,1709222400000,9.021,9.052,8.726,9.025,777343.8,1709236799999
32,1709236800000,9.027,9.044,8.511,8.905,701546.9,1709251199999
33,1709251200000,8.905,9.162,8.871,9.021,501409.3,1709265599999
34,1709265600000,9.021,11.539,8.973,10.805,11183843.0,1709279999999
35,1709280000000,10.802,11.236,10.145,10.17,6093835.6,1709294399999
36,1709294400000,10.167,10.278,9.806,9.893,3202396.7,1709308799999
37,1709308800000,9.894,10.446,9.862,10.328,2178645.8,1709323199999
38,1709323200000,10.327,10.382,10.076,10.179,836558.3,1709337599999
39,1709337600000,10.181,10.304,9.954,10.045,1154798.6,1709351999999
